dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,Lb60,best,lb0,cpu0,cpub,cputotal,gc,Gc,Gc av,Gc60,Gc60 av
BOXQP_LARGEST,spar250-025-1,QP,251,0,LP-FROB-0,-1,1800,1E-06,-26092.065232318368,1834.0288729667664,56,32.651452916009085,-5.429293132442671,0,,-26092.065232318368,-49972.0,0.7153558731079102,1.2462542057037354,1835.3064169883728,0,1.00,1.00,,
BOXQP_LARGEST,spar250-025-1,QP,251,0,LP-FROB-S,-1,1800,1E-06,-31676.868456481698,1832.4866290092468,101,18.04710609369939,-6.593926786313034,0,,-26092.065232318368,-49972.0,0.4917168617248535,0.8306951522827148,1833.3497569561005,0,0.77,0.76,,
BOXQP_LARGEST,spar250-025-1,QP,251,0,LP-EIG-0,-1,1800,1E-06,-29080.107687810203,1833.593957901001,68,26.870067407103146,-8.12654707394915,0,,-26092.065232318368,-49972.0,0.4898378849029541,0.8311362266540527,1834.45490026474,0,0.87,0.87,,
BOXQP_LARGEST,spar250-025-1,QP,251,0,LP-EIG-1,-1,1800,1E-06,-48322.64568363352,1823.27299284935,168,10.755705786602837,-6.909710107341268,0,,-26092.065232318368,-49972.0,0.4907829761505127,0.851032018661499,1824.1581537723541,0,0.07,0.06,,
BOXQP_LARGEST,spar250-025-1,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-27236.34052268399,1813.9406599998474,85,21.24361815172083,-6.413139360969398,0,-46499.85662002980,-26092.065232318368,-49972.0,0.502730131149292,0.8307700157165527,1814.8095500469208,0,0.95,0.95,0.15,0.19
BOXQP_LARGEST,spar250-025-2,QP,251,0,LP-FROB-0,-1,1800,1E-06,-26682.85875085577,1827.2416377067566,54,33.74227788713243,-5.351359509188471,0,,-26682.85875085577,-50153.25,0.510124921798706,0.8109931945800781,1828.0792441368103,0,1.00,,,
BOXQP_LARGEST,spar250-025-2,QP,251,0,LP-FROB-S,-1,1800,1E-06,-32627.74531702727,1810.5950117111206,99,18.194106311509103,-6.751174837030838,0,,-26682.85875085577,-50153.25,0.5066497325897217,0.8258323669433594,1811.4496130943298,0,0.75,,,
BOXQP_LARGEST,spar250-025-2,QP,251,0,LP-EIG-0,-1,1800,1E-06,-29531.63229249938,1804.5365853309631,66,27.245386000835534,-10.392166470634987,0,,-26682.85875085577,-50153.25,0.5122170448303223,0.8277876377105713,1805.3908560276031,0,0.88,,,
BOXQP_LARGEST,spar250-025-2,QP,251,0,LP-EIG-1,-1,1800,1E-06,-48857.734800977174,1818.161593914032,164,10.989115411188545,-7.034372534314162,0,,-26682.85875085577,-50153.25,0.507066011428833,0.8251922130584717,1819.0205256938934,0,0.06,,,
BOXQP_LARGEST,spar250-025-2,QP,251,0,LP-EIG-0|50|20|10|5|1,-1,1800,1E-06,-28176.878088154826,1803.1312601566315,80,22.441332295536995,-5.332437611948577,0,-47077.1782550064,-26682.85875085577,-50153.25,0.5265650749206543,0.8658299446105957,1804.0275299549103,0,0.94,,0.13,
