lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-49580.0,-4.564190871750514,-225.1811035068667,100,113,1,0,0.3904991149902344,0.48641490936279297,0,EIG-0,0,0.8410851955413818
-49580.0,-7.3842277076004645,-377.02838794341244,100,121,1,0,0.40443992614746094,0.9816467761993408,0,EIG-0,0,
-49578.61602093362,-6.954748575565149,-368.59275686293915,100,121,1,0,4.257405996322632,5.330929756164551,0,EIG-0,0,
-48111.55140492727,-7.153862730043265,-373.30876565278174,100,119,1,0,9.53128695487976,14.953080892562866,0,EIG-0,0,
-45565.680764748686,-7.426964915060825,-379.38567976762744,100,121,1,0,10.094101190567017,25.13971185684204,0,EIG-0,0,
-42886.70472960995,-7.184736059468623,-381.8036278088029,100,120,1,0,13.794140100479126,39.028273820877075,0,EIG-0,0,
-40437.21101193365,-7.378706189198272,-380.8341595970145,100,120,1,0,14.85439682006836,53.97667098045349,0,EIG-0,0,
-38349.49176202496,-7.166033885027324,-375.0951682806949,100,121,1,0,16.245113849639893,70.31427788734436,0,EIG-0,0,
-36729.177180683975,-6.996093674482805,-367.91905495137917,100,121,1,0,14.940317153930664,85.3479368686676,0,EIG-0,0,
-35464.217309031956,-7.1083287950026275,-356.80710859167266,100,119,1,0,14.622596025466919,100.06488299369812,0,EIG-0,0,
-34488.33460323914,-6.722017613105216,-343.22839142289894,100,118,1,0,15.75628399848938,115.91483688354492,0,EIG-0,0,
-33749.460402969984,-6.68621508077132,-329.59863750809825,100,117,1,0,17.753084182739258,133.76013898849487,0,EIG-0,0,
-33190.26250558717,-6.580192934210509,-318.2256659573807,100,116,1,0,17.756510019302368,151.61071181297302,0,EIG-0,0,
-32741.036343488326,-6.332158442905235,-303.6149879185789,100,116,1,0,17.965900182724,169.6688950061798,0,EIG-0,0,
-32390.93517768084,-6.204324608912348,-294.9665030803785,100,116,1,0,15.81202483177185,185.57320094108582,0,EIG-0,0,
-32099.563861136343,-6.044513795327328,-292.7771377863404,100,116,1,0,21.499624967575073,207.1651108264923,0,EIG-0,0,
-31835.04848389358,-6.013914710786205,-287.79525274540856,100,115,1,0,18.440315008163452,225.70170974731445,0,EIG-0,0,
-31606.8695998133,-6.0164595591064405,-286.5188054271966,100,116,1,0,20.661152124404907,246.45713090896606,0,EIG-0,0,
-31403.434199701296,-5.878850622061763,-281.07668611778615,100,114,1,0,19.920203924179077,266.4703917503357,0,EIG-0,0,
-31218.60193605133,-6.027966758224699,-279.6860161075329,100,115,1,0,22.10751986503601,288.67346262931824,0,EIG-0,0,
-31062.495156905134,-9.03780511354925,-271.55859481599055,100,111,1,0,17.748465061187744,306.5251348018646,0,EIG-0,0,
-30914.49744161985,-5.898570440234733,-281.9831971710697,100,114,1,0,19.948266983032227,326.56789088249207,0,EIG-0,0,
-30775.800595477038,-9.99471687055641,-274.0915066507591,100,111,1,0,20.454970836639404,347.1165668964386,0,EIG-0,0,
-30654.178406158262,-6.030743658667429,-281.3854703525814,100,115,1,0,20.799036979675293,368.0088698863983,0,EIG-0,0,
-30533.662883322184,-5.833345422743616,-281.9280315665886,100,116,1,0,24.887479066848755,392.9912688732147,0,EIG-0,0,
-30425.42691528538,-7.128996508969399,-278.90430524733625,100,113,1,0,20.001230001449585,413.08834981918335,0,EIG-0,0,
-30330.5294591112,-5.937495647543614,-280.47633183320266,100,115,1,0,21.913084983825684,435.0966227054596,0,EIG-0,0,
-30243.015902130286,-9.911876510263326,-271.02830709843374,100,113,1,0,25.065548181533813,460.2590720653534,0,EIG-0,0,
-30164.59839888893,-5.91771097379007,-280.0180612808705,100,114,1,0,26.350586891174316,486.7062928676605,0,EIG-0,0,
-30087.474776039508,-6.249300393254116,-277.90927472761075,100,114,1,0,20.988443851470947,507.78985500335693,0,EIG-0,0,
-30019.951943956024,-7.502356841966881,-270.2335839117566,100,115,1,0,23.592641830444336,531.4772129058838,0,EIG-0,0,
-29958.8026428561,-6.127531586295665,-278.4044055715398,100,114,1,0,21.73713994026184,553.3063480854034,0,EIG-0,0,
-29904.44384964249,-8.044009630071294,-267.8728987357535,100,113,1,0,21.958493947982788,575.358696937561,0,EIG-0,0,
-29852.13001119262,-5.837012838487503,-278.3015613183217,100,115,1,0,27.959921836853027,603.4135909080505,0,EIG-0,0,
-29805.14625895137,-8.887594116610062,-269.6160625529856,100,115,1,0,28.34265899658203,631.8514869213104,0,EIG-0,0,
-29760.73467628783,-5.957770673984978,-278.1454639357265,100,115,1,0,23.984291791915894,655.9302008152008,0,EIG-0,0,
-29719.0393634858,-5.917166830906028,-271.6882295181566,100,115,1,0,28.284049034118652,684.3095328807831,0,EIG-0,0,
-29679.88092228242,-6.162225757131157,-273.72933265046083,100,115,1,0,27.41479206085205,711.8212957382202,0,EIG-0,0,
-29643.800765722914,-6.055601608855087,-270.74024274601254,100,112,1,0,30.154944896697998,742.0720298290253,0,EIG-0,0,
-29610.87570525929,-6.5959964952674035,-271.1245379001363,100,115,1,0,24.30165410041809,766.4706938266754,0,EIG-0,0,
-29578.599407581827,-5.9477929610769875,-276.24461497243794,100,115,1,0,28.766581058502197,795.3332779407501,0,EIG-0,0,
-29549.81070374112,-6.679932089624748,-271.7803894380804,100,113,1,0,21.51969814300537,816.9461739063263,0,EIG-0,0,
-29522.558770811847,-5.773169257790037,-277.21392119472426,100,114,1,0,33.9602530002594,851.00181889534,0,EIG-0,0,
-29498.91191501486,-8.691534010925993,-268.6463806697477,100,114,1,0,29.371433973312378,880.4698529243469,0,EIG-0,0,
-29476.3787896734,-5.878525218894982,-280.58167703411084,100,114,1,0,37.54466700553894,918.1116678714752,0,EIG-0,0,
-29456.393832311376,-8.87452668979817,-267.54764461051667,100,114,1,0,32.83273196220398,951.0431039333344,0,EIG-0,0,
-29438.187433681775,-6.066744427995234,-277.87037537319446,100,116,1,0,31.751522064208984,982.8917617797852,0,EIG-0,0,
-29421.201449072556,-7.244905178857558,-270.1710274459233,100,114,1,0,32.29957914352417,1015.2910559177399,0,EIG-0,0,
-29404.571019291656,-5.866793541764544,-278.8404094727841,100,115,1,0,35.368196964263916,1050.7578098773956,0,EIG-0,0,
-29388.640672922662,-6.644024714440749,-272.55410707674406,100,114,1,0,37.87331008911133,1088.7284188270569,0,EIG-0,0,
-29373.523080029223,-6.0738608558805005,-279.0691427676263,100,115,1,0,37.46539306640625,1126.2909188270569,0,EIG-0,0,
-29359.325858694967,-5.94354932210826,-276.8382353286288,100,115,1,0,41.1532518863678,1167.5417070388794,0,EIG-0,0,
-29345.5179094605,-6.195367381977942,-283.3349761472385,100,115,1,0,36.52661085128784,1204.1652739048004,0,EIG-0,0,
-29332.494078683278,-5.961377163274516,-278.97151010508367,100,114,1,0,38.61022090911865,1242.8723049163818,0,EIG-0,0,
-29319.899990348702,-6.079250048397713,-282.95284158657864,100,114,1,0,48.45157599449158,1291.4222238063812,0,EIG-0,0,
-29307.89787934652,-6.077841601343427,-278.0562143592194,100,115,1,0,41.46970796585083,1332.9868648052216,0,EIG-0,0,
-29296.54977735984,-5.993780451845606,-278.98002660403193,100,116,1,0,39.30672597885132,1372.3928887844086,0,EIG-0,0,
-29286.149068056082,-5.899094491102784,-279.1960182481952,100,116,1,0,37.318129777908325,1409.8100049495697,0,EIG-0,0,
-29276.24437775755,-6.039663276877094,-278.01824520671687,100,115,1,0,47.296141147613525,1457.2055277824402,0,EIG-0,0,
-29267.188867932713,-6.660376534428705,-274.26316828717887,100,114,1,0,37.84637808799744,1495.1476700305939,0,EIG-0,0,
-29258.626427584866,-6.039503019362141,-281.71053104847203,100,115,1,0,37.18408513069153,1532.4280588626862,0,EIG-0,0,
-29250.301207281485,-8.507997627587615,-279.1586304880426,100,113,1,0,37.5192768573761,1570.0464088916779,0,EIG-0,0,
-29242.646592840396,-6.14842136859321,-287.8167198415518,100,116,1,0,37.800870180130005,1607.9462127685547,0,EIG-0,0,
-29234.755524871533,-7.661087127119567,-271.80587087055164,100,115,1,0,32.93570113182068,1640.9790887832642,0,EIG-0,0,
-29227.562489041327,-6.071148602490386,-280.0076719467193,100,115,1,0,36.92597413063049,1678.0021760463715,0,EIG-0,0,
