lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-98092.0,-6.293380302012167,-218.23916013070382,100,50,1,0,0.7484030723571777,0.8531687259674072,0,EIG-0|50|20|10|5|1,0,0.8692679405212402
-97722.26209538066,-7.4595797894053675,-7.4595797894053675,100,1,1,0,1.7426929473876953,2.6954867839813232,0,EIG-0|50|20|10|5|1,0,
-97529.27085840386,-7.112107668464534,-124.92944006787341,100,20,1,0,0.9451608657836914,3.7383978366851807,0,EIG-0|50|20|10|5|1,0,
-93836.59811336908,-7.395541759932749,-126.34926606812729,100,20,1,0,6.5941081047058105,10.429785966873169,0,EIG-0|50|20|10|5|1,0,
-88989.8583835556,-7.3387541838478105,-67.10373136818188,100,10,1,0,6.931067228317261,17.45844602584839,0,EIG-0|50|20|10|5|1,0,
-86079.91444379943,-7.216058179485197,-257.944778257295,100,50,1,0,5.788606882095337,23.342010974884033,0,EIG-0|50|20|10|5|1,0,
-77327.72296881508,-7.238647886314735,-66.33752629782627,100,10,1,0,13.297439098358154,36.73368191719055,0,EIG-0|50|20|10|5|1,0,
-74844.17274275428,-7.053496262524404,-7.053496262524404,100,1,1,0,6.329941987991333,43.1585259437561,0,EIG-0|50|20|10|5|1,0,
-74550.68744623329,-6.995420236345655,-256.3189905902444,100,50,1,0,1.8148138523101807,45.06502914428711,0,EIG-0|50|20|10|5|1,0,
-67625.16645509214,-7.2016089518925215,-121.4463309041655,100,20,1,0,14.500294923782349,59.66686677932739,0,EIG-0|50|20|10|5|1,0,
-64416.94582191801,-7.044321513561126,-375.4331024277091,100,122,1,0,8.856618881225586,68.61663794517517,0,EIG-0|50|20|10|5|1,0,
-57452.35042249511,-7.068985774617096,-33.7669781841893,100,5,1,0,25.422465085983276,94.14080786705017,0,EIG-0|50|20|10|5|1,0,
-56702.56176040157,-6.894903702513471,-120.41057505478216,100,20,1,0,6.848521947860718,101.08393907546997,0,EIG-0|50|20|10|5|1,0,
-54645.352948527536,-6.933099651182604,-370.1737465557234,100,123,1,0,13.405028820037842,114.58161997795105,0,EIG-0|50|20|10|5|1,0,
-49892.8218386412,-7.0329762685307,-7.0329762685307,100,1,1,0,24.229480981826782,138.91469192504883,0,EIG-0|50|20|10|5|1,0,
-49760.23019907287,-7.083757477366951,-366.4269250957496,100,121,1,0,3.560602903366089,142.57831072807312,0,EIG-0|50|20|10|5|1,0,
-46091.19877781087,-6.979208968739898,-354.84047298090763,100,120,1,0,28.27226996421814,170.95688796043396,0,EIG-0|50|20|10|5|1,0,
-43419.29787826011,-6.747652270768024,-32.267925564439864,100,5,1,0,27.87505292892456,198.9292688369751,0,EIG-0|50|20|10|5|1,0,
-43113.68439275774,-6.536527309616307,-6.536527309616307,100,1,1,0,7.013926982879639,206.03627490997314,0,EIG-0|50|20|10|5|1,0,
-43055.203249818755,-6.372310135751295,-232.12816493045094,100,50,1,0,3.3721439838409424,209.4997718334198,0,EIG-0|50|20|10|5|1,0,
-41766.535460368665,-6.301495462510985,-327.3530782465822,100,120,1,0,19.77804398536682,229.38269901275635,0,EIG-0|50|20|10|5|1,0,
-40453.741607366785,-6.358882388792323,-57.41661020301464,100,10,1,0,22.607478857040405,252.0853180885315,0,EIG-0|50|20|10|5|1,0,
-40161.97396130739,-6.076361715072614,-214.05605095604324,100,50,1,0,9.26626706123352,261.4440870285034,0,EIG-0|50|20|10|5|1,0,
-39447.430099750374,-5.956868789259105,-300.50996039390037,100,118,1,0,19.403621912002563,280.9414451122284,0,EIG-0|50|20|10|5|1,0,
-38718.44531157479,-6.260990091029074,-54.80108537810953,100,10,1,0,21.621769905090332,302.65917110443115,0,EIG-0|50|20|10|5|1,0,
-38553.401229061754,-5.9000226985476845,-199.564737423916,100,50,1,0,10.05433177947998,312.80820989608765,0,EIG-0|50|20|10|5|1,0,
-38126.581423603115,-5.835534964885367,-51.42254199773221,100,10,1,0,21.373852014541626,334.27736806869507,0,EIG-0|50|20|10|5|1,0,
-38001.73249877512,-5.801621180965781,-193.78616462696525,100,50,1,0,10.479091882705688,344.8510980606079,0,EIG-0|50|20|10|5|1,0,
-37671.337523135044,-5.666434739150993,-26.860876336338844,100,5,1,0,20.65043807029724,365.5959401130676,0,EIG-0|50|20|10|5|1,0,
-37608.76493590418,-5.454220965043293,-93.42947109008888,100,20,1,0,7.169010162353516,372.86114716529846,0,EIG-0|50|20|10|5|1,0,
-37440.236975857144,-5.5238683917880325,-270.79331413112095,100,116,1,0,14.897500991821289,387.8640308380127,0,EIG-0|50|20|10|5|1,0,
-37102.734817763834,-5.608418851202883,-187.05060265729767,100,50,1,0,24.442930936813354,412.4026107788086,0,EIG-0|50|20|10|5|1,0,
-36860.80441272276,-9.850172590727535,-186.12544898032735,100,50,1,0,21.485831022262573,433.9925937652588,0,EIG-0|50|20|10|5|1,0,
-36645.71281879949,-5.3602192347685405,-25.75653368280117,100,5,1,0,18.3425509929657,452.4343190193176,0,EIG-0|50|20|10|5|1,0,
-36606.9668384199,-5.528881190624329,-5.528881190624329,100,1,1,0,10.028264045715332,462.56180691719055,0,EIG-0|50|20|10|5|1,0,
-36601.78960519708,-5.262433587769767,-260.89918915462874,100,118,1,0,3.0618200302124023,465.71811294555664,0,EIG-0|50|20|10|5|1,0,
-36376.74911111728,-5.3430201493009095,-5.3430201493009095,100,1,1,0,28.475672006607056,494.2899260520935,0,EIG-0|50|20|10|5|1,0,
-36368.005121112205,-5.374663763516091,-181.28424712830602,100,50,1,0,5.515826940536499,499.9100511074066,0,EIG-0|50|20|10|5|1,0,
-36191.12719987331,-6.299536501790589,-48.308108340330904,100,10,1,0,30.112625122070312,530.1252019405365,0,EIG-0|50|20|10|5|1,0,
-36140.01185809069,-5.311496513727227,-179.71006518639493,100,50,1,0,15.217968940734863,545.4394838809967,0,EIG-0|50|20|10|5|1,0,
-35987.83269705464,-5.294431041357151,-177.48307520063517,100,50,1,0,29.393620014190674,574.9285259246826,0,EIG-0|50|20|10|5|1,0,
-35841.47478148041,-5.703798555918324,-176.4624888806425,100,50,1,0,26.511448860168457,601.5343499183655,0,EIG-0|50|20|10|5|1,0,
-35701.793607873355,-5.213485889092774,-5.213485889092774,100,1,1,0,26.848258018493652,628.477872133255,0,EIG-0|50|20|10|5|1,0,
-35695.71197275055,-5.256896118994609,-178.65675968034293,100,50,1,0,5.113224983215332,633.6849060058594,0,EIG-0|50|20|10|5|1,0,
-35566.13855767274,-5.299971366662275,-46.98530784630087,100,10,1,0,34.407615184783936,668.1896550655365,0,EIG-0|50|20|10|5|1,0,
-35523.73486353149,-5.287141487947653,-177.65911417040178,100,50,1,0,15.975342035293579,684.2604229450226,0,EIG-0|50|20|10|5|1,0,
-35412.22365429553,-5.899480465058233,-5.899480465058233,100,1,1,0,29.232707023620605,713.5873138904572,0,EIG-0|50|20|10|5|1,0,
-35409.96946404625,-5.307471977507818,-256.25315544895034,100,116,1,0,4.168012857437134,717.8508698940277,0,EIG-0|50|20|10|5|1,0,
-35276.902845500575,-5.157546133950534,-87.59626739858241,100,20,1,0,39.121103048324585,757.0658659934998,0,EIG-0|50|20|10|5|1,0,
