lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-147251.75,-7.077193725919378,-39.63716068663233,100,119,1,0,0.795475959777832,0.899526834487915,0,FROB-0,0,0.8705179691314697
-122829.1158536447,-7.559459261265137,-41.2608381642619,100,123,1,0,18.08808207511902,19.08197784423828,0,FROB-0,0,
-90976.83681369937,-7.098572950415216,-40.41898168725097,100,123,1,0,15.950536012649536,35.13483691215515,0,FROB-0,0,
-72841.92579255128,-6.901846685827963,-39.682472462791246,100,122,1,0,16.148218154907227,51.38201713562012,0,FROB-0,0,
-61910.94472303874,-6.665189230341968,-38.479535516835405,100,123,1,0,16.23348593711853,67.71320605278015,0,FROB-0,0,
-55044.78229294452,-6.799919387896738,-37.13868858047952,100,124,1,0,20.063343048095703,87.87012100219727,0,FROB-0,0,
-50671.55800910709,-6.474831238726035,-35.736083432214805,100,122,1,0,15.97567105293274,103.94472098350525,0,FROB-0,0,
-47827.18177704887,-6.1543376209770715,-33.672811647095635,100,119,1,0,17.260815143585205,121.30070400238037,0,FROB-0,0,
-46094.93985007914,-7.859252775340916,-31.713117890206355,100,116,1,0,15.581562995910645,136.97731399536133,0,FROB-0,0,
-44974.48023489541,-5.502610097874297,-30.38647224429682,100,118,1,0,16.204257011413574,153.27909898757935,0,FROB-0,0,
-44261.94540928324,-14.032389661723196,-29.652580558750273,100,108,1,0,14.907294034957886,168.28123497962952,0,FROB-0,0,
-43771.639183701394,-5.2768347406929434,-28.144314538554685,100,118,1,0,12.443236112594604,180.8234691619873,0,FROB-0,0,
-43333.47881575327,-5.238658259392311,-27.214473568627852,100,117,1,0,16.690392017364502,197.61009407043457,0,FROB-0,0,
-42962.891393857164,-5.115639839044227,-26.880531747890878,100,116,1,0,21.32356905937195,219.02888917922974,0,FROB-0,0,
-42643.756461367906,-6.062884319366824,-25.08096716398721,100,116,1,0,22.203088998794556,241.33042573928833,0,FROB-0,0,
-42385.22121333441,-5.163472423280282,-24.549713118850978,100,117,1,0,19.52450704574585,260.9551639556885,0,FROB-0,0,
-42157.30488154825,-4.69413735288319,-24.114073773218927,100,115,1,0,19.865031003952026,280.92464685440063,0,FROB-0,0,
-41969.78980496089,-5.451365232190571,-23.700068670911012,100,116,1,0,17.13496685028076,298.15466499328613,0,FROB-0,0,
-41806.79647331187,-4.747736542252852,-25.140095302466204,100,117,1,0,20.14224600791931,318.38926219940186,0,FROB-0,0,
-41667.63977630901,-6.575439578961829,-23.95640654069095,100,115,1,0,18.76216197013855,337.2487909793854,0,FROB-0,0,
-41538.17450001045,-4.813391265042487,-25.33886007161343,100,116,1,0,20.05013418197632,357.40153193473816,0,FROB-0,0,
-41422.15623934566,-7.096920331957897,-23.55480323533734,100,115,1,0,20.69033980369568,378.18736696243286,0,FROB-0,0,
-41325.30912145588,-4.726718942181748,-25.20029166081675,100,116,1,0,19.438627004623413,397.721391916275,0,FROB-0,0,
-41236.021438572796,-5.336248077840192,-23.757555871196814,100,116,1,0,23.22387719154358,421.04209089279175,0,FROB-0,0,
-41153.65637295437,-4.5146446594199965,-24.377314399279143,100,114,1,0,23.692407846450806,444.8385169506073,0,FROB-0,0,
-41078.8460324838,-5.791461166992609,-23.404529635615358,100,115,1,0,25.1037118434906,470.05160188674927,0,FROB-0,0,
-41012.45453971587,-5.122406039304183,-24.540173463165875,100,117,1,0,22.311491012573242,492.4714000225067,0,FROB-0,0,
-40954.38044016076,-4.469320257390083,-23.80464928224093,100,116,1,0,28.48822808265686,521.066458940506,0,FROB-0,0,
-40903.55755996425,-6.2740269791695225,-23.58851366262487,100,115,1,0,30.635581016540527,551.8111929893494,0,FROB-0,0,
-40857.98071006372,-4.493964427860766,-24.313033738704956,100,116,1,0,29.439053058624268,581.3618397712708,0,FROB-0,0,
-40818.45893090651,-5.571900571471131,-23.00517923456372,100,116,1,0,28.442979097366333,609.9086468219757,0,FROB-0,0,
-40780.603696175545,-5.272042612899728,-24.592317000215388,100,116,1,0,27.594483852386475,637.613137960434,0,FROB-0,0,
-40745.48788936642,-4.438104753941239,-23.498843022664257,100,116,1,0,25.285529136657715,663.009213924408,0,FROB-0,0,
-40711.65971558733,-4.5174356780514175,-23.680444634203756,100,116,1,0,32.88951396942139,696.0110321044922,0,FROB-0,0,
-40680.29800492655,-4.5581529874635764,-23.18269917440356,100,117,1,0,30.226011037826538,726.3359749317169,0,FROB-0,0,
-40650.45666688903,-4.630205097280932,-23.90710397195933,100,116,1,0,39.189871072769165,765.6342918872833,0,FROB-0,0,
-40624.08189930648,-4.628435512353532,-23.111720558321277,100,116,1,0,34.192906856536865,799.9285690784454,0,FROB-0,0,
-40599.403062049285,-5.24330440471949,-24.684875356236045,100,116,1,0,35.89040803909302,835.9193348884583,0,FROB-0,0,
-40579.78394733609,-7.6027631464190994,-22.454512295676004,100,117,1,0,31.6824848651886,867.7053089141846,0,FROB-0,0,
-40560.026537755286,-4.738098363163392,-25.15642884194151,100,117,1,0,34.53467607498169,902.3427319526672,0,FROB-0,0,
-40541.375087498025,-4.326997580739389,-23.264743900482273,100,116,1,0,43.177505016326904,945.6196138858795,0,FROB-0,0,
-40522.92338149349,-4.425969755044868,-22.779908024306064,100,115,1,0,43.39703297615051,989.1166260242462,0,FROB-0,0,
-40505.59381565519,-4.446557382308281,-23.18095009989908,100,116,1,0,43.08197903633118,1032.3033740520477,0,FROB-0,0,
-40489.83041993034,-4.471251353500041,-23.018441489758587,100,114,1,0,41.081252098083496,1073.4841179847717,0,FROB-0,0,
-40474.40534938078,-4.635408304582375,-22.868833796024443,100,115,1,0,51.42159080505371,1125.0074729919434,0,FROB-0,0,
-40460.05757059649,-4.74100464114559,-22.301567246444986,100,115,1,0,43.76825284957886,1168.8830959796906,0,FROB-0,0,
-40446.61927154519,-4.4571451164151865,-23.633471812503327,100,115,1,0,43.442967891693115,1212.436054944992,0,FROB-0,0,
-40433.8537181844,-4.835649915644653,-23.213650537802994,100,115,1,0,43.32646608352661,1255.8603568077087,0,FROB-0,0,
-40421.246507793374,-4.485026163192913,-23.790590201869435,100,116,1,0,49.76235795021057,1305.7246389389038,0,FROB-0,0,
-40409.387827474144,-4.477699758525637,-23.316876037651316,100,116,1,0,47.51268696784973,1353.3351800441742,0,FROB-0,0,
-40397.77593189871,-4.381530447409146,-23.068401375508536,100,114,1,0,46.82377314567566,1400.254961013794,0,FROB-0,0,
-40387.020038600465,-4.503422211075686,-23.604665344112473,100,116,1,0,48.73150396347046,1449.0944020748138,0,FROB-0,0,
-40376.55019302226,-4.702220387458002,-23.485748707511796,100,116,1,0,55.48654508590698,1504.6794600486755,0,FROB-0,0,
-40367.01183564862,-4.5046740637053215,-23.10914924828772,100,116,1,0,54.60269498825073,1559.3959197998047,0,FROB-0,0,
-40357.89636259989,-4.364070098489161,-22.885971969870226,100,117,1,0,64.72335195541382,1624.219624042511,0,FROB-0,0,
-40349.49831972083,-4.551148079208414,-23.293646240946305,100,114,1,0,54.35820388793945,1678.67267203331,0,FROB-0,0,
-40341.426570143885,-4.479777359041637,-23.18467979968164,100,115,1,0,46.510042905807495,1725.2832760810852,0,FROB-0,0,
-40333.59924930177,-4.694961943290982,-22.40786314285254,100,115,1,0,55.57177209854126,1780.9525339603424,0,FROB-0,0,
