lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-196843.5,-7.509573485132517,-17.367820973298333,100,6,1,0,0.9513809680938721,1.051560878753662,0,FROB-S,0,0.8577120304107666
-186000.80340185776,-7.3398334680271375,-17.112182510176314,100,6,1,0,4.048820972442627,5.198064088821411,0,FROB-S,0,
-177356.70940883196,-7.364395282148762,-16.963496100207244,100,6,1,0,4.236034870147705,9.529975891113281,0,FROB-S,0,
-170316.6340735821,-7.191642891520665,-16.883837479953684,100,6,1,0,4.21957802772522,13.845437049865723,0,FROB-S,0,
-163869.673046556,-7.220843988088045,-16.904154702183252,100,6,1,0,4.099992990493774,18.042174816131592,0,FROB-S,0,
-158074.11109508033,-7.258893047921766,-18.180240542683393,100,7,1,0,4.163864850997925,22.31130886077881,0,FROB-S,0,
-152079.23807493853,-7.206938069528455,-17.9717358828689,100,7,1,0,4.802501916885376,27.20908784866333,0,FROB-S,0,
-146730.86616933413,-7.045093832633865,-18.988462557317586,100,8,1,0,4.438086032867432,31.741786003112793,0,FROB-S,0,
-141140.88109327405,-7.277187558379448,-15.445394233221261,100,5,1,0,5.149677038192749,36.98560094833374,0,FROB-S,0,
-137681.16539758167,-7.151610048119211,-19.25010091015818,100,8,1,0,3.95536208152771,41.037513971328735,0,FROB-S,0,
-132590.64816752606,-7.159701392661139,-17.9364546975053,100,7,1,0,5.669435024261475,46.80108308792114,0,FROB-S,0,
-128509.55513859888,-7.144359597159345,-18.002205097939214,100,7,1,0,9.15338683128357,56.05023789405823,0,FROB-S,0,
-124705.14553317998,-6.9997383904460655,-17.77365197759175,100,7,1,0,10.360357999801636,66.50458216667175,0,FROB-S,0,
-121332.2859322926,-7.0642551696163824,-17.98486976789179,100,7,1,0,9.094734907150269,75.6930148601532,0,FROB-S,0,
-118055.15799210352,-7.1109933902411395,-16.496768212966003,100,6,1,0,9.327583074569702,85.11581778526306,0,FROB-S,0,
-115414.49592261504,-6.990528209816275,-17.557143065813275,100,7,1,0,9.19041109085083,94.40087604522705,0,FROB-S,0,
-112649.11068026524,-7.23942650677154,-15.277199097813611,100,5,1,0,8.536941051483154,103.03190112113953,0,FROB-S,0,
-110635.82069362843,-6.886484548777069,-19.659932567138654,100,9,1,0,8.535617113113403,111.66228079795837,0,FROB-S,0,
-107389.88441616384,-7.049570343872724,-17.761246242480887,100,7,1,0,11.141510963439941,122.89906096458435,0,FROB-S,0,
-104959.61584814111,-6.970428532220711,-17.613708839564936,100,7,1,0,11.019691944122314,134.01415705680847,0,FROB-S,0,
-102656.64090548505,-7.061146019620342,-16.541522618481206,100,6,1,0,11.54236912727356,145.65191102027893,0,FROB-S,0,
-100730.27242404158,-7.034409824217694,-17.50833356594155,100,7,1,0,10.684997081756592,156.433002948761,0,FROB-S,0,
-98652.54911600184,-7.014339561103874,-18.678601240765673,100,8,1,0,9.474536895751953,166.00322914123535,0,FROB-S,0,
-96432.23220232333,-6.783845073302559,-19.436600925599915,100,9,1,0,12.063107013702393,178.16144514083862,0,FROB-S,0,
-94183.68203085668,-7.099664638354302,-16.646061257766686,100,6,1,0,12.908061981201172,191.16754603385925,0,FROB-S,0,
-92617.77183431275,-6.946530960461203,-16.175569313796515,100,6,1,0,10.068143129348755,201.3303017616272,0,FROB-S,0,
-91215.57590020334,-6.7962177652995255,-18.184259286893344,100,8,1,0,10.661079168319702,212.09508085250854,0,FROB-S,0,
-89497.39381576635,-6.971161303089072,-16.094228085169707,100,6,1,0,14.34956407546997,226.54145193099976,0,FROB-S,0,
-88176.05748790802,-6.76016874689145,-17.208362428091522,100,7,1,0,12.147339105606079,238.78365993499756,0,FROB-S,0,
-86666.11000525937,-6.908707932490614,-17.332065270712114,100,7,1,0,13.698378801345825,252.57650899887085,0,FROB-S,0,
-85290.33616773413,-7.0318040912610655,-13.38246203912575,100,4,1,0,12.069514036178589,264.7407441139221,0,FROB-S,0,
-84510.97150225007,-6.94485991493027,-16.078125883753334,100,6,1,0,9.312433958053589,274.14800810813904,0,FROB-S,0,
-83457.75062609547,-7.1162820020315305,-13.492499286134702,100,4,1,0,11.287216901779175,285.53209495544434,0,FROB-S,0,
-82675.36445566943,-6.797235439677451,-17.10078885348507,100,7,1,0,12.889386892318726,298.5214030742645,0,FROB-S,0,
