dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,lb0,cpu0,cpub,cputotal,gc
BOXQP_SMALL,spar020-100-1,QP,21,0,SDP,-1,-1.0,1e-06,-706.5147197113716,0.24568986892700195,1,0.24568986892700195,1.925123216309541e-11,1,-706.5147197113716,0.24568986892700195,0.06849384307861328,0.3234100341796875,1.0
BOXQP_SMALL,spar020-100-1,QP,21,0,LP-FROB-0,-1,0.3234100341796875,1e-06,-706.524572631521,0.32175421714782715,132,0.0017498641303091338,-0.0004067021121226107,0,-1010.75,0.0027892589569091797,0.005036115646362305,0.32938218116760254,0.9999676141434353
BOXQP_SMALL,spar020-100-1,QP,21,0,LP-EIG-0,-1,0.3234100341796875,1e-06,-706.5195519173324,0.3214998245239258,130,0.0018001391337468073,-9.362550055734559e-05,0,-1010.75,0.0027039051055908203,0.004842042922973633,0.32657408714294434,0.9999841168783707
BOXQP_SMALL,spar020-100-1,QP,21,0,LP-EIG-S,-1,0.3234100341796875,1e-06,-706.5877085427925,0.31854987144470215,132,0.0017326564499826143,-0.0009649996350744313,0,-1010.75,0.002672910690307617,0.00505518913269043,0.32382726669311523,0.9997600908370929
BOXQP_SMALL,spar020-100-1,QP,21,0,LP-EIG-1,-1,0.3234100341796875,1e-06,-706.6039034096062,0.31961703300476074,126,0.0018164014059399802,-0.001672675719289568,0,-1010.75,0.0025539398193359375,0.0048029422760009766,0.3246641159057617,0.9997068594472345
BOXQP_SMALL,spar020-100-1,QP,21,0,SOC-FROB-0,-1,0.3234100341796875,1e-06,-730.2829281472292,0.3568587303161621,5,0.07047462463378906,-0.1295931811209499,0,-1010.7490792447245,0.05335688591003418,0.005326271057128906,0.3623991012573242,0.9218753316610451
BOXQP_SMALL,spar020-100-1,QP,21,0,SOC-EIG-1,-1,0.3234100341796875,1e-06,-840.4662144420157,0.35784077644348145,6,0.05873080094655355,-1.292831294446191,0,-1010.7490792447245,0.04900979995727539,0.005101203918457031,0.36315298080444336,0.5597095116537647
BOXQP_SMALL,spar020-100-2,QP,21,0,SDP,-1,-1.0,1e-06,-857.9079108406534,0.30582380294799805,1,0.30582380294799805,2.920040835703917e-10,1,-857.9079108406534,0.30582380294799805,0.07652497291564941,0.3836066722869873,1.0
BOXQP_SMALL,spar020-100-2,QP,21,0,LP-FROB-0,-1,0.3836066722869873,1e-06,-858.7890161218988,0.37986016273498535,162,0.001630086957672496,-0.009158043707851126,0,-1227.75,0.003022909164428711,0.0054738521575927734,0.38564085960388184,0.9976176176074274
BOXQP_SMALL,spar020-100-2,QP,21,0,LP-EIG-0,-1,0.3836066722869873,1e-06,-860.0469643887897,0.38270998001098633,150,0.0018586619695027669,-0.027448104641474232,0,-1227.75,0.0026628971099853516,0.004940032958984375,0.38793015480041504,0.9942163057941881
BOXQP_SMALL,spar020-100-2,QP,21,0,LP-EIG-S,-1,0.3836066722869873,1e-06,-858.4102294368674,0.3801708221435547,155,0.001709655023390247,-0.003972134241431783,0,-1227.75,0.0028069019317626953,0.004763126373291016,0.38527703285217285,0.9986418025126457
BOXQP_SMALL,spar020-100-2,QP,21,0,LP-EIG-1,-1,0.3836066722869873,1e-06,-858.6777643968212,0.38129377365112305,157,0.0017231345935991614,-0.005293664749293911,0,-1227.75,0.0029387474060058594,0.005304098129272461,0.38701581954956055,0.9979184263264418
BOXQP_SMALL,spar020-100-2,QP,21,0,SOC-FROB-0,-1,0.3836066722869873,1e-06,-896.8000217343832,0.45343708992004395,6,0.07464949289957683,-0.3574054360091931,0,-1227.7487684869684,0.051676034927368164,0.0053141117095947266,0.4589822292327881,0.8948409563474379
BOXQP_SMALL,spar020-100-2,QP,21,0,SOC-EIG-1,-1,0.3836066722869873,1e-06,-925.4343689562694,0.4070718288421631,7,0.057295765195574076,-0.8333707149207603,0,-1227.7487684869684,0.05086469650268555,0.005324125289916992,0.4126110076904297,0.8174175277838213
BOXQP_SMALL,spar020-100-3,QP,21,0,SDP,-1,-1.0,1e-06,-771.9999982589785,0.13126301765441895,1,0.13126301765441895,1.9614463284614546e-11,1,-771.9999982589785,0.13126301765441895,0.06785392761230469,0.20018529891967773,1.0
BOXQP_SMALL,spar020-100-3,QP,21,0,LP-FROB-0,-1,0.20018529891967773,1e-06,-772.0000142723042,0.02542424201965332,11,0.0016407316381281073,-3.357562809723549e-07,1,-1115.5,0.003141164779663086,0.004955768585205078,0.03061676025390625,0.9999999533818761
BOXQP_SMALL,spar020-100-3,QP,21,0,LP-EIG-0,-1,0.20018529891967773,1e-06,-772.0000097505803,0.037468910217285156,18,0.0014195177290174696,-4.8628574591146e-07,1,-1115.5,0.0031070709228515625,0.00522923469543457,0.04289722442626953,0.9999999665455555
BOXQP_SMALL,spar020-100-3,QP,21,0,LP-EIG-S,-1,0.20018529891967773,1e-06,-772.0000193872141,0.05068683624267578,23,0.0015023065649944804,-8.199102193905725e-07,1,-1115.5,0.0032830238342285156,0.00510096549987793,0.056051015853881836,0.9999999384913085
BOXQP_SMALL,spar020-100-3,QP,21,0,LP-EIG-1,-1,0.20018529891967773,1e-06,-772.0000231275637,0.07701277732849121,36,0.0014466245969136555,-9.787138966893589e-07,1,-1115.5,0.0032320022583007812,0.005311012268066406,0.08255791664123535,0.9999999276023723
BOXQP_SMALL,spar020-100-3,QP,21,0,SOC-FROB-0,-1,0.20018529891967773,1e-06,-781.0006390898457,0.2741892337799072,4,0.06769853830337524,-0.14805017600607154,0,-1115.4999094247287,0.050977230072021484,0.005365848541259766,0.279799222946167,0.9737972542690876
