lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-4274.25,-2.722089943031759,-5.721330216125454,100,18,1,0,0.01943492889404297,0.022166013717651367,0,FROB-0,0,0.019484281539916992
-3423.4853667583725,-2.4899666768889674,-5.661513774670666,100,18,1,0,0.01566600799560547,0.04056596755981445,0,FROB-0,0.3977859185210194,
-2845.7468267543654,-2.123259874285154,-5.429375374543983,100,19,1,0,0.020847082138061523,0.06449484825134277,0,FROB-0,0.6679149845646193,
-2567.4921488485784,-2.0340136087336558,-4.940436351152035,100,18,1,0,0.01804208755493164,0.08562779426574707,0,FROB-0,0.7980165288798586,
-2402.0280859134764,-2.0319107269789507,-4.274498772250177,100,15,1,0,0.027656078338623047,0.11635088920593262,0,FROB-0,0.8753813742026729,
-2354.5837390752417,-0.6923705580505891,-1.5056232253533453,100,17,1,0,0.016824007034301758,0.13628697395324707,0,FROB-0,0.8975645872186715,
-2340.052929356242,-0.707398997465606,-1.3088084797582866,100,17,1,0,0.01655411720275879,0.1558840274810791,0,FROB-0,0.9043586537149509,
-2329.9635745346786,-0.9643181864751053,-1.6239322989282845,100,18,1,0,0.012378215789794922,0.17107892036437988,0,FROB-0,0.9090760609956087,
-2323.890788572573,-0.45406533591366444,-1.0999309882929973,100,18,1,0,0.00950002670288086,0.18319106101989746,0,FROB-0,0.9119154699784591,
-2314.2642295125047,-0.9547773152972899,-1.6633053315033985,100,17,1,0,0.015697002410888672,0.20151400566101074,0,FROB-0,0.9164164911637375,
-2309.6826091397675,-0.4241907998309877,-0.965430252353239,100,19,1,0,0.009919166564941406,0.21406006813049316,0,FROB-0,0.9185586865454844,
-2302.149397549555,-0.5389129354848191,-1.058548115383043,100,19,1,0,0.015445947647094727,0.23214483261108398,0,FROB-0,0.9220809362661951,
-2296.9666966689606,-0.5986211942493236,-1.1094888589089564,100,17,1,0,0.01312398910522461,0.24790406227111816,0,FROB-0,0.9245041745505038,
-2292.714244996886,-0.5567330046007217,-1.0170714949005257,100,18,1,0,0.014943838119506836,0.26548290252685547,0,FROB-0,0.9264924628834322,
-2287.8869919251683,-0.5838278593883961,-1.0247168704236798,100,18,1,0,0.021689176559448242,0.28980302810668945,0,FROB-0,0.9287495069847486,
-2283.850242934275,-0.5628412658713207,-0.9644477504940326,100,19,1,0,0.018996000289916992,0.3114278316497803,0,FROB-0,0.9306369407618945,
-2280.35627834166,-0.4717270556853498,-0.9407991934008114,100,19,1,0,0.014173030853271484,0.32822394371032715,0,FROB-0,0.9322705887303784,
-2277.3266234969637,-0.4161206884710114,-0.933745790328353,100,18,1,0,0.019025087356567383,0.3498828411102295,0,FROB-0,0.9336871427197083,
-2274.0028728358625,-0.5459499747290308,-0.9480134044509164,100,19,1,0,0.019917011260986328,0.37244176864624023,0,FROB-0,0.9352412049808807,
-2272.191505550762,-0.29849630895352813,-0.6324920654302048,100,18,1,0,0.020244121551513672,0.3952977657318115,0,FROB-0,0.936088132992612,
