lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2315.25,-1.9080064634159404,-3.666650961454546,100,2,1,0,0.017035961151123047,0.021565914154052734,0,EIG-S,0,0.0463862419128418
-2315.25,-2.1341769034530595,-2.1341769034530595,100,1,1,0,0.003554105758666992,0.02960491180419922,0,EIG-S,0.0,
-2315.25,-2.0927405783634345,-2.0927405783634345,100,1,1,0,0.002624034881591797,0.036505937576293945,0,EIG-S,0.0,
-2315.25,-2.3374812707362143,-2.3374812707362143,100,1,1,0,0.0052258968353271484,0.046242713928222656,0,EIG-S,0.0,
-2315.25,-2.0955547319889707,-4.103212840994079,100,2,1,0,0.0034258365631103516,0.05392789840698242,0,EIG-S,0.0,
-2315.25,-2.2876404891111366,-2.2876404891111366,100,1,1,0,0.006271839141845703,0.06442093849182129,0,EIG-S,0.0,
-2315.25,-2.371436611050802,-4.513293793451867,100,2,1,0,0.010145902633666992,0.07883381843566895,0,EIG-S,0.0,
-2315.25,-2.4942955921274788,-2.4942955921274788,100,1,1,0,0.011229991912841797,0.09427380561828613,0,EIG-S,0.0,
-2315.25,-2.558296139236118,-4.959974494869657,100,2,1,0,0.012071847915649414,0.11059784889221191,0,EIG-S,0.0,
-2315.25,-2.561731063021729,-4.916009742713145,100,2,1,0,0.015932798385620117,0.13064098358154297,0,EIG-S,0.0,
-2315.25,-2.9167377068024645,-2.9167377068024645,100,1,1,0,0.015516996383666992,0.15027093887329102,0,EIG-S,0.0,
-2315.25,-2.8323156015212585,-2.8323156015212585,100,1,1,0,0.00872182846069336,0.1627960205078125,0,EIG-S,0.0,
-2315.25,-2.4883431972319,-4.749531939154798,100,2,1,0,0.00919795036315918,0.17577195167541504,0,EIG-S,0.0,
-2315.25,-2.599119161861385,-4.962484830581813,100,2,1,0,0.012063026428222656,0.19162487983703613,0,EIG-S,0.0,
-2315.25,-2.8424310090409266,-2.8424310090409266,100,1,1,0,0.014890909194946289,0.2103266716003418,0,EIG-S,0.0,
-2315.25,-2.6404556628417004,-5.077128585199716,100,2,1,0,0.015657901763916016,0.23006486892700195,0,EIG-S,0.0,
-2315.25,-3.0483180897363087,-3.0483180897363087,100,1,1,0,0.019647836685180664,0.25355982780456543,0,EIG-S,0.0,
-2313.521709437429,-2.850962382475057,-5.53888721957965,100,2,1,0,0.02384495735168457,0.281430721282959,0,EIG-S,0.0026839411219571033,
-2304.0754106490126,-2.704737745739349,-5.220520483687137,100,2,1,0,0.021489858627319336,0.3069589138031006,0,EIG-S,0.017353528700336435,
-2296.1381927485445,-2.505074096150193,-7.200813115431211,100,3,1,0,0.022204875946044922,0.33319783210754395,0,EIG-S,0.02967959584341466,
-2284.0591172030818,-2.8630176538826526,-2.8630176538826526,100,1,1,0,0.0299530029296875,0.3672177791595459,0,EIG-S,0.048437742345970286,
-2278.844460137584,-2.7133853876384304,-2.7133853876384304,100,1,1,0,0.017594099044799805,0.3889038562774658,0,EIG-S,0.056535820781445915,
-2272.5348369817357,-2.5242511198123565,-7.250740069867412,100,3,1,0,0.018388986587524414,0.4113459587097168,0,EIG-S,0.06633432192400891,
-2257.286186879621,-2.8250207556903533,-5.429964198256496,100,2,1,0,0.0389399528503418,0.4544026851654053,0,EIG-S,0.09001464509982718,
-2240.723116075531,-2.810291558380629,-2.810291558380629,100,1,1,0,0.03716588020324707,0.4956827163696289,0,EIG-S,0.1157361920432127,
-2233.0876703069353,-2.6707132557547957,-5.107772758630697,100,2,1,0,0.03210020065307617,0.531862735748291,0,EIG-S,0.1275936234998308,
-2222.3692311039567,-2.8209207120806212,-5.543169946400983,100,2,1,0,0.04366803169250488,0.5796689987182617,0,EIG-S,0.1442387758619857,
-2210.2546312360982,-3.007484469340699,-3.007484469340699,100,1,1,0,0.049751996994018555,0.6335458755493164,0,EIG-S,0.16305208970258767,
-2202.356573806847,-2.7184912511083557,-5.22980821988521,100,2,1,0,0.03854107856750488,0.6762697696685791,0,EIG-S,0.17531734276652314,
-2189.8951400618644,-2.862750725759232,-2.862750725759232,100,1,1,0,0.04895496368408203,0.729219913482666,0,EIG-S,0.19466927072992407,
-2183.6442520052287,-2.540820581885753,-4.974395191567997,100,2,1,0,0.03734898567199707,0.770676851272583,0,EIG-S,0.20437655946208957,
-2175.8668793706,-2.67542670348422,-2.67542670348422,100,1,1,0,0.04436993598937988,0.8192248344421387,0,EIG-S,0.21645439561240082,
-2170.5992705280337,-2.532291900555719,-2.532291900555719,100,1,1,0,0.03606891632080078,0.8594670295715332,0,EIG-S,0.22463470527394072,
-2166.9732110220525,-2.215639276491669,-4.261936653720516,100,2,1,0,0.032781124114990234,0.8961889743804932,0,EIG-S,0.230265778213602,
-2161.6235048187727,-2.1524312276118613,-6.220532906993389,100,3,1,0,0.030987977981567383,0.9314138889312744,0,EIG-S,0.23857358060535433,
-2153.3350587563464,-2.3732257609473595,-2.3732257609473595,100,1,1,0,0.038107872009277344,0.9737298488616943,0,EIG-S,0.25144508595626885,
-2149.2123602286397,-2.3547263020580784,-2.3547263020580784,100,1,1,0,0.03018498420715332,1.0081369876861572,0,EIG-S,0.2578474122499927,
-2146.09859453076,-2.3779139118481707,-4.525935950363881,100,2,1,0,0.01939702033996582,1.0319359302520752,0,EIG-S,0.2626829208049005,
-2141.0195076359164,-2.2761861668322476,-4.43551899518801,100,2,1,0,0.03759503364562988,1.0737709999084473,0,EIG-S,0.270570466148424,
