lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2313.5,-2.088625150557087,-4.116725961795489,100,13,1,0,0.0066678524017333984,0.008356809616088867,0,FROB-0,0,0.011526107788085938
-2045.1584963232726,-2.312436035272556,-4.385920988497681,100,13,1,0,0.008533000946044922,0.018899917602539062,0,FROB-0,0.2715094301079548,
-1693.5949749942615,-2.165275727556163,-4.073701065473266,100,14,1,0,0.007609844207763672,0.0281679630279541,0,FROB-0,0.6272233618513582,
-1542.0034069686376,-1.4544174837693822,-2.6477053284050753,100,10,1,0,0.008496999740600586,0.0382840633392334,0,FROB-0,0.7806045558890586,
-1503.6782797797534,-1.185067796797108,-1.9787459828129934,94,8,1,0,0.004534006118774414,0.04445481300354004,0,FROB-0,0.8193821333390402,
-1485.3991060127737,-1.3454216480393972,-2.158417973222478,100,13,1,0,0.0038640499114990234,0.04994773864746094,0,FROB-0,0.8378771033094548,
-1471.2139685166985,-1.0816719646287278,-1.886697688064156,100,14,1,0,0.0052340030670166016,0.05681586265563965,0,FROB-0,0.8522297045462808,
-1461.3290514945215,-0.6637629716408145,-1.2761265002929822,100,13,1,0,0.004806041717529297,0.06323409080505371,0,FROB-0,0.8622313187229269,
-1454.677681407214,-0.6521895864469757,-1.127293776045067,100,13,1,0,0.005903005599975586,0.07082390785217285,0,FROB-0,0.8689612120756061,
-1447.046827523405,-0.9002388187956313,-1.368030081325852,100,14,1,0,0.005113124847412109,0.07757186889648438,0,FROB-0,0.8766821525967043,
-1442.2677849583383,-0.7428629130597229,-1.3242053566176013,100,11,1,0,0.005633831024169922,0.08481574058532715,0,FROB-0,0.881517614519382,
-1437.58153430888,-0.61083393244485,-0.9707042411247119,100,13,1,0,0.005290985107421875,0.09173083305358887,0,FROB-0,0.8862591890642958,
-1434.379040947245,-0.5183062351695685,-0.9637079099871528,100,14,1,0,0.0049970149993896484,0.09834599494934082,0,FROB-0,0.8894994897096614,
-1431.1240173131546,-0.6739722582864949,-1.1055205011779687,100,13,1,0,0.0038480758666992188,0.10380077362060547,0,FROB-0,0.8927929407776872,
-1426.7751808007877,-0.6964644481625114,-1.255916064157343,100,14,1,0,0.0067059993743896484,0.11213374137878418,0,FROB-0,0.8971931178167482,
-1422.9798828513362,-0.6095777900629853,-0.9699134378685595,100,13,1,0,0.006803035736083984,0.12057805061340332,0,FROB-0,0.9010332214504627,
-1420.4623738239618,-0.47214479711755597,-0.7856675877523214,100,14,1,0,0.005669116973876953,0.12784790992736816,0,FROB-0,0.9035804511258898,
-1418.0252513364228,-0.4032740772983306,-0.6547260613008674,100,14,1,0,0.005944013595581055,0.1354517936706543,0,FROB-0,0.9060463452519514,
-1416.2708112869595,-0.4456183096253826,-0.7195590879439498,100,14,1,0,0.0054781436920166016,0.14261698722839355,0,FROB-0,0.9078214974794734,
-1415.2361386323114,-0.49740512630301614,-0.7094359050328214,100,14,1,0,0.003390073776245117,0.14768481254577637,0,FROB-0,0.9088683850423837,
-1414.2214246284161,-0.3458366713265947,-0.6165591229219701,100,13,1,0,0.005825042724609375,0.1576828956604004,0,FROB-0,0.9098950783311418,
-1412.9955691775742,-0.40192870371728356,-0.6315997563197663,100,14,1,0,0.006263017654418945,0.16605377197265625,0,FROB-0,0.9111354057135723,
-1412.1955104891465,-0.4207990235118646,-0.6620085825267534,100,13,1,0,0.004795074462890625,0.17251086235046387,0,FROB-0,0.9119449095568899,
-1411.2678686145448,-0.3845799713498805,-0.6914544306722646,100,13,1,0,0.0060961246490478516,0.1802680492401123,0,FROB-0,0.9128835027795797,
-1410.5274174370556,-0.38665953174690815,-0.6812426705054638,100,13,1,0,0.00560307502746582,0.18756985664367676,0,FROB-0,0.9136326954108659,
-1409.4046883759497,-0.4106525558947751,-0.7149600293144527,100,13,1,0,0.007028102874755859,0.19642996788024902,0,FROB-0,0.914768678936969,
-1408.1407803189759,-0.35433945786036986,-0.6987216435263063,100,14,1,0,0.00739288330078125,0.20572996139526367,0,FROB-0,0.9160475081585241,
-1406.6477068829408,-0.4391176597999726,-0.8183982595515854,100,13,1,0,0.007806062698364258,0.21568989753723145,0,FROB-0,0.9175582081887943,
-1405.6290474868188,-0.35240943545600933,-0.5942600024429769,100,13,1,0,0.0061490535736083984,0.2239389419555664,0,FROB-0,0.9185888934474131,
-1404.9344422924155,-0.3028311602685091,-0.5242563897508637,100,13,1,0,0.006771087646484375,0.23268985748291016,0,FROB-0,0.9192916988573048,
-1403.7634200994016,-0.42353073638812394,-0.7593767323026784,100,13,1,0,0.009434938430786133,0.24408984184265137,0,FROB-0,0.9204765456436297,
-1403.1999395853222,-0.41778192981756207,-0.6535596288825989,100,12,1,0,0.007306098937988281,0.2533378601074219,0,FROB-0,0.9210466783706153,
-1402.5086461063204,-0.3187194729565275,-0.5428843280903644,100,12,1,0,0.007004976272583008,0.2623159885406494,0,FROB-0,0.9217461329683925,
-1401.884310495148,-0.36841296778736593,-0.6137717320570726,100,13,1,0,0.0069580078125,0.27122998237609863,0,FROB-0,0.9223778392220392,
-1401.1440137655418,-0.39972175050528275,-0.6795845145101759,100,12,1,0,0.008418798446655273,0.281646728515625,0,FROB-0,0.9231268755820958,
-1400.5586444707594,-0.37949205178657885,-0.6152502099944398,100,13,1,0,0.006958961486816406,0.29079484939575195,0,FROB-0,0.9237191554994825,
-1399.4907302338013,-0.47949682850305186,-0.8005686191017379,100,12,1,0,0.00887918472290039,0.30178189277648926,0,FROB-0,0.9247996770807805,
-1398.7091930102633,-0.29224508977836544,-0.5564623776269703,100,14,1,0,0.006928205490112305,0.3108837604522705,0,FROB-0,0.9255904408026182,
-1398.1540282247654,-0.2841997355843847,-0.5319302497041339,100,13,1,0,0.008834123611450195,0.32171010971069336,0,FROB-0,0.9261521596290437,
-1397.3373766753173,-0.294751534422669,-0.5237864565501312,100,14,1,0,0.009001016616821289,0.33275485038757324,0,FROB-0,0.9269784522216893,
-1396.7031624474512,-0.547865657747838,-0.7391577966389572,100,14,1,0,0.007606983184814453,0.3424251079559326,0,FROB-0,0.927620153714805,
-1396.0450367497792,-0.39870211197201116,-0.6103602307118332,100,13,1,0,0.007780790328979492,0.35234498977661133,0,FROB-0,0.9282860489664377,
-1395.281423952692,-0.2769031447711762,-0.560396148369862,100,12,1,0,0.0110321044921875,0.36539483070373535,0,FROB-0,0.9290586766536183,
-1394.6617941743084,-0.3377131033978789,-0.6158933499558789,100,13,1,0,0.009769201278686523,0.3772728443145752,0,FROB-0,0.9296856215194021,
-1393.9801208624488,-0.35168002445289326,-0.6853371445836616,100,14,1,0,0.009752035140991211,0.3890519142150879,0,FROB-0,0.9303753423784079,
-1393.2767542404745,-0.36274974364646895,-0.6957397824669701,100,12,1,0,0.009380817413330078,0.40060997009277344,0,FROB-0,0.9310870126495832,
-1392.4553860370704,-0.42614839110111274,-0.8239060057334114,100,14,1,0,0.010171890258789062,0.4129447937011719,0,FROB-0,0.9319180775790087,
-1391.8413535724194,-0.28603843603800233,-0.537075831540019,100,14,1,0,0.012433052062988281,0.4275169372558594,0,FROB-0,0.9325393590515386,
-1390.81271528913,-0.3105784464628413,-0.5751089275679511,100,14,1,0,0.017268896102905273,0.44684386253356934,0,FROB-0,0.9335801410038511,
-1390.029538568113,-0.20541626182892322,-0.4093594835425355,100,13,1,0,0.016067028045654297,0.4649667739868164,0,FROB-0,0.9343725635783826,
-1389.407297775604,-0.2999064128395237,-0.5350077067419298,100,13,1,0,0.013611078262329102,0.48070192337036133,0,FROB-0,0.9350021502828214,
-1389.0271323722268,-0.30480310652763176,-0.5295280755156756,100,13,1,0,0.009615898132324219,0.4925198554992676,0,FROB-0,0.9353868037583497,
-1388.5399371071449,-0.30277945522030264,-0.5665341433614828,100,13,1,0,0.01417994499206543,0.5088598728179932,0,FROB-0,0.935879750644915,
-1388.2007290574024,-0.30691672120433977,-0.5829706888307312,100,12,1,0,0.010122060775756836,0.5211620330810547,0,FROB-0,0.9362229632415938,
-1387.7722778175475,-0.3759540001804251,-0.6108150851623512,100,12,1,0,0.011759042739868164,0.5350918769836426,0,FROB-0,0.9366564725957867,
-1387.3903154970903,-0.37444247612678144,-0.6325508195604085,100,12,1,0,0.011887073516845703,0.5491797924041748,0,FROB-0,0.9370429442020388,
-1386.8254222723926,-0.5161749012270856,-0.770044974020531,100,13,1,0,0.012506961822509766,0.5638148784637451,0,FROB-0,0.9376145063175075,
-1386.5142066253654,-0.4083392263161959,-0.7091307902567867,100,13,1,0,0.01055288314819336,0.5766868591308594,0,FROB-0,0.93792939604499,
-1385.6808142995862,-0.2902849054865431,-0.5909088041439117,100,12,1,0,0.015524864196777344,0.5944077968597412,0,FROB-0,0.9387726270484998,
-1385.0778896700158,-0.32268468971664416,-0.5543442103681424,100,13,1,0,0.015020132064819336,0.6116149425506592,0,FROB-0,0.9393826695515408,
-1384.1295577936064,-0.4746732262930973,-0.7054839242387774,100,12,1,0,0.01571488380432129,0.6296408176422119,0,FROB-0,0.9403421970334592,
-1383.4714233337008,-0.34855571921200335,-0.5906009338327486,100,13,1,0,0.015125036239624023,0.6470677852630615,0,FROB-0,0.9410081011507687,
-1382.850207994044,-0.3384444595907234,-0.5479264643421978,100,13,1,0,0.015768051147460938,0.6655857563018799,0,FROB-0,0.9416366502962924,
-1382.3175152666204,-0.3017251694289798,-0.5496222835476613,100,14,1,0,0.013038873672485352,0.6810939311981201,0,FROB-0,0.9421756317690193,
-1381.92254339156,-0.2676332778711111,-0.4776723762871862,100,13,1,0,0.01479196548461914,0.6982448101043701,0,FROB-0,0.9425752665151802,
-1381.4525753430448,-0.2653775912836353,-0.46381299006684906,100,11,1,0,0.014779090881347656,0.7153480052947998,0,FROB-0,0.9430507828079377,
-1380.8731848576394,-0.32049164385537193,-0.6008564013054312,100,13,1,0,0.016392946243286133,0.7340888977050781,0,FROB-0,0.9436370133326496,
-1380.4326749754,-0.26959171929694004,-0.531241465681588,100,14,1,0,0.012012958526611328,0.7484228610992432,0,FROB-0,0.9440827236884649,
-1380.0562601126696,-0.21905368132843986,-0.4074067314528312,100,13,1,0,0.015262126922607422,0.7660877704620361,0,FROB-0,0.9444635823460478,
-1379.7253696259138,-0.28648832581473715,-0.5055390485453302,100,13,1,0,0.015269041061401367,0.7837870121002197,0,FROB-0,0.9447983791861052,
-1379.4600523395077,-0.28325486352649515,-0.4928112412939543,100,13,1,0,0.013113975524902344,0.7993788719177246,0,FROB-0,0.945066828696311,
-1379.0850560511385,-0.33688025106864294,-0.6275335666785157,100,12,1,0,0.013525962829589844,0.8154847621917725,0,FROB-0,0.945446252032443,
-1378.598110255399,-0.2723815279946623,-0.48120736733866015,100,13,1,0,0.017256975173950195,0.8350629806518555,0,FROB-0,0.9459389465045362,
-1377.91887358334,-0.34470434345726525,-0.5244696590681875,100,12,1,0,0.016096115112304688,0.8532290458679199,0,FROB-0,0.9466262019578012,
