lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2606.75,-2.0906614774852184,-2.842280987855396,100,2,1,0,0.008011817932128906,0.009604692459106445,0,FROB-S,0,0.011089324951171875
-2354.2918788252528,-2.1631031541955568,-2.1631031541955568,100,1,1,0,0.0028159618377685547,0.013894796371459961,0,FROB-S,0.17769824985982624,
-2230.599760368599,-2.1710160215682244,-2.1710160215682244,100,1,1,0,0.003081798553466797,0.018807649612426758,0,FROB-S,0.2647616917840714,
-2146.974145305404,-2.026725158166046,-2.7376006698607998,100,2,1,0,0.0026679039001464844,0.02312779426574707,0,FROB-S,0.3236234363420743,
-2004.9939099737028,-1.994317814393145,-2.726785578021789,100,2,1,0,0.0033359527587890625,0.028088808059692383,0,FROB-S,0.42355937508601366,
-1886.9265218951032,-1.8267639896746153,-2.5109339768270393,100,2,1,0,0.004119157791137695,0.0338137149810791,0,FROB-S,0.5066637257381593,
-1798.7847543348796,-1.9400717234051468,-1.9400717234051468,100,1,1,0,0.0037560462951660156,0.03922080993652344,0,FROB-S,0.5687042644307606,
-1766.9234299974396,-1.9546486185508354,-2.737893639312205,100,2,1,0,0.00418400764465332,0.04504275321960449,0,FROB-S,0.5911305644706807,
-1702.317589398094,-1.6871260345432932,-1.6871260345432932,100,1,1,0,0.0053539276123046875,0.05203366279602051,0,FROB-S,0.6366048187818744,
-1673.4387341227077,-1.7124095679946827,-2.311966093225497,94,2,1,0,0.002688884735107422,0.05635380744934082,0,FROB-S,0.6569318418006318,
-1634.1195686551343,-1.7712518888436408,-1.7712518888436408,100,1,1,0,0.005425930023193359,0.06340980529785156,0,FROB-S,0.6846075087866048,
-1597.079656626556,-1.9044474283318285,-1.9044474283318285,99,1,1,0,0.005578041076660156,0.07062458992004395,0,FROB-S,0.7106788726699017,
-1571.8092752937519,-1.7132724711266365,-1.7132724711266365,100,1,1,0,0.00407099723815918,0.07643580436706543,0,FROB-S,0.7284659912432094,
-1553.1907076290763,-1.5728815559589775,-2.1823073716050234,100,2,1,0,0.004828929901123047,0.08322262763977051,0,FROB-S,0.7415710831828722,
-1530.731903954102,-1.6672198124137618,-1.6672198124137618,100,1,1,0,0.005177021026611328,0.0902867317199707,0,FROB-S,0.7573792104414361,
-1515.8082317674182,-1.7452888015519141,-1.7452888015519141,100,1,1,0,0.0051538944244384766,0.09734773635864258,0,FROB-S,0.7678835682205225,
-1502.3851917304544,-1.6267409649867215,-1.6267409649867215,100,1,1,0,0.005423069000244141,0.1047508716583252,0,FROB-S,0.7773316727666061,
-1489.2209950593274,-1.5397108370934471,-2.093749294063261,100,2,1,0,0.004392147064208984,0.11118173599243164,0,FROB-S,0.7865975846667055,
-1474.2378221363033,-1.5494722512434411,-1.5494722512434411,94,1,1,0,0.005212068557739258,0.11824369430541992,0,FROB-S,0.7971438233592036,
-1469.115201016274,-1.4079305893689182,-1.9369660159515891,94,2,1,0,0.004573822021484375,0.12481069564819336,0,FROB-S,0.8007494938897789,
-1456.0038599850236,-1.8347403048661284,-1.8347403048661284,100,1,1,0,0.007389068603515625,0.13439273834228516,0,FROB-S,0.8099782021750467,
-1449.115110727615,-1.4843085854933795,-1.4843085854933795,100,1,1,0,0.00644683837890625,0.14283394813537598,0,FROB-S,0.81482700118008,
