lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-495.9166666666666,-1.4587560802438397,-2.712057874981363,82,3,1,0,0.009324073791503906,0.013769865036010742,0,EIG-0|10|5|3|1,0,0.020412206649780273
-495.9166666666666,-1.1660330806612396,-5.25044831588303,82,10,1,0,0.0021250247955322266,0.018198013305664062,0,EIG-0|10|5|3|1,0,
-495.9166666666666,-1.027262835919271,-3.9533734156235854,82,5,1,0,0.002338886260986328,0.022865772247314453,0,EIG-0|10|5|3|1,0,
-495.9166666666666,-1.1113868995165943,-2.97343374793526,82,3,1,0,0.003467082977294922,0.028514623641967773,0,EIG-0|10|5|3|1,0,
-495.9166666666666,-1.3359345396632734,-5.759856263057585,82,10,1,0,0.003428936004638672,0.03408169746398926,0,EIG-0|10|5|3|1,0,
-495.9166666666666,-1.3633628231307662,-5.746868403733931,82,9,1,0,0.005407094955444336,0.04165196418762207,0,EIG-0|10|5|3|1,0,
-495.36056296208216,-1.0468588315087746,-5.034821633351079,82,10,1,0,0.008472919464111328,0.05268573760986328,0,EIG-0|10|5|3|1,0,
-493.76152770013215,-1.0502343216887953,-4.628152670902315,82,9,1,0,0.005521059036254883,0.06052374839782715,0,EIG-0|10|5|3|1,0,
-492.95965551826794,-0.9130408691560379,-0.9130408691560379,82,1,1,0,0.005553007125854492,0.06827473640441895,0,EIG-0|10|5|3|1,0,
-492.81656825449,-0.8796927765396667,-3.1149761651983803,82,5,1,0,0.002070188522338867,0.07247066497802734,0,EIG-0|10|5|3|1,0,
-492.2495849502495,-0.7613959200319326,-3.3378611214705405,82,9,1,0,0.005728006362915039,0.08030080795288086,0,EIG-0|10|5|3|1,0,
-491.7697416726829,-0.8780454254223643,-2.6244115979746927,82,5,1,0,0.0035991668701171875,0.08604574203491211,0,EIG-0|10|5|3|1,0,
-491.3832104119819,-0.7375203064880514,-3.026462447309844,82,10,1,0,0.003657102584838867,0.09186887741088867,0,EIG-0|10|5|3|1,0,
-490.9206751274509,-0.6793731317255209,-2.0305230593889556,82,5,1,0,0.00607609748840332,0.10003995895385742,0,EIG-0|10|5|3|1,0,
-490.2738867628655,-0.581103316090134,-2.6140482793417767,82,8,1,0,0.005738973617553711,0.10787200927734375,0,EIG-0|10|5|3|1,0,
-489.28256282871416,-0.5606881694141729,-1.4917808702785378,82,3,1,0,0.006328105926513672,0.11634159088134766,0,EIG-0|10|5|3|1,0,
-488.7709724754152,-0.6529352784832858,-2.6360793951887556,82,9,1,0,0.00506591796875,0.12355256080627441,0,EIG-0|10|5|3|1,0,
-487.9139159132459,-0.6357606159603326,-0.6357606159603326,82,1,1,0,0.008385896682739258,0.1341078281402588,0,EIG-0|10|5|3|1,0,
-487.7102660959239,-0.6122361670868193,-2.87783587133366,82,9,1,0,0.004049062728881836,0.1403179168701172,0,EIG-0|10|5|3|1,0,
-486.8885124377196,-0.6576374681575601,-1.9262065727160953,82,5,1,0,0.011028051376342773,0.1534578800201416,0,EIG-0|10|5|3|1,0,
-486.5125190526979,-0.5728858036394222,-0.5728858036394222,82,1,1,0,0.005207061767578125,0.16089487075805664,0,EIG-0|10|5|3|1,0,
-486.3868824263287,-0.43657283902565036,-1.8603089931585255,82,10,1,0,0.003381967544555664,0.1664576530456543,0,EIG-0|10|5|3|1,0,
-485.8973373331521,-0.590487388881601,-1.6335940141937617,82,10,1,0,0.00654911994934082,0.1752016544342041,0,EIG-0|10|5|3|1,0,
-485.63512150306207,-0.4700653864140388,-1.0508579691640094,82,3,1,0,0.004935026168823242,0.1824657917022705,0,EIG-0|10|5|3|1,0,
