lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-495.9166666666666,-1.4587560802438397,-1.4587560802438397,82,1,1,0,0.0027701854705810547,0.004273891448974609,0,EIG-S,0,0.010895967483520508
-495.9166666666666,-1.0799355646599802,-1.0799355646599802,82,1,1,0,0.0017938613891601562,0.007430076599121094,0,EIG-S,0.0,
-495.9166666666666,-1.009366254141116,-1.9346746781814352,82,2,1,0,0.0006020069122314453,0.009511947631835938,0,EIG-S,0.0,
-495.9166666666666,-1.0643709929989738,-1.0643709929989738,82,1,1,0,0.0016279220581054688,0.01257014274597168,0,EIG-S,0.0,
-495.9166666666666,-1.0770995204422755,-1.0770995204422755,82,1,1,0,0.0007519721984863281,0.014734029769897461,0,EIG-S,0.0,
-495.9166666666666,-1.0137765794987552,-1.0137765794987552,82,1,1,0,0.0013229846954345703,0.01743793487548828,0,EIG-S,0.0,
-495.9166666666666,-0.9820681793036843,-0.9820681793036843,82,1,1,0,0.0013370513916015625,0.020164012908935547,0,EIG-S,0.0,
-495.9166666666666,-1.1891317313410728,-1.1891317313410728,82,1,1,0,0.002312898635864258,0.023895978927612305,0,EIG-S,0.0,
-495.9166666666666,-1.1872330485440488,-1.1872330485440488,82,1,1,0,0.004240989685058594,0.029564857482910156,0,EIG-S,0.0,
-495.9166666666666,-1.1995351221889485,-1.1995351221889485,82,1,1,0,0.001628875732421875,0.0326688289642334,0,EIG-S,0.0,
-495.9166666666666,-1.1692479636229551,-1.1692479636229551,79,1,1,0,0.004930973052978516,0.039093971252441406,0,EIG-S,0.0,
-495.9166666666666,-1.2199136352163436,-1.2199136352163436,81,1,1,0,0.0029401779174804688,0.043550968170166016,0,EIG-S,0.0,
-495.9166666666666,-1.082674944165615,-1.082674944165615,82,1,1,0,0.005774974822998047,0.05083012580871582,0,EIG-S,0.0,
-495.9166666666666,-1.0339654821088178,-1.9906731414066676,82,2,1,0,0.00347900390625,0.05584001541137695,0,EIG-S,0.0,
-495.9166666666666,-1.0158929285538838,-1.0158929285538838,82,1,1,0,0.0033521652221679688,0.06085491180419922,0,EIG-S,0.0,
-495.8687157672329,-1.1704600413687305,-1.1704600413687305,82,1,1,0,0.0028138160705566406,0.06518912315368652,0,EIG-S,0.0030165693382346315,
-495.2846926716224,-1.0646731401182803,-1.0646731401182803,82,1,1,0,0.0032651424407958984,0.06985688209533691,0,EIG-S,0.03975719743587848,
-494.9839072946889,-0.942124178384275,-1.809475292521418,82,2,1,0,0.001680135726928711,0.07311797142028809,0,EIG-S,0.058679469096335854,
-494.3588586714299,-1.1244547826069644,-1.1244547826069644,82,1,1,0,0.003407001495361328,0.07803010940551758,0,EIG-S,0.09800099453377738,
-493.8247370237391,-0.9340952782582136,-1.787671946448837,82,2,1,0,0.002023935317993164,0.08157682418823242,0,EIG-S,0.13160234517247957,
-493.3902539951399,-0.8780802538445229,-0.8780802538445229,82,1,1,0,0.0025789737701416016,0.08564877510070801,0,EIG-S,0.15893547546900122,
-493.0332287965743,-0.8014377464118702,-0.8014377464118702,82,1,1,0,0.0031480789184570312,0.0904078483581543,0,EIG-S,0.18139576880427516,
-492.80662394969,-0.7035846725967199,-0.7035846725967199,82,1,1,0,0.003050088882446289,0.09491991996765137,0,EIG-S,0.1956513769592853,
-492.55101981628985,-0.6601625902772855,-1.3016540600898032,82,2,1,0,0.002989053726196289,0.09943485260009766,0,EIG-S,0.21173131707819107,
-492.09533705256274,-0.7343518392479965,-0.7343518392479965,82,1,1,0,0.0030879974365234375,0.10400605201721191,0,EIG-S,0.24039811309779485,
-490.9091001501368,-0.6328406966735407,-0.6328406966735407,82,1,1,0,0.0036220550537109375,0.10913515090942383,0,EIG-S,0.315023738685722,
-490.32488999172506,-0.7449692893954529,-0.7449692893954529,82,1,1,0,0.0031919479370117188,0.11390089988708496,0,EIG-S,0.35177613481935976,
-489.88035491096264,-0.7158303861658364,-0.7158303861658364,82,1,1,0,0.003931999206542969,0.11934304237365723,0,EIG-S,0.3797416351589905,
-489.24806222485523,-0.7497890814940416,-0.7497890814940416,82,1,1,0,0.003471851348876953,0.12435412406921387,0,EIG-S,0.41951888130513426,
-488.9390202438555,-0.683086089556157,-0.683086089556157,82,1,1,0,0.0021660327911376953,0.12813806533813477,0,EIG-S,0.4389605721831301,
-488.6415319105025,-0.5727655894684103,-0.5727655894684103,82,1,1,0,0.0037059783935546875,0.13342785835266113,0,EIG-S,0.45767542832710545,
-488.292339672518,-0.5384280005083839,-0.5384280005083839,82,1,1,0,0.003925800323486328,0.13887310028076172,0,EIG-S,0.47964295366437365,
-487.95804885604406,-0.5364281433532232,-0.5364281433532232,82,1,1,0,0.0035779476165771484,0.14385986328125,0,EIG-S,0.5006730373320185,
-487.8006115837885,-0.496812736661602,-0.496812736661602,82,1,1,0,0.0027589797973632812,0.14810705184936523,0,EIG-S,0.5105773447337693,
-487.4708473763358,-0.45433731338906835,-0.45433731338906835,82,1,1,0,0.0041179656982421875,0.15378308296203613,0,EIG-S,0.5313226614806488,
-487.28226773693126,-0.47517199206200955,-0.47517199206200955,82,1,1,0,0.002897977828979492,0.15816807746887207,0,EIG-S,0.5431861210770678,
-486.88036087870194,-0.49588789957927987,-0.49588789957927987,82,1,1,0,0.003995180130004883,0.16365599632263184,0,EIG-S,0.5684698992685104,
-486.51519347678163,-0.5282957465223175,-0.5282957465223175,82,1,1,0,0.003523111343383789,0.16864800453186035,0,EIG-S,0.5914424149244394,
-486.2044071183285,-0.4632773423087523,-0.8928871294891716,82,2,1,0,0.004293918609619141,0.1744251251220703,0,EIG-S,0.6109938437969755,
-485.7632158171388,-0.49274326225172954,-0.49274326225172954,82,1,1,0,0.0056879520416259766,0.18157005310058594,0,EIG-S,0.6387489884800482,
-485.2933459917655,-0.41591465518281895,-0.8006981604285573,82,2,1,0,0.005138874053955078,0.18815302848815918,0,EIG-S,0.6683082861141599,
-484.7362584717894,-0.35115170940465223,-0.35115170940465223,82,1,1,0,0.0064640045166015625,0.19604802131652832,0,EIG-S,0.7033544093635882,
-484.56988031915296,-0.36591894534177405,-0.36591894534177405,82,1,1,0,0.003972053527832031,0.20146989822387695,0,EIG-S,0.7138211834955245,
-484.3740236543359,-0.2645525712333822,-0.2645525712333822,82,1,1,0,0.0045659542083740234,0.2074720859527588,0,EIG-S,0.7261424374606045,
-484.16411955189443,-0.28940923017984305,-0.5576219720621847,82,2,1,0,0.006085872650146484,0.21499991416931152,0,EIG-S,0.7393474093562945,
-483.96610028472134,-0.27524632222177975,-0.5401485874275709,82,2,1,0,0.004676103591918945,0.2211289405822754,0,EIG-S,0.7518047116548777,
-483.75331606564805,-0.2587170687030201,-0.49215199893267,82,2,1,0,0.005003213882446289,0.22761106491088867,0,EIG-S,0.7651908703817799,
-483.53185289160285,-0.2864465194630417,-0.2864465194630417,82,1,1,0,0.005410909652709961,0.23447799682617188,0,EIG-S,0.7791230182301668,
-483.43291344624345,-0.28263540114775704,-0.28263540114775704,82,1,1,0,0.004175901412963867,0.24016690254211426,0,EIG-S,0.7853472538699185,
-483.34629925444216,-0.2648649514976865,-0.2648649514976865,82,1,1,0,0.004249095916748047,0.24597978591918945,0,EIG-S,0.7907961133976783,
-483.1109867021185,-0.22374918946107203,-0.22374918946107203,82,1,1,0,0.00527191162109375,0.2528860569000244,0,EIG-S,0.8055995193530417,
-482.9634659383319,-0.26829088348085006,-0.26829088348085006,82,1,1,0,0.005230903625488281,0.2598869800567627,0,EIG-S,0.8148799837040234,
-482.8328373530974,-0.14987733720942467,-0.2961729340545275,82,2,1,0,0.004855155944824219,0.2666020393371582,0,EIG-S,0.8230977687626891,
-482.7208971323424,-0.20224744006805065,-0.20224744006805065,82,1,1,0,0.005118131637573242,0.2735600471496582,0,EIG-S,0.8301398772868878,
