dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,lb0,cpu0,cpub,cputotal,gc
SPCA_LARGE_K=10,sigma_arrhythmia_257,PCA10,257,0,LP-EIG-1,-1,1800,1e-06,-1.4386807264819332,1807.1705808639526,437,4.0354020371862624,-0.03951805262327106,0,-6.254506162171975,0.2806270122528076,0.8542962074279785,1808.0732221603394,0
SPCA_LARGE_K=10,sigma_arrhythmia_257,PCA10,257,0,LP-FROB-0,-1,1800,1e-06,-2.3700806294940953,1801.2175271511078,470,3.7302311095785585,-0.07112182884767974,0,-6.254506162171975,0.2889671325683594,0.8470568656921387,1802.1060490608215,0
SPCA_LARGE_K=10,sigma_arrhythmia_257,PCA10,257,0,LP-FROB-S,-1,1800,1e-06,-1.4146990497809477,1801.9253902435303,414,4.251141910967619,-0.037520926569323376,0,-6.254506162171975,0.29094600677490234,0.8886997699737549,1802.8707761764526,0
SPCA_LARGE_K=10,sigma_arrhythmia_257,PCA10,257,0,SOC-EIG-1,-1,1800,1e-06,-1.2480179929956476,1814.0077321529388,132,13.645569655028256,-0.025557391456192565,0,-5.766682373321012,4.781902074813843,0.7126429080963135,1814.744381904602,0
SPCA_LARGE_K=10,sigma_arrhythmia_257,PCA10,257,0,SOC-FROB-0,-1,1800,1e-06,-1.4425231649751333,1816.750081062317,120,15.04046984910965,-0.031798351460558406,0,-5.766682373321012,4.740327835083008,0.7485699653625488,1817.5238509178162,0
SPCA_LARGE_K=10,sigma_arrhythmia_257,PCA10,257,0,LP-EIG-0,-1,1800,1e-06,-3.364439229268105,1809.6861362457275,467,3.777285090350492,-0.13957206294299843,0,-6.254506162171975,0.2934541702270508,0.8679468631744385,1810.6000628471375,0
SPCA_LARGE_K=10,sigma_arrhythmia_257,PCA10,257,0,SOC-FROB-S,-1,1800,1e-06,-1.2264977086902633,1803.436397075653,126,14.210825490573097,-0.021137390412587095,0,-5.766682373321012,4.807183265686035,0.725100040435791,1804.1876330375671,0
SPCA_LARGE_K=10,sigma_voice_310,PCA10,310,0,LP-EIG-1,-1,1800,1e-06,-3.5162453688047663,1806.3567440509796,374,4.685106657405588,-0.04103045168291794,0,-7.982090640902459,0.4037971496582031,1.2507660388946533,1807.6587798595428,0
SPCA_LARGE_K=10,sigma_voice_310,PCA10,310,0,LP-FROB-0,-1,1800,1e-06,-6.782551446568768,1804.2470948696136,582,2.9549586109279358,-0.08268696335113661,0,-7.982090640902459,0.3997931480407715,1.2592048645019531,1805.5548141002655,0
SPCA_LARGE_K=10,sigma_voice_310,PCA10,310,0,LP-FROB-S,-1,1800,1e-06,-3.4247982721782675,1810.9768719673157,356,4.943945174136858,-0.042478071686461935,0,-7.982090640902459,0.4084961414337158,1.2528388500213623,1812.281093120575,0
