lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-5.766682373321012,-0.6992535880815484,-0.6992535880815484,1,1,1,0,4.68157696723938,4.781902074813843,0,EIG-1,0,0.7126429080963135
-5.054038879203845,-0.6220636780175258,-0.6220636780175258,3,1,1,0,3.0181758403778076,7.895626068115234,0,EIG-1,0,
-4.710899325594815,-0.28876743486909784,-0.28876743486909784,2,1,1,0,1.7567789554595947,9.74611520767212,0,EIG-1,0,
-4.674257039003362,-0.35358707907452014,-0.35358707907452014,7,1,1,0,2.9581029415130615,12.798804998397827,0,EIG-1,0,
-4.481689664791117,-0.33755309867699473,-0.33755309867699473,1,1,1,0,1.8869271278381348,14.779680013656616,0,EIG-1,0,
-4.440478255778688,-0.3686385780772882,-0.3686385780772882,10,1,1,0,3.7358648777008057,18.609936952590942,0,EIG-1,0,
-4.320427323825159,-0.33149611907493043,-0.33149611907493043,8,1,1,0,3.0336661338806152,21.737033128738403,0,EIG-1,0,
-4.141281619806866,-0.497423825093624,-0.497423825093624,4,1,1,0,2.289069890975952,24.121246099472046,0,EIG-1,0,
-4.099189488295824,-0.6632717929155642,-0.6632717929155642,3,1,1,0,2.217203140258789,26.433348894119263,0,EIG-1,0,
-3.890194823922371,-0.30576106654210206,-0.30576106654210206,10,1,1,0,2.1662349700927734,28.692755937576294,0,EIG-1,0,
-3.7499268290264207,-0.22836409642229305,-0.22836409642229305,0,1,1,0,2.34523606300354,31.13301420211792,0,EIG-1,0,
-3.735165974194053,-0.31365178750470407,-0.31365178750470407,13,1,1,0,2.0130178928375244,33.240679025650024,0,EIG-1,0,
-3.6223352548279055,-0.3227779950342939,-0.3227779950342939,15,1,1,0,2.4089291095733643,35.74606895446777,0,EIG-1,0,
-3.4876637001949224,-0.26899819706554967,-0.26899819706554967,14,1,1,0,2.163705825805664,38.004230976104736,0,EIG-1,0,
