lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.998272074,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.5496730804443359,0.9027321338653564,0,FROB-0,0,2.813045024871826
-7.997641816,-1.08113883008419,-1.08113883008419,0,1,1,0,0.18926095962524414,1.4095180034637451,0,FROB-0,0,
-7.996773782999999,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.10698509216308594,1.8341951370239258,0,FROB-0,0,
-7.995764492999999,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.11840391159057617,2.2712039947509766,0,FROB-0,0,
-7.995586965999999,-1.0811388300841895,-1.0811388300841895,0,1,1,0,0.11668205261230469,2.709243059158325,0,FROB-0,0,
-7.994542157000001,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.13364696502685547,3.16378116607666,0,FROB-0,0,
-7.993305650999999,-1.0811388300841902,-1.0811388300841902,0,1,1,0,0.14310503005981445,3.619508981704712,0,FROB-0,0,
-7.992480113907131,-0.7381444285685014,-0.7811796588339794,0,2,1,0,0.08966684341430664,4.020892143249512,0,FROB-0,0,
-7.990695297,-1.0811388300841902,-1.0811388300841902,0,1,1,0,0.30338597297668457,4.6382691860198975,0,FROB-0,0,
-7.9903936589999995,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.10875797271728516,5.062462091445923,0,FROB-0,0,
-7.990097674448603,-0.7416371038919283,-0.8008465124862384,0,2,1,0,0.13383221626281738,5.515007019042969,0,FROB-0,0,
-7.988726984396185,-0.6927013624407736,-0.7089251895650496,0,4,1,0,0.18271684646606445,6.020916938781738,0,FROB-0,0,
-7.986441361999999,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.14755582809448242,6.4877941608428955,0,FROB-0,0,
-7.985067396688632,-0.5385236069664251,-0.6073899750784464,1,7,1,0,0.34172582626342773,7.148159027099609,0,FROB-0,0,
-7.9818241584873295,-0.5777106930578403,-0.6450117854796186,0,5,1,0,0.20533108711242676,7.6746978759765625,0,FROB-0,0,
-7.981545579999999,-1.0811388300841902,-1.0811388300841902,0,1,1,0,0.08278203010559082,8.075315952301025,0,FROB-0,0,
-7.979267619561056,-0.7486840789966641,-0.7773416615519118,0,5,1,0,0.2907528877258301,8.68267011642456,0,FROB-0,0,
-7.978657926542439,-0.8303976758533035,-0.8389075546224445,0,5,1,0,0.1544198989868164,9.153842210769653,0,FROB-0,0,
-7.977084259320087,-0.4928945503586116,-0.5512033193672933,1,8,1,0,0.2751150131225586,9.744318962097168,0,FROB-0,0,
-7.97519725327311,-0.4092364378650286,-0.516474959418242,1,9,1,0,0.5021669864654541,10.561576843261719,0,FROB-0,0,
-7.971937632078494,-0.3817023734595206,-0.46068554947638296,1,12,1,0,0.6067690849304199,11.484492063522339,0,FROB-0,0,
-7.969119986061252,-0.5299508138448497,-0.5874700821567082,1,10,1,0,0.542578935623169,12.340442180633545,0,FROB-0,0,
-7.9676141863666405,-0.4690706997934407,-0.5832212635115354,1,6,1,0,0.3897249698638916,13.045466184616089,0,FROB-0,0,
-7.964681593170393,-0.4848503560994384,-0.5336790900763677,1,10,1,0,0.4127509593963623,13.774484872817993,0,FROB-0,0,
-7.964435222,-1.0811388300841902,-1.0811388300841902,0,1,1,0,0.08854317665100098,14.176223039627075,0,FROB-0,0,
-7.963089255693235,-0.3528581678441962,-0.4703783476766737,1,11,1,0,0.36670804023742676,14.860606908798218,0,FROB-0,0,
-7.960680569577215,-0.3629326575410984,-0.45380157543260563,1,11,1,0,0.5871472358703613,15.76083517074585,0,FROB-0,0,
