lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.996839988031229,-0.4000964073784302,-0.4000964073784302,1,1,1,0,88.23101305961609,88.56106400489807,0,EIG-1,0,2.366307020187378
-7.997457590412238,-0.37118978086320514,-0.37118978086320514,1,1,1,0,71.23814797401428,160.11496710777283,0,EIG-1,0,
-7.992534323978332,-0.48530187102045724,-0.48530187102045724,1,1,1,0,71.48600006103516,231.92160201072693,0,EIG-1,0,
-7.987457715714646,-0.5688484139867347,-0.5688484139867347,1,1,1,0,52.24291801452637,284.4815390110016,0,EIG-1,0,
-7.9759089802499945,-0.4117903783661178,-0.4117903783661178,1,1,1,0,36.74965000152588,321.5464971065521,0,EIG-1,0,
-7.970700034112526,-0.5960341580144606,-0.5960341580144606,0,1,1,0,42.19672894477844,364.0621681213379,0,EIG-1,0,
-7.956843756382279,-0.3948600050244221,-0.3948600050244221,1,1,1,0,40.67531394958496,405.05476808547974,0,EIG-1,0,
-7.931229133951287,-0.24486342547357576,-0.24486342547357576,0,1,1,0,40.78516387939453,446.15210008621216,0,EIG-1,0,
-7.930719925415889,-0.36479418591629076,-0.36479418591629076,1,1,1,0,47.427446126937866,493.89165687561035,0,EIG-1,0,
-7.927715498105372,-0.398517426432295,-0.398517426432295,1,1,1,0,31.811697959899902,526.0202679634094,0,EIG-1,0,
-7.91894546606676,-0.37541991037035355,-0.37541991037035355,1,1,1,0,28.64428997039795,554.9820599555969,0,EIG-1,0,
-7.899012311842694,-0.37664911448531346,-0.37664911448531346,2,1,1,0,28.09043788909912,583.3913168907166,0,EIG-1,0,
-7.878502965481291,-0.18833017982706093,-0.18833017982706093,2,1,1,0,41.97684693336487,625.6852540969849,0,EIG-1,0,
-7.85736232689988,-0.3180819702991024,-0.3180819702991024,2,1,1,0,59.58130407333374,685.5850501060486,0,EIG-1,0,
-7.843192102080234,-0.21027048917231114,-0.21027048917231114,2,1,1,0,48.73115396499634,734.630441904068,0,EIG-1,0,
-7.826216470496638,-0.7736920440785506,-0.7736920440785506,0,1,1,0,20.132861137390137,755.078675031662,0,EIG-1,0,
-7.803848905989255,-0.5943963764189572,-0.5943963764189572,1,1,1,0,31.122190952301025,786.5182900428772,0,EIG-1,0,
-7.760119559394203,-0.142114660403021,-0.142114660403021,4,1,1,0,26.089148998260498,812.9247200489044,0,EIG-1,0,
-7.7164164754812035,-0.5488146115830453,-0.5488146115830453,0,1,1,0,31.98493719100952,845.2294452190399,0,EIG-1,0,
-7.633469035332772,-0.22018272289041305,-0.22018272289041305,4,1,1,0,18.23259711265564,863.7802090644836,0,EIG-1,0,
-7.601643722863365,-0.2718355673616053,-0.2718355673616053,0,1,1,0,20.828988075256348,884.9310059547424,0,EIG-1,0,
-7.5829751201842,-0.1895275965170073,-0.1895275965170073,1,1,1,0,16.109895944595337,901.3663039207458,0,EIG-1,0,
-7.553837737632875,-0.220552428004001,-0.220552428004001,3,1,1,0,17.144117832183838,918.8329510688782,0,EIG-1,0,
-7.446645294839672,-0.25676458115025685,-0.25676458115025685,0,1,1,0,19.258725881576538,938.4057941436768,0,EIG-1,0,
-7.4428313079201835,-0.4173760416711151,-0.4173760416711151,0,1,1,0,23.536388158798218,962.2587950229645,0,EIG-1,0,
-7.384527661083477,-0.17620921424435854,-0.17620921424435854,1,1,1,0,17.703099966049194,980.2817850112915,0,EIG-1,0,
-7.366528689399956,-0.13950858428761198,-0.13950858428761198,4,1,1,0,12.864062070846558,993.467581987381,0,EIG-1,0,
-7.225702274844784,-0.21226551193076926,-0.21226551193076926,1,1,1,0,15.732129096984863,1009.5163991451263,0,EIG-1,0,
-7.212271724247018,-0.11785977605569428,-0.11785977605569428,1,1,1,0,16.176196098327637,1026.0122480392456,0,EIG-1,0,
-7.192930981240987,-0.3222121443895803,-0.3222121443895803,3,1,1,0,15.929874181747437,1042.25643324852,0,EIG-1,0,
-7.154110544557122,-0.12955192331407586,-0.12955192331407586,3,1,1,0,44.713639974594116,1087.6996700763702,0,EIG-1,0,
-7.060942264275783,-0.42471875273217463,-0.42471875273217463,0,1,1,0,82.23623418807983,1170.6648590564728,0,EIG-1,0,
-6.935684272913807,-0.2844135873508179,-0.2844135873508179,2,1,1,0,53.1934130191803,1224.5856370925903,0,EIG-1,0,
-6.888569815080712,-0.49116354908350324,-0.49116354908350324,1,1,1,0,53.43266701698303,1278.7415890693665,0,EIG-1,0,
-6.8776921522537,-0.11913721429584478,-0.11913721429584478,2,1,1,0,52.73442888259888,1332.1988260746002,0,EIG-1,0,
-6.786245597766978,-0.14616649297548032,-0.14616649297548032,4,1,1,0,83.06767892837524,1416.1170418262482,0,EIG-1,0,
-6.721561682348418,-0.3143966527347602,-0.3143966527347602,2,1,1,0,53.86808896064758,1470.7346849441528,0,EIG-1,0,
-6.703475291194511,-0.1670640178108371,-0.1670640178108371,2,1,1,0,54.154461145401,1525.6286630630493,0,EIG-1,0,
-6.67599441324861,-0.2210840812759417,-0.2210840812759417,2,1,1,0,44.84560298919678,1571.2062220573425,0,EIG-1,0,
-6.653079209018701,-0.31652267280830787,-0.31652267280830787,0,1,1,0,56.77445197105408,1628.7020568847656,0,EIG-1,0,
-6.596805378405026,-0.526526833821046,-0.526526833821046,0,1,1,0,54.7335569858551,1684.1589810848236,0,EIG-1,0,
