lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.179668848628108,-1.0811388300841893,-1.0811388300841893,0,1,1,0,5.39825701713562,7.565786838531494,0,FROB-0,0,17.07552409172058
-6.914941190093011,-0.8800362911206265,-0.897577168028971,0,2,1,0,1.860610008239746,11.357768774032593,0,FROB-0,0,
-6.840792732195089,-0.8333333333333333,-0.867043320827491,0,2,1,0,1.850475788116455,15.147859811782837,0,FROB-0,0,
-6.820494334646814,-0.8687342963832748,-0.8927595136663485,0,2,1,0,0.5781271457672119,17.650947093963623,0,FROB-0,0,
-6.803924543516678,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.7221031188964844,20.30941104888916,0,FROB-0,0,
-6.696828110198504,-0.9266499161421596,-0.9379180519803465,0,2,1,0,0.8532428741455078,23.11197781562805,0,FROB-0,0,
-6.490878829484762,-0.7999999999999999,-0.8456753823214443,0,2,1,0,2.882030963897705,27.933310985565186,0,FROB-0,0,
-6.478371795249589,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.4999511241912842,30.360167741775513,0,FROB-0,0,
-6.378549912942193,-0.7175610446824883,-0.752335939195399,0,3,1,0,2.610692024230957,34.91489887237549,0,FROB-0,0,
-6.319975608429671,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.873711109161377,37.71682572364807,0,FROB-0,0,
-6.3147067712719585,-0.6183623317806839,-0.7167191746307362,0,3,1,0,0.6035590171813965,40.27290892601013,0,FROB-0,0,
-6.2268246982360935,-1.0811388300841893,-1.0811388300841893,0,1,1,0,3.1470861434936523,45.33620285987854,0,FROB-0,0,
-6.192766573664305,-0.7493201394719733,-0.7966841086393506,0,3,1,0,1.4288480281829834,48.68606162071228,0,FROB-0,0,
-6.134550565193152,-0.9269698032395319,-0.9329211264694146,0,3,1,0,2.4039649963378906,53.03112864494324,0,FROB-0,0,
-6.028247368078943,-0.4075736160737585,-0.6056015822233184,0,3,1,0,4.266095876693726,59.277667760849,0,FROB-0,0,
-5.9490976898333825,-0.6759061550156209,-0.7353352611318691,0,3,1,0,2.560335874557495,63.80358600616455,0,FROB-0,0,
-5.9247751719963135,-0.9652603293147498,-0.9707407843126757,0,2,1,0,0.8759379386901855,66.64538908004761,0,FROB-0,0,
-5.899316403738891,-0.8132024436813409,-0.8174050505616025,0,6,1,0,1.6154098510742188,70.19341588020325,0,FROB-0,0,
-5.806497258435324,-0.5494184640654073,-0.6860567825566636,0,3,1,0,3.876305103302002,76.00422692298889,0,FROB-0,0,
-5.748876346442435,-0.45522793359882907,-0.6494242926426349,0,6,1,0,5.291443824768066,83.22465682029724,0,FROB-0,0,
-5.734285166150285,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.5126340389251709,85.69014286994934,0,FROB-0,0,
-5.726295373172977,-0.954519668835492,-0.9607112814800047,0,2,1,0,0.914823055267334,88.55536365509033,0,FROB-0,0,
