lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.982090640902459,-1.08113883008419,-1.08113883008419,0,1,1,0,0.25128793716430664,0.4096949100494385,0,EIG-0,0,1.275202751159668
-7.975419684866742,-0.7392304845413263,-1.0683807467542445,0,2,1,0,0.07427501678466797,0.621953010559082,0,EIG-0,0,
-7.964240024366172,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.10129308700561523,0.8617432117462158,0,EIG-0,0,
-7.951565563326602,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.12472677230834961,1.1260480880737305,0,EIG-0,0,
-7.948872502125314,-0.5874980114515588,-1.0577126717557277,0,2,1,0,0.05980706214904785,1.324794054031372,0,EIG-0,0,
-7.942647620820009,-0.7999999999999997,-1.0741657386773937,0,2,1,0,0.08196401596069336,1.5434012413024902,0,EIG-0,0,
-7.928877058879115,-0.5485837703548636,-1.0485837703548637,0,2,1,0,0.11150217056274414,1.795849323272705,0,EIG-0,0,
-7.919427148378337,-0.5760129588726067,-1.0444788027152558,0,2,1,0,0.09088897705078125,2.023752212524414,0,EIG-0,0,
-7.9089929233925576,-0.6205630429010919,-1.0077898678610744,1,3,1,0,0.17446684837341309,2.336427927017212,0,EIG-0,0,
-7.878984927512313,-0.6094757082487301,-1.066418606044387,0,2,1,0,0.21233510971069336,2.6907849311828613,0,EIG-0,0,
-7.875332412741777,-0.8966823513841131,-1.0401358034939785,0,2,1,0,0.08676385879516602,2.9159910678863525,0,EIG-0,0,
-7.86869227147951,-0.8679340589863307,-1.0036630452294963,0,3,1,0,0.0633389949798584,3.118995189666748,0,EIG-0,0,
-7.864555207012755,-0.5815756661557935,-1.0121041591762943,2,9,1,0,0.08529114723205566,3.3443591594696045,0,EIG-0,0,
-7.852684199844564,-1.0811388300841895,-1.0811388300841895,0,1,1,0,0.20362496376037598,3.6852941513061523,0,EIG-0,0,
-7.852432001367361,-0.4637200549228662,-0.9831907512246071,1,5,1,0,0.04460287094116211,3.86667799949646,0,EIG-0,0,
-7.850086856738318,-0.5404343652022162,-1.014221073842191,2,10,1,0,0.12555193901062012,4.128107070922852,0,EIG-0,0,
-7.843037774291848,-0.3973297584022485,-0.9563013426631021,2,8,1,0,0.1744060516357422,4.442796945571899,0,EIG-0,0,
-7.838276665455832,-0.3789735938142016,-0.9663357324771624,2,7,1,0,0.15231800079345703,4.7352941036224365,0,EIG-0,0,
-7.8353962366034935,-0.2795542069321136,-0.8975634931100837,2,11,1,0,0.14818882942199707,5.020711183547974,0,EIG-0,0,
-7.83231550011252,-0.28075855871910377,-0.870684667076081,3,8,1,0,0.1480860710144043,5.306146144866943,0,EIG-0,0,
-7.829619064900175,-0.2802934683027288,-0.8746191395585685,2,11,1,0,0.2538461685180664,5.697484970092773,0,EIG-0,0,
-7.828551826745432,-1.08113883008419,-1.08113883008419,0,1,1,0,0.07267308235168457,5.907950162887573,0,EIG-0,0,
-7.828037840601246,-0.28720090641993523,-0.9055748244409899,3,13,1,0,0.11841201782226562,6.163098096847534,0,EIG-0,0,
-7.826342605868239,-0.3812443655888188,-0.8647561974212311,2,11,1,0,0.12354397773742676,6.424349069595337,0,EIG-0,0,
-7.825515069439876,-0.38776356370861104,-0.864568461335001,2,12,1,0,0.11162590980529785,6.6736838817596436,0,EIG-0,0,
-7.824484991748436,-0.30810672716875853,-0.8314338283763693,2,12,1,0,0.16573286056518555,6.977216005325317,0,EIG-0,0,
-7.823717771505831,-0.2919957637194064,-0.7970005842417182,2,12,1,0,0.13907194137573242,7.253161191940308,0,EIG-0,0,
-7.822480808965489,-0.3424021501708951,-0.8049980984796713,2,14,1,0,0.177825927734375,7.568355083465576,0,EIG-0,0,
-7.821526081559808,-0.24469336525506732,-0.8980610625388031,4,15,1,0,0.17704010009765625,7.886886119842529,0,EIG-0,0,
-7.820704924671045,-0.256480138042395,-0.7466538019564233,3,15,1,0,0.17897701263427734,8.204663038253784,0,EIG-0,0,
-7.820228699151925,-0.24569643947289987,-0.7939678371995722,2,16,1,0,0.1637589931488037,8.504523038864136,0,EIG-0,0,
-7.8198260741323455,-0.3165041095982579,-0.8067381136450325,3,16,1,0,0.16322994232177734,8.804961919784546,0,EIG-0,0,
-7.819501328991917,-0.284747981417705,-0.7723403195762801,2,18,1,0,0.16225910186767578,9.108169317245483,0,EIG-0,0,
-7.819075028064987,-0.2910245534587766,-0.7878805174033212,3,18,1,0,0.19143319129943848,9.437395095825195,0,EIG-0,0,
-7.818712664760015,-0.24834185150303553,-0.8147549218238531,3,14,1,0,0.1609361171722412,9.736478090286255,0,EIG-0,0,
-7.818280199237035,-0.2857102794314652,-0.7321400483282836,2,17,1,0,0.18613004684448242,10.06024694442749,0,EIG-0,0,
-7.818048136632448,-0.314670880908239,-0.7497794926926677,2,14,1,0,0.21998906135559082,10.417980194091797,0,EIG-0,0,
-7.817794017188357,-0.2804821571115201,-0.7453879156375097,3,17,1,0,0.17619705200195312,10.732342958450317,0,EIG-0,0,
-7.81763845869816,-0.3177358701373515,-0.720868510156902,2,16,1,0,0.15361785888671875,11.024409055709839,0,EIG-0,0,
-7.8174041896245345,-0.2639967971606098,-0.7425120588154095,3,14,1,0,0.19823503494262695,11.360318183898926,0,EIG-0,0,
-7.817158924419406,-0.2529139232285568,-0.7235332927903296,3,19,1,0,0.20699095726013184,11.705517053604126,0,EIG-0,0,
-7.81698801321715,-0.28977096409360803,-0.8318251395266384,2,15,1,0,0.20924687385559082,12.0641770362854,0,EIG-0,0,
-7.816763630003091,-0.3036691379147648,-0.7377203089020644,2,17,1,0,0.27462291717529297,12.486581087112427,0,EIG-0,0,
-7.81664542448217,-0.3069198272923082,-0.7178775571123738,2,17,1,0,0.1703629493713379,12.8026123046875,0,EIG-0,0,
-7.816549834341534,-0.32748760471703,-0.7626061678156609,2,14,1,0,0.20287585258483887,13.148293018341064,0,EIG-0,0,
-7.816436680056561,-0.265481325558632,-0.7171945386745882,2,17,1,0,0.25694799423217773,13.543256044387817,0,EIG-0,0,
-7.816261074045026,-0.23961314036684983,-0.7317659770145509,3,20,1,0,0.23087215423583984,13.911876201629639,0,EIG-0,0,
-7.816116585775261,-0.27662349001228886,-0.6871613399715183,2,19,1,0,0.16544580459594727,14.213884115219116,0,EIG-0,0,
-7.815995558218058,-0.29761013873023245,-0.7070185759301517,2,19,1,0,0.2497248649597168,14.603424072265625,0,EIG-0,0,
-7.815792353242866,-0.25862895662546953,-0.7133893521995139,3,20,1,0,0.3279590606689453,15.071913242340088,0,EIG-0,0,
-7.8156016020022365,-0.25714307736296,-0.6709735953202784,2,19,1,0,0.3024110794067383,15.512646198272705,0,EIG-0,0,
-7.815479890322355,-0.27066584002309896,-0.689544917740041,3,23,1,0,0.23628520965576172,15.889531135559082,0,EIG-0,0,
-7.815312845427215,-0.26639761531116013,-0.6689204143100125,3,25,1,0,0.3497140407562256,16.376870155334473,0,EIG-0,0,
-7.81515844214932,-0.23656331699789093,-0.6433718978077125,3,22,1,0,0.3530089855194092,16.868874073028564,0,EIG-0,0,
-7.815041276379751,-0.265945429793672,-0.6507662717611952,3,21,1,0,0.294111967086792,17.301793098449707,0,EIG-0,0,
-7.814929418239145,-0.22586545980386252,-0.7083734322217292,3,23,1,0,0.290208101272583,17.732526063919067,0,EIG-0,0,
-7.814825620685253,-0.256160007088574,-0.634555171689712,3,21,1,0,0.2474520206451416,18.120018243789673,0,EIG-0,0,
-7.814738356616208,-0.2508634085248964,-0.6797281595570769,4,25,1,0,0.32613301277160645,18.587209224700928,0,EIG-0,0,
-7.814630859685733,-0.2575732078797054,-0.6692000617640532,3,21,1,0,0.3611891269683838,19.087821006774902,0,EIG-0,0,
-7.814547245859928,-0.2452643043565139,-0.6738807074585067,3,23,1,0,0.27903294563293457,19.504568099975586,0,EIG-0,0,
-7.814348625769843,-0.23593253800871994,-0.7581809288377029,3,21,1,0,0.39803218841552734,20.039963006973267,0,EIG-0,0,
-7.814259243346509,-0.24992755296905972,-0.6500066579192141,3,23,1,0,0.2763030529022217,20.454565048217773,0,EIG-0,0,
-7.814163370499485,-0.24902679363344257,-0.6470581136292262,3,23,1,0,0.3561990261077881,20.949965953826904,0,EIG-0,0,
-7.814087801265526,-0.2355403298994266,-0.6540370292517675,4,22,1,0,0.3028290271759033,21.392787218093872,0,EIG-0,0,
-7.813988923633459,-0.26614396097807813,-0.6581679410773558,3,24,1,0,0.44188404083251953,21.98079204559326,0,EIG-0,0,
-7.813887625735295,-0.24212695164388356,-0.6258216641729629,3,24,1,0,0.45635104179382324,22.57731008529663,0,EIG-0,0,
-7.813797570899891,-0.2384042648823091,-0.6931469690402144,3,25,1,0,0.3569011688232422,23.07434105873108,0,EIG-0,0,
-7.813697944169251,-0.23611764211193223,-0.6770062090234016,3,25,1,0,0.4250669479370117,23.637319087982178,0,EIG-0,0,
-7.8135814106986405,-0.26058800114473857,-0.6026798591576724,3,25,1,0,0.3944389820098877,24.16882014274597,0,EIG-0,0,
-7.813494203041669,-0.2630645571084849,-0.6097791113839567,4,24,1,0,0.45081210136413574,24.75993800163269,0,EIG-0,0,
-7.813415390388014,-0.25330715609738563,-0.6035725916834822,3,22,1,0,0.41692304611206055,25.31585717201233,0,EIG-0,0,
-7.81331661134299,-0.2284213084610572,-0.6858129678158988,3,24,1,0,0.44714999198913574,25.901036024093628,0,EIG-0,0,
-7.813216834198319,-0.25177750457263043,-0.636824613860798,3,23,1,0,0.38498520851135254,26.42450499534607,0,EIG-0,0,
-7.813112600977908,-0.22588347195441136,-0.6785761209179114,3,29,1,0,0.6269509792327881,27.1899471282959,0,EIG-0,0,
-7.813007712264512,-0.2324632786620109,-0.6271563130958409,3,27,1,0,0.6006629467010498,27.929917097091675,0,EIG-0,0,
-7.812847704167914,-0.21931106930976732,-0.6290840638597563,3,26,1,0,0.2016592025756836,28.271132230758667,0,EIG-0,0,
-7.8126837538271685,-0.24441638834233673,-0.737393739895604,3,29,1,0,0.7366540431976318,29.14704918861389,0,EIG-0,0,
-7.812550699759459,-0.22722288424420864,-0.5841370785985475,3,25,1,0,0.19743609428405762,29.482975959777832,0,EIG-0,0,
-7.812367893267504,-0.23633937921135356,-0.6250633467462551,4,27,1,0,0.23271489143371582,29.854783058166504,0,EIG-0,0,
