lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.982090640902459,-1.08113883008419,-1.08113883008419,0,1,1,0,0.24783611297607422,0.3997931480407715,0,FROB-0,0,1.2592048645019531
-7.975419684866742,-0.7392304845413263,-0.8091981243119863,0,2,1,0,0.07300090789794922,0.6109428405761719,0,FROB-0,0,
-7.964240024366172,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.10160088539123535,0.8524940013885498,0,FROB-0,0,
-7.951565563326602,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.12025904655456543,1.113602876663208,0,FROB-0,0,
-7.948872502125314,-0.5874980114515588,-0.7524996612786619,0,2,1,0,0.0691828727722168,1.323547124862671,0,FROB-0,0,
-7.942647620820009,-0.7999999999999997,-0.8456753823214441,0,2,1,0,0.07381701469421387,1.538503885269165,0,FROB-0,0,
-7.928877058879115,-0.5485837703548636,-0.7422561236505616,0,2,1,0,0.10410404205322266,1.7805240154266357,0,FROB-0,0,
-7.919427148378337,-0.5760129588726067,-0.7424629119601737,0,2,1,0,0.1046590805053711,2.025222063064575,0,FROB-0,0,
-7.908992923392557,-0.6205630429010921,-0.6910735221425228,1,3,1,0,0.18326807022094727,2.3488240242004395,0,FROB-0,0,
-7.890859691304945,-0.8381194725380492,-0.851307341329283,0,2,1,0,0.18098878860473633,2.6706509590148926,0,FROB-0,0,
-7.887266994433747,-0.5989677578140721,-0.733029894167805,0,3,1,0,0.04861617088317871,2.856914758682251,0,FROB-0,0,
-7.877797215866462,-0.8124238063382937,-0.8331262672925095,0,5,1,0,0.16192007064819336,3.156242847442627,0,FROB-0,0,
-7.864984373746214,-0.5860993124764164,-0.6359865822029437,1,9,1,0,0.10443592071533203,3.40128493309021,0,FROB-0,0,
-7.852684199844564,-1.0811388300841895,-1.0811388300841895,0,1,1,0,0.10433793067932129,3.644711971282959,0,FROB-0,0,
-7.843207345896447,-0.589312505158637,-0.625947727087937,1,9,1,0,0.17497897148132324,3.9582269191741943,0,FROB-0,0,
