lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.982090640902459,-1.08113883008419,-1.08113883008419,0,1,1,0,0.2539088726043701,0.4084961414337158,0,FROB-S,0,1.2528388500213623
-7.975419684866742,-0.7392304845413263,-0.7392304845413263,0,1,1,0,0.07637691497802734,0.621610164642334,0,FROB-S,0,
-7.964240024366172,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.11291003227233887,0.872962236404419,0,FROB-S,0,
-7.951565563326602,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.11961102485656738,1.130467176437378,0,FROB-S,0,
-7.951381179334692,-0.5386843774138906,-0.7447701360335873,0,2,1,0,0.03537583351135254,1.2995882034301758,0,FROB-S,0,
-7.9431910571656,-0.6094757082487301,-0.6094757082487301,0,1,1,0,0.0625920295715332,1.4956421852111816,0,FROB-S,0,
-7.940832582653041,-0.7392304845413264,-0.7392304845413264,0,1,1,0,0.04910612106323242,1.6818630695343018,0,FROB-S,0,
-7.928877058879115,-0.5485837703548636,-0.7422561236505616,0,2,1,0,0.11880803108215332,1.934927225112915,0,FROB-S,0,
-7.918270057571086,-0.5505248676920617,-0.5505248676920617,0,1,1,0,0.23580694198608398,2.308812141418457,0,FROB-S,0,
-7.915474021805766,-0.5425359585862404,-0.7358597101779194,0,2,1,0,0.04835391044616699,2.4948973655700684,0,FROB-S,0,
-7.90894997748015,-0.6724863251770352,-0.6724863251770352,0,1,1,0,0.11965084075927734,2.750143051147461,0,FROB-S,0,
-7.886467943343411,-0.47847221488596275,-0.47847221488596275,0,1,1,0,0.10964202880859375,2.9947221279144287,0,FROB-S,0,
-7.879876745360643,-0.7887577758554241,-0.7887577758554241,0,1,1,0,0.1075448989868164,3.240514039993286,0,FROB-S,0,
-7.8749841207346645,-0.9484960448709321,-0.9484960448709321,0,1,1,0,0.11820697784423828,3.493351936340332,0,FROB-S,0,
-7.859564845360552,-0.5353998477524143,-0.5353998477524143,1,1,1,0,0.08101487159729004,3.7118451595306396,0,FROB-S,0,
-7.858218368746685,-0.5259452590671211,-0.5259452590671211,1,1,1,0,0.07103204727172852,3.91988205909729,0,FROB-S,0,
-7.852684199844564,-1.0811388300841895,-1.0811388300841895,0,1,1,0,0.07450199127197266,4.1308112144470215,0,FROB-S,0,
-7.848298807258557,-0.5329691439242807,-0.7364170457428528,1,2,1,0,0.11900615692138672,4.384300231933594,0,FROB-S,0,
-7.8390582081406395,-0.4313475335749308,-0.4313475335749308,1,1,1,0,0.1494770050048828,4.6702611446380615,0,FROB-S,0,
-7.831199548282756,-0.3428548432661576,-0.3428548432661576,0,1,1,0,0.20936083793640137,5.01425313949585,0,FROB-S,0,
-7.829298291947627,-0.5561370765902901,-0.5561370765902901,1,1,1,0,0.07133984565734863,5.223883152008057,0,FROB-S,0,
-7.828551826745432,-1.08113883008419,-1.08113883008419,0,1,1,0,0.03873395919799805,5.3982322216033936,0,FROB-S,0,
-7.824522657201227,-0.7612552321595372,-0.7612552321595372,1,1,1,0,0.22806406021118164,5.762393236160278,0,FROB-S,0,
-7.818542861415046,-0.4067914544449085,-0.4067914544449085,1,1,1,0,0.21512103080749512,6.111668109893799,0,FROB-S,0,
-7.811089914303482,-0.3648796600596656,-0.3648796600596656,0,1,1,0,0.2920238971710205,6.54419207572937,0,FROB-S,0,
-7.810089603466679,-0.4758397071172525,-0.4758397071172525,3,1,1,0,0.10026001930236816,6.785814046859741,0,FROB-S,0,
-7.799779128684444,-0.4934356432017223,-0.4934356432017223,2,1,1,0,0.27339911460876465,7.193888187408447,0,FROB-S,0,
-7.797180650421279,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.09899187088012695,7.424931287765503,0,FROB-S,0,
-7.794270667821215,-0.32197613392558644,-0.32197613392558644,0,1,1,0,0.19301700592041016,7.755066156387329,0,FROB-S,0,
-7.792715706445799,-0.40152839136755414,-0.40152839136755414,2,1,1,0,0.09627890586853027,7.988002061843872,0,FROB-S,0,
-7.783397277590469,-0.5143921640747536,-0.5143921640747536,2,1,1,0,0.3528141975402832,8.47442102432251,0,FROB-S,0,
-7.777358805094033,-0.38093896726935333,-0.38093896726935333,2,1,1,0,0.23630809783935547,8.844499111175537,0,FROB-S,0,
-7.7707377085469895,-0.4775087540887196,-0.4775087540887196,2,1,1,0,0.32590794563293457,9.304143190383911,0,FROB-S,0,
-7.762981522410886,-0.28735639417689846,-0.3878996117485826,3,2,1,0,0.3506460189819336,9.78855013847351,0,FROB-S,0,
-7.753741699350863,-0.7600455634356897,-0.7600455634356897,0,1,1,0,0.5460729598999023,10.466240167617798,0,FROB-S,0,
-7.748523463975363,-0.22845770648059194,-0.22845770648059194,4,1,1,0,0.18554210662841797,10.7867112159729,0,FROB-S,0,
-7.736889184666947,-0.514797273498446,-0.514797273498446,1,1,1,0,0.43578505516052246,11.355289220809937,0,FROB-S,0,
-7.734314119642278,-0.6573703606352729,-0.6573703606352729,0,1,1,0,0.10438680648803711,11.593132019042969,0,FROB-S,0,
-7.718799488572924,-0.7394674717295112,-0.7394674717295112,0,1,1,0,0.46252918243408203,12.188502073287964,0,FROB-S,0,
-7.7187122156779315,-0.3499737280557299,-0.3499737280557299,3,1,1,0,0.07155513763427734,12.393826246261597,0,FROB-S,0,
-7.716192344730743,-0.5346619634657542,-0.5346619634657542,0,1,1,0,0.2855849266052246,12.817559242248535,0,FROB-S,0,
-7.711611332162886,-0.21021511118609668,-0.21021511118609668,5,1,1,0,0.1506791114807129,13.103080034255981,0,FROB-S,0,
-7.697671106627226,-0.37821849775028754,-0.37821849775028754,1,1,1,0,0.4512150287628174,13.69026517868042,0,FROB-S,0,
-7.690062816404084,-0.5548981074637572,-0.5548981074637572,1,1,1,0,0.40570497512817383,14.23194408416748,0,FROB-S,0,
-7.684555565214333,-0.4868739707199417,-0.4868739707199417,2,1,1,0,0.24894404411315918,14.61490511894226,0,FROB-S,0,
-7.680154575072954,-0.6310617463135714,-0.6310617463135714,0,1,1,0,0.3419311046600342,15.094112157821655,0,FROB-S,0,
-7.677460107645935,-0.3274764123454072,-0.3274764123454072,3,1,1,0,0.14681601524353027,15.378372192382812,0,FROB-S,0,
-7.664534546518413,-0.32400743599493176,-0.32400743599493176,5,1,1,0,0.2842140197753906,15.797734260559082,0,FROB-S,0,
-7.65591124596476,-0.3062507368487677,-0.3062507368487677,4,1,1,0,0.47472691535949707,16.409656047821045,0,FROB-S,0,
-7.650393261716115,-0.3681481579780101,-0.3681481579780101,0,1,1,0,0.3279719352722168,16.876152276992798,0,FROB-S,0,
-7.6464055396854045,-0.33476384467228076,-0.33476384467228076,4,1,1,0,0.2159590721130371,17.231248140335083,0,FROB-S,0,
-7.643447541365269,-0.26585273057574316,-0.26585273057574316,4,1,1,0,0.18301105499267578,17.549519300460815,0,FROB-S,0,
-7.639513709636323,-0.942357052616271,-0.942357052616271,0,1,1,0,0.29839515686035156,17.984703063964844,0,FROB-S,0,
-7.630969406885174,-0.2625934615274788,-0.2625934615274788,5,1,1,0,0.3766908645629883,18.496321201324463,0,FROB-S,0,
-7.620500248392727,-0.8534715633095834,-0.8534715633095834,0,1,1,0,0.9724869728088379,19.603169202804565,0,FROB-S,0,
-7.615117606489608,-0.6803985210935988,-0.6803985210935988,0,1,1,0,0.19954395294189453,19.937326192855835,0,FROB-S,0,
-7.612022407429857,-1.0811388300841898,-1.0811388300841898,0,1,1,0,0.08315610885620117,20.156421184539795,0,FROB-S,0,
-7.592251781794493,-0.2636719499255976,-0.2636719499255976,0,1,1,0,0.5292518138885498,20.82048511505127,0,FROB-S,0,
-7.588801915657479,-0.2691627291795753,-0.2691627291795753,4,1,1,0,0.22994399070739746,21.186110973358154,0,FROB-S,0,
-7.554383165226923,-0.22882971506030272,-0.22882971506030272,5,1,1,0,0.8422410488128662,22.16942310333252,0,FROB-S,0,
-7.545653664042767,-1.0811388300841893,-1.0811388300841893,0,1,1,0,0.16104698181152344,22.465963125228882,0,FROB-S,0,
-7.533127568912069,-0.5233855505782757,-0.5233855505782757,0,1,1,0,0.7929201126098633,23.396258115768433,0,FROB-S,0,
-7.523470525966574,-0.2992888639939824,-0.4028829335109076,5,2,1,0,0.4840879440307617,24.016717195510864,0,FROB-S,0,
