lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.973809628836053,-0.708342948145193,-0.708342948145193,0,1,1,0,22.34032106399536,22.489760160446167,0,EIG-1,0,1.0425889492034912
-7.941142851963088,-0.725452262069638,-0.725452262069638,0,1,1,0,2.966855049133301,25.598669052124023,0,EIG-1,0,
-7.936621428414468,-0.35412750482724215,-0.35412750482724215,0,1,1,0,3.516662120819092,29.26254916191101,0,EIG-1,0,
-7.934197725363327,-0.3127874273652522,-0.3127874273652522,1,1,1,0,4.377676010131836,33.78305411338806,0,EIG-1,0,
-7.928206526955557,-0.5545247617702022,-0.5545247617702022,0,1,1,0,4.363018035888672,38.28959512710571,0,EIG-1,0,
-7.922673770714232,-0.667700406213379,-0.667700406213379,0,1,1,0,1.228219985961914,39.659245014190674,0,EIG-1,0,
-7.916182157385087,-0.7487523057980593,-0.7487523057980593,1,1,1,0,2.2771799564361572,42.07993507385254,0,EIG-1,0,
-7.895705748461138,-0.44671157405574397,-0.44671157405574397,0,1,1,0,2.0412628650665283,44.26797103881836,0,EIG-1,0,
-7.89059353520529,-0.4010033491752334,-0.4010033491752334,0,1,1,0,2.238468885421753,46.653193950653076,0,EIG-1,0,
-7.8833219886453625,-0.407667824007353,-0.407667824007353,2,1,1,0,3.578502893447876,50.37311625480652,0,EIG-1,0,
-7.845315927497023,-0.40585907230834006,-0.40585907230834006,1,1,1,0,2.677145004272461,53.192697048187256,0,EIG-1,0,
-7.83632335554897,-0.36203265337556284,-0.36203265337556284,0,1,1,0,4.595483064651489,58.180336236953735,0,EIG-1,0,
-7.826879802073195,-0.4822918168020081,-0.4822918168020081,3,1,1,0,18.976078033447266,77.57718396186829,0,EIG-1,0,
-7.821421035118362,-0.34256655707130834,-0.34256655707130834,4,1,1,0,18.61727809906006,96.6214189529419,0,EIG-1,0,
-7.781776880659382,-0.3423236979752508,-0.3423236979752508,3,1,1,0,20.348912000656128,117.3930230140686,0,EIG-1,0,
-7.75161798298274,-0.3614847522080156,-0.3614847522080156,4,1,1,0,16.566751956939697,134.37614011764526,0,EIG-1,0,
-7.736982913984484,-0.5217940573245765,-0.5217940573245765,1,1,1,0,9.717005968093872,144.5107069015503,0,EIG-1,0,
-7.715352683888987,-0.3997674957322003,-0.3997674957322003,0,1,1,0,9.916796922683716,154.84832096099854,0,EIG-1,0,
-7.711228039081007,-0.21674692723670663,-0.21674692723670663,4,1,1,0,23.6530179977417,178.9230091571808,0,EIG-1,0,
-7.696403680158294,-0.49785375477120897,-0.49785375477120897,1,1,1,0,16.537726879119873,195.87450313568115,0,EIG-1,0,
-7.633219850459396,-0.3394046709989669,-0.3394046709989669,1,1,1,0,12.57041883468628,208.86969923973083,0,EIG-1,0,
-7.618422811997753,-0.2930913840918548,-0.2930913840918548,5,1,1,0,30.10093379020691,239.38639998435974,0,EIG-1,0,
-7.589547339844819,-0.20296888728972945,-0.20296888728972945,6,1,1,0,19.449032068252563,259.25255608558655,0,EIG-1,0,
-7.52753249435175,-0.2705189812027571,-0.2705189812027571,3,1,1,0,17.409780025482178,277.07865715026855,0,EIG-1,0,
-7.5259643603814865,-0.1761556415436096,-0.1761556415436096,6,1,1,0,13.943901062011719,291.4477491378784,0,EIG-1,0,
