lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.973809628836053,-0.708342948145193,-0.7114624695394329,1,21,1,0,21.33510398864746,21.486738204956055,0,FROB-0,0,1.0651941299438477
-7.941070460414915,-0.7237464134899955,-0.7246879412884082,3,32,1,0,4.807591915130615,26.434843063354492,0,FROB-0,0,
-7.926229096565929,-0.42996272689332404,-0.47617614282500675,4,31,1,0,4.0755860805511475,30.652754068374634,0,FROB-0,0,
-7.9223547579336735,-0.347339801679745,-0.4327625665234129,2,29,1,0,3.546623945236206,34.347540855407715,0,FROB-0,0,
-7.888504064560408,-0.48957145721226336,-0.5129059624957469,5,31,1,0,2.727987051010132,37.226032972335815,0,FROB-0,0,
-7.868593739517784,-0.746201532576733,-0.7462461027691787,3,27,1,0,3.006880044937134,40.377135038375854,0,FROB-0,0,
-7.8348206010138846,-0.2928215768893303,-0.3074428074968347,5,30,1,0,6.15238618850708,46.67112493515015,0,FROB-0,0,
-7.801390682844262,-0.497586676200922,-0.508661833071624,4,29,1,0,6.8755409717559814,53.689042806625366,0,FROB-0,0,
-7.749462867288774,-0.2060779332468692,-0.2697078897189742,6,34,1,0,6.4386560916900635,60.27987813949585,0,FROB-0,0,
-7.70885840332539,-0.49015266760923343,-0.5006863469946881,9,42,1,0,4.763307094573975,65.19295501708984,0,FROB-0,0,
-7.702788922995785,-0.735594714284741,-0.7357123728695373,6,36,1,0,4.769963026046753,70.10510206222534,0,FROB-0,0,
-7.644221105293584,-0.18828174683130092,-0.231886002394708,8,34,1,0,9.876075029373169,80.12941098213196,0,FROB-0,0,
-7.588264999789084,-0.15449271514352053,-0.1806765508391597,9,43,1,0,14.099428176879883,94.37076020240784,0,FROB-0,0,
-7.540404442726521,-0.21637435054137308,-0.24002641728238255,10,47,1,0,10.423184871673584,104.93901109695435,0,FROB-0,0,
-7.494157502252238,-0.24985765802983423,-0.2593098283101659,13,49,1,0,10.058337926864624,115.14894199371338,0,FROB-0,0,
-7.445005301196651,-0.14272415735490473,-0.16621000006659217,12,48,1,0,10.264605045318604,125.5584979057312,0,FROB-0,0,
-7.425545384728514,-0.7231521966293074,-0.7232132983626,9,43,1,0,9.11693787574768,134.82287406921387,0,FROB-0,0,
-7.377688260304777,-0.20009323837042145,-0.271049644234084,15,52,1,0,7.85530686378479,142.8212320804596,0,FROB-0,0,
-7.310456626688084,-0.14009282467194278,-0.16016259908671407,13,49,1,0,8.817317008972168,151.78181910514832,0,FROB-0,0,
-7.253368999821823,-0.17356509568363215,-0.18846926342899054,18,51,1,0,9.40043020248413,161.32813620567322,0,FROB-0,0,
-7.158547592648853,-0.16880020425384307,-0.1893667666488423,26,54,1,0,11.394110202789307,172.8642029762268,0,FROB-0,0,
-7.116838639359977,-0.10110896950696245,-0.1242880046296711,34,61,1,0,9.049133062362671,182.05686283111572,0,FROB-0,0,
