dataset,matrix,s,n,m,mode,maxit,maxcpu,eigtol,lb,cpu,it,cpu/it,eigmin,status,lb0,cpu0,cpub,cputotal,gc
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,SDP,-1,60,1e-06,0.03872427096405784,0.012990951538085938,1,0.012990951538085938,2.382715698942436e-13,1,0.03872427096405784,0.012990951538085938,0.025606870651245117,0.05449700355529785,1.0
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,LP-EIG-1,-1,60,1e-06,0.03872308377615337,4.95616888999939,1353,0.0031565507957870133,-8.888898599827715e-07,1,-3.28,0.007169961929321289,0.0062749385833740234,4.973076105117798,0.999999642275824
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,LP-EIG-0,-1,60,1e-06,0.03872272052573741,60.00391602516174,4483,0.012683368649249786,-1.4276085433098428e-06,0,-3.28,0.0007951259613037109,0.0020089149475097656,60.00695013999939,0.9999995328209895
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,LP-FROB-0,-1,60,1e-06,0.03872299926141791,37.07679104804993,3391,0.010355268878874896,-9.663572041070715e-07,1,-3.28,0.001361846923828125,0.001909017562866211,37.07957315444946,0.9999996168097931
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,LP-FROB-S,-1,60,1e-06,0.03872271084665722,5.305652141571045,1422,0.003305255444576301,-9.93305721577049e-07,1,-3.28,0.0007472038269042969,0.001962900161743164,5.308190822601318,0.9999995299044833
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,SOC-EIG-0,-1,60,1e-06,-0.010234418227805873,59.99877309799194,817,0.07303569804206764,-0.04386749237905441,0,-2.4485928481660726,0.007748842239379883,0.0029878616333007812,60.002108335494995,0.9803166677801881
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,SOC-EIG-1,-1,60,1e-06,0.038720337134085916,60.01806616783142,776,0.0769528992397269,-9.427389255675733e-06,0,-2.4485928481660726,0.005784034729003906,0.0017049312591552734,60.02029275894165,0.9999984184445394
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,SOC-FROB-0,-1,60,1e-06,0.03371451775609828,60.11984610557556,768,0.07785746920853853,-0.0039495835767122955,0,-2.4485928481660726,0.006376981735229492,0.001711130142211914,60.12184500694275,0.9979858807831822
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,SOC-FROB-S5,-1,60,1e-06,0.03722553663272185,60.06205987930298,735,0.08124346441152144,-0.0015934730502804638,0,-2.4485928481660726,0.006015777587890625,0.002427339553833008,60.0672881603241,0
SPCA_SMALL_K=10,sigma_pitprops_13,PCA10,13,0,SOC-FROB-S,-1,60,1e-06,0.03868637089850584,60.033955812454224,737,0.08100196917312602,-4.315039472830601e-05,0,-2.4485928481660726,0.010442972183227539,0.003985166549682617,60.0468270778656,0
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,SDP,-1,60,1e-06,0.10337793590118412,0.006989955902099609,1,0.006989955902099609,1.556830096085687e-12,1,0.10337793590118412,0.006989955902099609,0.022968053817749023,0.03107905387878418,1.0
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,LP-EIG-1,-1,60,1e-06,0.10337696999737571,3.695610761642456,1180,0.0025887945951041528,-9.182073603952657e-07,1,-3.8792118518221477,0.0008738040924072266,0.0021190643310546875,3.698385238647461,0.9999997574684163
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,LP-EIG-0,-1,60,1e-06,0.10337669167399637,56.30937600135803,4617,0.011371500181743844,-8.994897864413456e-07,1,-3.8792118518221477,0.0007390975952148438,0.0019299983978271484,56.313090801239014,0.9999996875833932
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,LP-FROB-0,-1,60,1e-06,0.10337697836145071,31.77152419090271,3335,0.008852827280893856,-9.482123858644793e-07,1,-3.8792118518221477,0.0008261203765869141,0.0020558834075927734,31.774649143218994,0.9999997595685761
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,LP-FROB-S,-1,60,1e-06,0.10337681397575174,4.784324884414673,1320,0.0030935486157735188,-9.675058611366324e-07,1,-3.8792118518221477,0.0007600784301757812,0.0019431114196777344,4.786858081817627,0.999999718292495
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,SOC-EIG-0,-1,60,1e-06,0.06283469801613503,60.015273094177246,819,0.07287482202271402,-0.05481577829773685,0,-2.820003682708984,0.003972768783569336,0.001728057861328125,60.01737689971924,0.9861313905694173
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,SOC-EIG-1,-1,60,1e-06,0.10337938108254087,56.05905890464783,753,0.07405472656645148,-9.391480836756365e-07,1,-2.820003682708984,0.0037467479705810547,0.0017042160034179688,56.06105303764343,1.0000004943526182
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,SOC-FROB-0,-1,60,1e-06,0.09986018578285383,60.088748931884766,761,0.07855958224282784,-0.0025555478061748457,0,-2.820003682708984,0.004216909408569336,0.0017299652099609375,60.09081292152405,0.99879668460117
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,SOC-FROB-S5,-1,60,1e-06,0.1022335251680358,60.07344388961792,734,0.08135633702499015,-0.001133260315819236,0,-2.820003682708984,0.004204750061035156,0.0019881725311279297,60.0756778717041,0
SPCA_SMALL_K=10,sigma_wine_13,PCA10,13,0,SOC-FROB-S,-1,60,1e-06,0.10337677607420882,60.032105922698975,736,0.08109328733838123,-7.505984367857332e-06,0,-2.820003682708984,0.004308938980102539,0.0019021034240722656,60.034282207489014,0
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,SDP,-1,60,1e-06,0.08361956614068529,0.16956710815429688,1,0.16956710815429688,8.404014700590966e-14,1,0.08361956614068529,0.16956710815429688,0.1671769618988037,0.34049391746520996,1.0
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,LP-EIG-1,-1,60,1e-06,-0.3542390722076126,60.12297821044922,537,0.10950309337850389,-0.0668889989831066,0,-4.913434111706047,0.004786014556884766,0.013094902038574219,60.13776206970215,0.912376639000409
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,LP-EIG-0,-1,60,1e-06,-1.4458372125884282,60.12899899482727,536,0.10975982448947963,-0.25852553768535014,0,-4.913434111706047,0.0039708614349365234,0.012839794158935547,60.14364290237427,0.6939282870805247
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,LP-FROB-0,-1,60,1e-06,-0.6409721742639176,60.29610013961792,397,0.14952885654170808,-0.1043584905104184,0,-4.913434111706047,0.0038471221923828125,0.012904882431030273,60.31078600883484,0.8549962063411665
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,LP-FROB-S,-1,60,1e-06,-0.3781057271765373,60.17264699935913,518,0.1136517147299866,-0.07358708637789549,0,-4.913434111706047,0.003912925720214844,0.01287698745727539,60.18811273574829,0.9076004935940205
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,SOC-EIG-0,-1,60,1e-06,-1.8006494321937891,60.15119290351868,258,0.23095463689907578,-0.2938353661462307,0,-4.370214962726716,0.1467418670654297,0.010951042175292969,60.16332793235779,0.5769333175443231
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,SOC-EIG-1,-1,60,1e-06,-0.2369415256847125,60.061429023742676,245,0.2430228379307961,-0.06195741349255424,0,-4.370214962726716,0.14552617073059082,0.01098489761352539,60.07301926612854,0.928025819157023
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,SOC-FROB-0,-1,60,1e-06,-0.36971664469517274,60.33435297012329,214,0.27973825017982556,-0.06730393867757152,0,-4.370214962726716,0.14925789833068848,0.010867834091186523,60.34573006629944,0.8982144020175037
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,SOC-FROB-S5,-1,60,1e-06,-0.2969711519760672,60.07310175895691,219,0.27215228233163213,-0.06746190187752535,0,-4.370214962726716,0.14665794372558594,0.01218414306640625,60.08579182624817,0
SPCA_SMALL_K=10,sigma_ionosphere_34,PCA10,34,0,SOC-FROB-S,-1,60,1e-06,-0.24770378839047943,60.15325593948364,239,0.2495152401624863,-0.05508709743871302,0,-4.370214962726716,0.14748477935791016,0.013147115707397461,60.16743803024292,0
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,SDP,-1,60,1e-06,4.923839114212569e-14,0.6127829551696777,1,0.6127829551696777,7.225200740691059e-17,1,4.923839114212569e-14,0.6127829551696777,0.4140758514404297,1.0345399379730225,1.0
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,LP-EIG-1,-1,60,1e-06,-0.6730248203597543,60.22619104385376,367,0.15896351655757396,-0.055501140676981406,0,-3.995201008057539,0.012244939804077148,0.03218579292297363,60.26173996925354,0.8315416873888358
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,LP-EIG-0,-1,60,1e-06,-1.6018996671853567,60.005008935928345,318,0.18371776814730661,-0.173389000741478,0,-3.995201008057539,0.011667966842651367,0.049726009368896484,60.05768895149231,0.5990440370948376
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,LP-FROB-0,-1,60,1e-06,-0.9160874977232436,60.404266119003296,288,0.20480793962876,-0.09437711412289658,0,-3.995201008057539,0.011878013610839844,0.032773733139038086,60.44003105163574,0.7707030269877004
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,LP-FROB-S,-1,60,1e-06,-0.6754617563408538,60.063472032547,359,0.16210848574518824,-0.053888946543601705,0,-3.995201008057539,0.010535240173339844,0.03215217590332031,60.09911012649536,0.8309317215883204
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,SOC-EIG-0,-1,60,1e-06,-1.8816518995385358,60.82776498794556,111,0.542294336868836,-0.2635122754001123,0,-3.32351726881068,0.05304098129272461,0.027441024780273438,60.8582329750061,0.43383718291558454
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,SOC-EIG-1,-1,60,1e-06,-0.6133282972266504,60.91764307022095,115,0.5244498252868652,-0.0526946943028229,0,-3.32351726881068,0.053298234939575195,0.027376890182495117,60.94683814048767,0.8154580681790259
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,SOC-FROB-0,-1,60,1e-06,-0.6002886312235298,60.39382028579712,100,0.5980565762519836,-0.05859681218940391,0,-3.32351726881068,0.052770137786865234,0.02791881561279297,60.42353105545044,0.819381521842255
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,SOC-FROB-S5,-1,60,1e-06,-0.544949210040237,60.024965047836304,110,0.5406161655079235,-0.05612104141710506,0,-3.32351726881068,0.05516505241394043,0.032350778579711914,60.05944299697876,0
SPCA_SMALL_K=10,sigma_lung_54,PCA10,54,0,SOC-FROB-S,-1,60,1e-06,-0.5568441954816135,60.14226984977722,113,0.5270966892748807,-0.053641301712214665,0,-3.32351726881068,0.054556846618652344,0.03203892707824707,60.17571210861206,0
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,SDP,-1,60,1e-06,4.1563892639207815e-13,1.9996330738067627,1,1.9996330738067627,-2.0014801914629295e-18,1,4.1563892639207815e-13,1.9996330738067627,0.6547648906707764,2.664774179458618,1.0
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,LP-EIG-1,-1,60,1e-06,-1.1775146298824,60.05174469947815,333,0.17280895072776634,-0.06361899292550116,0,-8.0,0.021564006805419922,0.05341315269470215,60.10904598236084,0.8528106712646557
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,LP-EIG-0,-1,60,1e-06,-6.45602357142216,60.19988775253296,646,0.08635927021687984,-0.2885768871357155,0,-8.0,0.020450830459594727,0.05313920974731445,60.25625228881836,0.19299705357221994
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,LP-FROB-0,-1,60,1e-06,-2.1485270214451897,59.93687891960144,267,0.21723952811309014,-0.10419343383203786,0,-8.0,0.02075791358947754,0.07177400588989258,60.012696981430054,0.7314341223193133
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,LP-FROB-S,-1,60,1e-06,-1.1992050175581415,59.95964813232422,345,0.16625646439151487,-0.06837121715435888,0,-8.0,0.01868295669555664,0.05187392234802246,60.015575647354126,0.8500993728051881
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,SOC-EIG-0,-1,60,1e-06,-1.907686117824297,62.41764783859253,91,0.6779547890464028,-0.14355816473153174,0,-7.9999999682965415,0.04503297805786133,0.04484200477600098,62.46480679512024,0.7615392343269194
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,SOC-EIG-1,-1,60,1e-06,-0.6218937490289874,60.65932083129883,92,0.6515596586724987,-0.05156492663981503,0,-7.9999999682965415,0.045520782470703125,0.059635162353515625,60.72229814529419,0.9222632810632633
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,SOC-FROB-0,-1,60,1e-06,-0.939166933753601,60.66995096206665,85,0.7061773833106546,-0.07144697795193702,0,-7.9999999682965415,0.044172048568725586,0.04464411735534668,60.71851587295532,0.8826041328155222
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,SOC-FROB-S5,-1,60,1e-06,-0.781460481487156,61.34533882141113,88,0.6891654350540855,-0.04924295058319094,0,-7.9999999682965415,0.04954695701599121,0.052813053131103516,61.400866985321045,0
SPCA_SMALL_K=10,sigma_geography_68,PCA10,68,0,SOC-FROB-S,-1,60,1e-06,-0.7298953830105191,62.27235507965088,91,0.6767653318551871,-0.05052887983473268,0,-7.9999999682965415,0.04721522331237793,0.0504608154296875,62.32557201385498,0
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,SDP,-1,60,1e-06,0.000629579441580854,30.852728843688965,1,30.852728843688965,2.2929720546465657e-15,1,0.000629579441580854,30.852728843688965,1.4248380661010742,32.31838083267212,1.0
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,LP-EIG-1,-1,60,1e-06,-1.6164519751832822,60.56311106681824,244,0.2329125961319345,-0.06400614843127307,0,-7.108057613026424,0.04269289970397949,0.1297469139099121,60.69925498962402,0.7725203668634852
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,LP-EIG-0,-1,60,1e-06,-4.612486989184174,59.97725820541382,272,0.20567894770818598,-0.23488758359579287,0,-7.108057613026424,0.04320216178894043,0.13757586479187012,60.119964838027954,0.35105928229426475
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,LP-FROB-0,-1,60,1e-06,-2.845509828892339,60.64222693443298,216,0.26560719807942706,-0.14494090953909095,0,-7.108057613026424,0.04367494583129883,0.13642001152038574,60.78476285934448,0.599625172514337
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,LP-FROB-S,-1,60,1e-06,-1.696277900572593,60.02003192901611,235,0.24000284519601375,-0.06500595073156214,0,-7.108057613026424,0.042656898498535156,0.12174105644226074,60.15113806724548,0.761291018429939
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,SOC-EIG-0,-1,60,1e-06,-5.042462867133387,60.44574594497681,93,0.6346913409489457,-0.310188201515738,0,-6.896466775810936,0.23758506774902344,0.11824893951416016,60.568504095077515,0.26880933847844873
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,SOC-EIG-1,-1,60,1e-06,-1.322850156795039,60.560914278030396,82,0.723235028546031,-0.04532948603561116,0,-6.896466775810936,0.23493599891662598,0.10044479370117188,60.6662061214447,0.8081105920422994
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,SOC-FROB-0,-1,60,1e-06,-1.7893580761333694,61.15526294708252,78,0.7686141943320249,-0.05544879613526639,0,-6.896466775810936,0.2655930519104004,0.11173677444458008,61.272406816482544,0.7404722852375729
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,SOC-FROB-S5,-1,60,1e-06,-1.2677030405969087,61.39089798927307,79,0.7608762722981127,-0.03943248565104829,0,-6.896466775810936,0.25257086753845215,0.13463091850280762,61.53214073181152,0
SPCA_SMALL_K=10,sigma_communities_101,PCA10,101,0,SOC-FROB-S,-1,60,1e-06,-1.294932574659848,60.4080126285553,81,0.7292065797028718,-0.0419794054492043,0,-6.896466775810936,0.2503187656402588,0.13521313667297363,60.54978680610657,0
