lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.108057613026424,-1.0811388300841893,-1.0811388300841893,1,1,1,0,0.026488065719604492,0.04269289970397949,0,EIG-1,0,0.1297469139099121
-6.679959209563385,-0.7999999999999997,-0.7999999999999997,1,1,1,0,0.015771865844726562,0.07239794731140137,0,EIG-1,0.06022186542638001,
-6.498106277177111,-0.7392304845413264,-0.7392304845413264,1,1,1,0,0.011553049087524414,0.09765625,0,EIG-1,0.0858036539426837,
-6.4443969493302165,-0.7392304845413264,-0.7392304845413264,1,1,1,0,0.005248069763183594,0.11649107933044434,0,EIG-1,0.09335910354859724,
-6.283698651148798,-0.5791561975888502,-0.5791561975888502,1,1,1,0,0.01586318016052246,0.14619183540344238,0,EIG-1,0.1159650072591566,
-6.275496061337838,-0.8571428571428571,-0.8571428571428571,1,1,1,0,0.0045621395111083984,0.16586709022521973,0,EIG-1,0.11711888976782162,
-6.01905705060148,-1.0811388300841893,-1.0811388300841893,1,1,1,0,0.018047094345092773,0.19939517974853516,0,EIG-1,0.15319292197563453,
-5.9207806453669605,-1.0413125403427623,-1.0413125403427623,1,1,1,0,0.005986928939819336,0.22050690650939941,0,EIG-1,0.16701775384313441,
-5.657234228343473,-0.854007259424115,-0.854007259424115,2,1,1,0,0.013306856155395508,0.2494211196899414,0,EIG-1,0.20409160586221434,
-5.504333886852638,-0.5685380165090405,-0.5685380165090405,9,1,1,0,0.014761924743652344,0.2795751094818115,0,EIG-1,0.225600547998934,
-5.257350202394066,-0.7231998225951061,-0.7231998225951061,4,1,1,0,0.02103900909423828,0.3160090446472168,0,EIG-1,0.2603444715633671,
-4.997807587759222,-0.7392185757421218,-0.7392185757421218,3,1,1,0,0.015671968460083008,0.3467559814453125,0,EIG-1,0.29685509688808837,
-4.997354638203406,-1.0811388300841893,-1.0811388300841893,1,1,1,0,0.003932952880859375,0.36566901206970215,0,EIG-1,0.29691881463843406,
-4.973511431932865,-0.6618525572602498,-0.6618525572602498,9,1,1,0,0.011132001876831055,0.39113497734069824,0,EIG-1,0.30027290880870566,
-4.9357565130808805,-0.8409059630431422,-0.8409059630431422,2,1,1,0,0.014136075973510742,0.41982102394104004,0,EIG-1,0.3055840046312912,
-4.774029387559846,-0.7120180199495365,-0.7120180199495365,8,1,1,0,0.023263931274414062,0.4572911262512207,0,EIG-1,0.3283346365190457,
-4.727047508216217,-0.41880850778190143,-0.41880850778190143,25,1,1,0,0.022567033767700195,0.4945809841156006,0,EIG-1,0.3349437160961311,
-4.548582502703412,-0.37086018914665786,-0.37086018914665786,27,1,1,0,0.043200016021728516,0.5521202087402344,0,EIG-1,0.36004891494380264,
-4.432569152788872,-0.5147999654215647,-0.5147999654215647,11,1,1,0,0.042120933532714844,0.6094040870666504,0,EIG-1,0.37636885514843865,
-4.330558482630131,-0.46142883199568463,-0.46142883199568463,17,1,1,0,0.034499168395996094,0.6579239368438721,0,EIG-1,0.3907189970799652,
-4.252168896199379,-0.5146913352700592,-0.5146913352700592,19,1,1,0,0.030440092086791992,0.7033181190490723,0,EIG-1,0.40174629147460533,
-4.147207308728769,-0.2864413523613226,-0.2864413523613226,11,1,1,0,0.04547905921936035,0.7640929222106934,0,EIG-1,0.4165115476504323,
-4.135780704243835,-0.36799646665791824,-0.36799646665791824,26,1,1,0,0.024924039840698242,0.803196907043457,0,EIG-1,0.4181189618150393,
-4.047970622036651,-0.4456236913271437,-0.4456236913271437,23,1,1,0,0.04072308540344238,0.8583519458770752,0,EIG-1,0.43047146514367407,
