lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-6.896466775810936,-0.7666466193186803,-0.7666466193186803,2,1,1,0,0.23308610916137695,0.2503187656402588,0,FROB-S,0,0.13521313667297363
-6.387156581494869,-0.7226650676296961,-0.7226650676296961,5,1,1,0,0.3137671947479248,0.5798678398132324,0,FROB-S,0,
-6.072640516491444,-0.5461344062941207,-0.5461344062941207,10,1,1,0,0.24682092666625977,0.8422458171844482,0,FROB-S,0,
-5.641996218129906,-0.48194842242878544,-0.48194842242878544,1,1,1,0,0.21714305877685547,1.0747556686401367,0,FROB-S,0,
-5.5447243709668355,-0.6187327286349896,-0.6187327286349896,12,1,1,0,0.20846986770629883,1.2989985942840576,0,FROB-S,0,
-5.269852504153673,-0.6367353534629279,-0.6367353534629279,20,1,1,0,0.42003607749938965,1.734987735748291,0,FROB-S,0,
-4.895374930458201,-0.42174844840721465,-0.42174844840721465,25,1,1,0,0.27156996726989746,2.0217487812042236,0,FROB-S,0,
-4.588268748919371,-0.3504445697109993,-0.3504445697109993,32,1,1,0,0.2676880359649658,2.304994821548462,0,FROB-S,0,
-4.3393593043006495,-0.6720658133408213,-0.6720658133408213,19,1,1,0,0.3372340202331543,2.6586649417877197,0,FROB-S,0,
-4.07304050744079,-0.3472267652416043,-0.3472267652416043,56,1,1,0,0.37557196617126465,3.051414728164673,0,FROB-S,0,
-3.8536509436602167,-0.2729126195163738,-0.2729126195163738,63,1,1,0,0.2879219055175781,3.3554255962371826,0,FROB-S,0,
-3.7099771939103543,-0.27989515147123345,-0.27989515147123345,60,1,1,0,0.33939385414123535,3.710561752319336,0,FROB-S,0,
-3.596345237809135,-0.35015492488007144,-0.35015492488007144,48,1,1,0,0.3169081211090088,4.043913841247559,0,FROB-S,0,
-3.3372204861086763,-0.22075361612617037,-0.22075361612617037,81,1,1,0,0.37305283546447754,4.432978868484497,0,FROB-S,0,
-3.187308232412321,-0.18721057600889565,-0.18721057600889565,89,1,1,0,0.3472781181335449,4.796391725540161,0,FROB-S,0,
-3.095780067825425,-0.15884341070624872,-0.15884341070624872,90,1,1,0,0.39043283462524414,5.202899932861328,0,FROB-S,0,
-2.9327469931080827,-0.19646492475564986,-0.19646492475564986,87,1,1,0,0.32808804512023926,5.547350645065308,0,FROB-S,0,
-2.8129330642890267,-0.17106537441621017,-0.17106537441621017,94,1,1,0,0.4416358470916748,6.005038738250732,0,FROB-S,0,
-2.705734506754897,-0.12954446906390032,-0.12954446906390032,97,1,1,0,0.40346407890319824,6.424452781677246,0,FROB-S,0,
-2.676094277724753,-0.10627472044172676,-0.10627472044172676,98,1,1,0,0.3754549026489258,6.816346883773804,0,FROB-S,0,
-2.570489273318514,-0.0988085409726919,-0.0988085409726919,98,1,1,0,0.35787415504455566,7.190414667129517,0,FROB-S,0,
-2.5175414337684883,-0.1638522320177504,-0.1638522320177504,95,1,1,0,0.4558701515197754,7.662269830703735,0,FROB-S,0,
