lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-8.0,-1.0080415698290814,-1.0080415698290814,3,1,1,0,0.012700796127319336,0.02075791358947754,0,FROB-0,0,0.07177400588989258
-8.0,-0.9433756729740644,-0.9479407595952094,3,2,1,0,0.005499839782714844,0.033215999603271484,0,FROB-0,0.0,
-7.584463847518632,-0.7580856410781561,-0.7581837640144862,11,2,1,0,0.005048990249633789,0.04524993896484375,0,FROB-0,0.05194201906016834,
-7.50767143842346,-0.6382079181231602,-0.7253824333448867,11,3,1,0,0.005354881286621094,0.05779409408569336,0,FROB-0,0.06154107019706425,
-6.634404070766712,-0.7523127815414558,-0.7649998616023139,14,4,1,0,0.022626876831054688,0.08781313896179199,0,FROB-0,0.17069949115415217,
-6.4851435697647934,-0.8284616343399808,-0.8302864932342975,14,3,1,0,0.003599882125854492,0.09810900688171387,0,FROB-0,0.189357053779391,
-6.456757366340533,-0.8529640306266912,-0.8544736364389811,8,3,1,0,0.008402824401855469,0.11294102668762207,0,FROB-0,0.1929053292074234,
-6.453263269572263,-0.8444630772626446,-0.8451021736999031,9,3,1,0,0.002157926559448242,0.12182998657226562,0,FROB-0,0.1933420913034571,
-6.445738622179461,-0.8401079297964152,-0.8406152159492956,9,3,1,0,0.008183002471923828,0.13671302795410156,0,FROB-0,0.19428267222755724,
-6.44190977348353,-0.8439469642614256,-0.8445622651853725,9,4,1,0,0.010976076126098633,0.1544051170349121,0,FROB-0,0.19476127831454856,
-6.441262929956624,-0.8503346694692102,-0.8507729356310811,9,3,1,0,0.01140284538269043,0.17248201370239258,0,FROB-0,0.1948421337554119,
-5.487600799331097,-0.691763122974672,-0.7202855914159177,15,5,1,0,0.022582054138183594,0.20165491104125977,0,FROB-0,0.31404990008359657,
-5.1139089023311595,-0.5286439337976061,-0.5919189682092931,17,7,1,0,0.02277994155883789,0.23090004920959473,0,FROB-0,0.3607613872085863,
-4.4446726559331875,-0.33841080437311855,-0.38366443961233804,16,7,1,0,0.021062135696411133,0.25851893424987793,0,FROB-0,0.44441591800832847,
-4.193115048532955,-0.6142674289119665,-0.6463207228974822,20,9,1,0,0.010318994522094727,0.27602195739746094,0,FROB-0,0.4758606189333559,
-4.160090900259964,-0.6194102969842196,-0.6517464263244835,28,10,1,0,0.008471965789794922,0.291301965713501,0,FROB-0,0.4799886374674796,
-4.146582775548995,-0.39701573439899684,-0.5105064139965007,28,10,1,0,0.005802154541015625,0.3037538528442383,0,FROB-0,0.48167715305635056,
-4.129613983848051,-0.4533665981821347,-0.5355481869703977,33,8,1,0,0.007682085037231445,0.3181450366973877,0,FROB-0,0.4837982520189685,
-4.073389973298934,-0.43418670087583655,-0.49960848350971393,36,9,1,0,0.014839887619018555,0.33969616889953613,0,FROB-0,0.4908262533376078,
-4.044134426391377,-0.4678281417277654,-0.4963440310156474,38,9,1,0,0.007984161376953125,0.3543589115142822,0,FROB-0,0.4944831967010522,
-4.03102170741951,-0.42416328150390037,-0.4590244390503411,38,9,1,0,0.006414890289306641,0.36733293533325195,0,FROB-0,0.49612228657253554,
-4.014929810644538,-0.41325094898713804,-0.4794897189333996,54,10,1,0,0.006669044494628906,0.3805549144744873,0,FROB-0,0.4981337736694069,
-4.004175148886478,-0.4083248547587312,-0.4732583665402367,54,9,1,0,0.00701904296875,0.39415812492370605,0,FROB-0,0.49947810638916423,
-3.9833683652500587,-0.36338501713420024,-0.42794415007598297,54,10,1,0,0.008455038070678711,0.4090449810028076,0,FROB-0,0.5020789543437166,
-3.943915896118243,-0.37239318288919354,-0.43609319317838835,25,9,1,0,0.009857892990112305,0.4253110885620117,0,FROB-0,0.5070105129851933,
-3.9181666933650927,-0.3800186540972753,-0.45262915422039157,38,10,1,0,0.006739139556884766,0.4384732246398926,0,FROB-0,0.5102291633293369,
-3.873738915614769,-0.3271588607346849,-0.40710762168540926,58,11,1,0,0.012280941009521484,0.45711398124694824,0,FROB-0,0.5157826355481271,
-3.8364695954213497,-0.3774141256398884,-0.44323702803804754,68,12,1,0,0.014409065246582031,0.4779031276702881,0,FROB-0,0.5204413005723042,
-3.795224286759326,-0.30997323519671766,-0.3972047767610876,78,13,1,0,0.01676797866821289,0.5010130405426025,0,FROB-0,0.5255969641550569,
