lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-8.0,-1.0080415698290814,-1.0080415698290814,3,1,1,0,0.011321067810058594,0.01868295669555664,0,FROB-S,0,0.05187392234802246
-8.0,-0.9433756729740644,-0.9433756729740644,3,1,1,0,0.004969120025634766,0.029967784881591797,0,FROB-S,0.0,
-7.572086943653486,-0.6815057934021942,-0.6815057934021942,7,1,1,0,0.004607200622558594,0.04090595245361328,0,FROB-S,0.05348913204331151,
-7.572086943653483,-0.6023940214345426,-0.6023940214345426,2,1,1,0,0.0047490596771240234,0.05199694633483887,0,FROB-S,0.05348913204331184,
-7.572086943653487,-0.5738863357848293,-0.5738863357848293,5,1,1,0,0.0030241012573242188,0.06135392189025879,0,FROB-S,0.0534891320433114,
-7.527471935794801,-0.695382081579547,-0.695382081579547,11,1,1,0,0.0049130916595458984,0.07259702682495117,0,FROB-S,0.05906600802564681,
-6.633913276584739,-0.4580517106235814,-0.4580517106235814,14,1,1,0,0.012208938598632812,0.09113597869873047,0,FROB-S,0.17076084042689876,
-5.258458656057749,-0.5666768379470976,-0.5666768379470976,14,1,1,0,0.011458158493041992,0.10886287689208984,0,FROB-S,0.3426926679927636,
-4.968146621201535,-1.0811388300841898,-1.0811388300841898,2,1,1,0,0.00859689712524414,0.12376785278320312,0,FROB-S,0.37898167234978847,
-4.782529615903922,-0.5896435836699349,-0.5896435836699349,14,1,1,0,0.007094860076904297,0.13727116584777832,0,FROB-S,0.4021837980119889,
-4.41025845513678,-0.3734400341755811,-0.3734400341755811,16,1,1,0,0.011543035507202148,0.15514588356018066,0,FROB-S,0.44871769310787923,
-4.319316988877629,-0.512462690737408,-0.512462690737408,15,1,1,0,0.007315158843994141,0.16883206367492676,0,FROB-S,0.4600853763902724,
-4.315085863179878,-0.4747837893134177,-0.4747837893134177,15,1,1,0,0.0031609535217285156,0.17841577529907227,0,FROB-S,0.46061426710249137,
-4.260092919701708,-0.4104795724619036,-0.4104795724619036,16,1,1,0,0.005505800247192383,0.19031190872192383,0,FROB-S,0.4674883850372622,
-4.062806547445449,-0.43759716250420116,-0.43759716250420116,5,1,1,0,0.010567903518676758,0.20706701278686523,0,FROB-S,0.49214918156929327,
-4.0414616539119645,-0.3298708715517089,-0.3298708715517089,16,1,1,0,0.00569605827331543,0.21907472610473633,0,FROB-S,0.49481729326097873,
-3.762203516388604,-0.4788201559832832,-0.4788201559832832,21,1,1,0,0.016650915145874023,0.242034912109375,0,FROB-S,0.5297245604513969,
-3.714637629270535,-0.3873310390835513,-0.3873310390835513,21,1,1,0,0.007879972457885742,0.2562980651855469,0,FROB-S,0.5356702963411553,
-3.6998875965597002,-0.6265470007474025,-0.6265470007474025,11,1,1,0,0.005990028381347656,0.2686619758605957,0,FROB-S,0.5375140504300095,
-3.671072975048138,-0.40935183391411467,-0.40935183391411467,22,1,1,0,0.010452985763549805,0.285444974899292,0,FROB-S,0.5411158781189547,
