lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-7.9999999682965415,-0.3411393535127156,-0.48172870544951013,6,2,1,0,0.03911900520324707,0.04721522331237793,0,FROB-S,0,0.0504608154296875
-7.311617552951681,-0.34090539499091194,-0.34090539499091194,12,1,1,0,0.037413835525512695,0.09202098846435547,0,FROB-S,0,
-4.595550151381187,-0.7545192720419073,-0.7545192720419073,8,1,1,0,0.06997799873352051,0.16920232772827148,0,FROB-S,0,
-3.2506804366900504,-0.5503606159632567,-0.5503606159632567,44,1,1,0,0.09346318244934082,0.26972317695617676,0,FROB-S,0,
-3.014095665807596,-0.3987490936165596,-0.3987490936165596,71,1,1,0,0.09908914566040039,0.37572407722473145,0,FROB-S,0,
-2.555894066781185,-0.6164252352019828,-0.6164252352019828,53,1,1,0,0.11990690231323242,0.5025620460510254,0,FROB-S,0,
-1.9601093404205676,-0.23919456139262915,-0.23919456139262915,84,1,1,0,0.09914588928222656,0.6092350482940674,0,FROB-S,0,
-1.8858406131203629,-0.22008780756350493,-0.22008780756350493,90,1,1,0,0.11193394660949707,0.7290592193603516,0,FROB-S,0,
-1.8042835208384047,-0.31249899404697906,-0.31249899404697906,70,1,1,0,0.11703610420227051,0.8531363010406494,0,FROB-S,0,
-1.629126023824142,-0.225642069540634,-0.225642069540634,95,1,1,0,0.1491379737854004,1.0093591213226318,0,FROB-S,0,
-1.500129482166451,-0.19084849265661613,-0.19084849265661613,98,1,1,0,0.13084697723388672,1.1476690769195557,0,FROB-S,0,
-1.441116502917665,-0.13881033629053707,-0.13881033629053707,100,1,1,0,0.1414928436279297,1.296255111694336,0,FROB-S,0,
-1.4170707851826239,-0.12411774062497084,-0.12411774062497084,99,1,1,0,0.14038896560668945,1.4440619945526123,0,FROB-S,0,
-1.3797601987589565,-0.1794984544467398,-0.1794984544467398,98,1,1,0,0.14080595970153809,1.5924091339111328,0,FROB-S,0,
-1.2845614205132128,-0.17445208268309462,-0.17445208268309462,98,1,1,0,0.16115713119506836,1.760552167892456,0,FROB-S,0,
-1.2593613184428651,-0.13413414892858722,-0.13413414892858722,100,1,1,0,0.14753293991088867,1.9152109622955322,0,FROB-S,0,
-1.2380594998497867,-0.12220333043135989,-0.12220333043135989,98,1,1,0,0.16161108016967773,2.083958148956299,0,FROB-S,0,
-1.2193997083103578,-0.10646058269190085,-0.10646058269190085,100,1,1,0,0.1539139747619629,2.245450973510742,0,FROB-S,0,
-1.2069618280970442,-0.09861250985723866,-0.13285684851442944,100,2,1,0,0.16997289657592773,2.423234224319458,0,FROB-S,0,
-1.1664982303148281,-0.1371519573853971,-0.1371519573853971,100,1,1,0,0.19125890731811523,2.621652126312256,0,FROB-S,0,
-1.1457336317826554,-0.10264701509040762,-0.10264701509040762,100,1,1,0,0.17217206954956055,2.8012990951538086,0,FROB-S,0,
-1.1127467451956161,-0.08407160684358733,-0.11327634878104179,100,2,1,0,0.17719602584838867,2.985624074935913,0,FROB-S,0,
-1.071744627960651,-0.09868428226419554,-0.09868428226419554,100,1,1,0,0.19266796112060547,3.1857962608337402,0,FROB-S,0,
-1.0617077290731756,-0.08931468533220359,-0.08931468533220359,100,1,1,0,0.18932414054870605,3.3822710514068604,0,FROB-S,0,
-1.0387914913542764,-0.08921721307763907,-0.08921721307763907,100,1,1,0,0.21178507804870605,3.6010851860046387,0,FROB-S,0,
-1.0341023901561104,-0.08229179301577667,-0.11272203028798261,100,2,1,0,0.19855904579162598,3.8067500591278076,0,FROB-S,0,
-1.0182267738540338,-0.0846812456042973,-0.0846812456042973,100,1,1,0,0.1828758716583252,3.997474193572998,0,FROB-S,0,
-1.0086058736987473,-0.066823104937554,-0.09217563206234262,100,2,1,0,0.17833495140075684,4.1829822063446045,0,FROB-S,0,
