lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-4.370214962726716,-0.6994838881263269,-0.7016419424971544,33,6,1,0,0.14721393585205078,0.14925789833068848,0,FROB-0,0,0.010867834091186523
-2.4358176265276628,-0.42283935735156153,-0.45450684936879077,94,8,1,0,0.1627051830291748,0.3142080307006836,0,FROB-0,0.4343217790560723,
-1.846347844112528,-0.5821590284898382,-0.5883093136494663,94,10,1,0,0.1859428882598877,0.5025629997253418,0,FROB-0,0.5666728528542799,
-1.4388137375637362,-0.3701343000000542,-0.38893446269357235,94,11,1,0,0.13549304008483887,0.6401989459991455,0,FROB-0,0.6581747045524899,
-1.1159266339038965,-0.2652488518661905,-0.30280532301469076,94,12,1,0,0.13248515129089355,0.7750499248504639,0,FROB-0,0.7306711346661495,
-0.9072259176815829,-0.15578388681247118,-0.2223988275098067,94,12,1,0,0.1392688751220703,0.916917085647583,0,FROB-0,0.7775297942929557,
-0.7577295834293506,-0.16224224158476816,-0.2166955486690393,94,14,1,0,0.14676690101623535,1.0659229755401611,0,FROB-0,0.8110955528058227,
-0.6919333409574685,-0.12866655020136808,-0.1959903206871148,94,15,1,0,0.13628482818603516,1.2041878700256348,0,FROB-0,0.825868495546606,
-0.6251228950131792,-0.13145838141954527,-0.19558895161520093,94,15,1,0,0.14334511756896973,1.349410057067871,0,FROB-0,0.8408691529601806,
-0.5740877278983418,-0.13824358006950152,-0.1968762866584708,94,14,1,0,0.16028308868408203,1.5118279457092285,0,FROB-0,0.8523278559685781,
-0.5466688017129517,-0.11874246959157014,-0.1879223218977066,94,16,1,0,0.16208910942077637,1.6758861541748047,0,FROB-0,0.8584841076226697,
-0.5381428829752993,-0.10482144636177557,-0.16618005658540172,94,15,1,0,0.15427398681640625,1.8321499824523926,0,FROB-0,0.8603983948918513,
-0.5274796401257771,-0.11279583484263193,-0.16389784131187102,94,15,1,0,0.13937997817993164,1.9733960628509521,0,FROB-0,0.8627925662020804,
-0.5151851846457473,-0.10795296350357148,-0.164047427249645,94,16,1,0,0.1480550765991211,2.1233179569244385,0,FROB-0,0.8655529865545528,
-0.5028100410383737,-0.11855892195153687,-0.17989374281897358,94,15,1,0,0.16138792037963867,2.2866480350494385,0,FROB-0,0.868331523459587,
-0.4949653043536959,-0.11466842070186171,-0.17388455368575095,94,16,1,0,0.15025806427001953,2.438875913619995,0,FROB-0,0.8700928678997166,
-0.49006627987745377,-0.12659862687685572,-0.17933759274508326,94,16,1,0,0.15624690055847168,2.5970518589019775,0,FROB-0,0.8711928244527698,
-0.48581570607796043,-0.11148684372535914,-0.16444047841981813,94,15,1,0,0.16020703315734863,2.7591919898986816,0,FROB-0,0.872147187209613,
-0.48043574620087665,-0.10500912367969337,-0.14427211689876002,94,16,1,0,0.16445302963256836,2.925611972808838,0,FROB-0,0.8733551260861504,
-0.4764096323477162,-0.10717152693437479,-0.14786794219767083,94,16,1,0,0.1568598747253418,3.0844810009002686,0,FROB-0,0.8742590918323103,
-0.4713564571372999,-0.11435132821924583,-0.15495421379320534,94,15,1,0,0.18308806419372559,3.2694849967956543,0,FROB-0,0.8753936591759475,
-0.46772610848045076,-0.10159460483648898,-0.15047724348634633,94,16,1,0,0.16187191009521484,3.433640956878662,0,FROB-0,0.8762087654923854,
-0.4627588873193932,-0.10903987093483818,-0.15166672106569115,94,16,1,0,0.1748189926147461,3.6104209423065186,0,FROB-0,0.8773240339490069,
-0.45660308521613596,-0.10391648703050668,-0.16029069866684081,94,15,1,0,0.17265796661376953,3.7850561141967773,0,FROB-0,0.8787061692895451,
-0.4531148839710025,-0.09682663252250603,-0.15904399444109374,94,15,1,0,0.17742490768432617,3.9644100666046143,0,FROB-0,0.8794893598689267,
-0.4500193402943586,-0.10476803674151552,-0.16103039197687483,94,15,1,0,0.18758296966552734,4.154321908950806,0,FROB-0,0.8801843887606784,
-0.4470738914351457,-0.10966015299764759,-0.15625617770760425,94,15,1,0,0.1680920124053955,4.3243420124053955,0,FROB-0,0.8808457175191049,
-0.44434937896565474,-0.10970118700387145,-0.16111170505783481,94,15,1,0,0.1771869659423828,4.503437042236328,0,FROB-0,0.8814574403956132,
-0.4415876325488739,-0.1139023721677699,-0.1728211147255051,94,15,1,0,0.172745943069458,4.678150177001953,0,FROB-0,0.8820775232475648,
-0.43853641696585466,-0.10551137772366845,-0.16914005964559573,94,15,1,0,0.18886208534240723,4.86913800239563,0,FROB-0,0.8827625993462036,
-0.43719051888646254,-0.09832348702042779,-0.15513550784420718,94,16,1,0,0.19485998153686523,5.065924167633057,0,FROB-0,0.8830647879593344,
-0.4361980089180328,-0.08699708084819952,-0.15316042404117539,94,15,1,0,0.189162015914917,5.256994009017944,0,FROB-0,0.8832876318844952,
-0.4349488469133936,-0.09630916572379043,-0.14948732004912013,94,15,1,0,0.16646695137023926,5.4253990650177,0,FROB-0,0.8835681007695746,
-0.4336431734914077,-0.09173451478110925,-0.1496826263076243,94,15,1,0,0.19042682647705078,5.61780309677124,0,FROB-0,0.8838612579161912,
