lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-3.995201008057539,-0.9272556759906855,-0.938173365544352,9,2,1,0,0.006718158721923828,0.011878013610839844,0,FROB-0,0,0.032773733139038086
-3.4892146273058686,-0.9742461474356591,-0.9752163488472225,6,2,1,0,0.004913806915283203,0.02136087417602539,0,FROB-0,0.12664854152048632,
-3.2106588712734534,-0.8342365621393983,-0.8502251640211429,14,3,1,0,0.0031740665435791016,0.028962135314941406,0,FROB-0,0.19637113006374593,
-2.997751153227964,-0.611753276946832,-0.7655899059531549,8,2,1,0,0.0036339759826660156,0.03700709342956543,0,FROB-0,0.24966199518319634,
-2.9024277851340377,-0.695027445478621,-0.7877705473081854,25,3,1,0,0.00453495979309082,0.04595208168029785,0,FROB-0,0.27352146255459436,
-2.7897784074257075,-0.8498864274944782,-0.8634803133405722,29,5,1,0,0.009504079818725586,0.05987095832824707,0,FROB-0,0.30171763528310963,
-2.6169388928440305,-0.9372907729662998,-0.9454610847006298,43,7,1,0,0.006847858428955078,0.0710458755493164,0,FROB-0,0.34497941716419434,
-2.5657953240461584,-0.549276833167473,-0.6107644203416646,36,7,1,0,0.005359172821044922,0.0808100700378418,0,FROB-0,0.35778066763813166,
-2.397378012599579,-0.42105730639986017,-0.5531035928803475,52,7,1,0,0.014308929443359375,0.09945297241210938,0,FROB-0,0.3999355707598801,
-2.2763164764369677,-0.5687634950378696,-0.6150356133131551,60,8,1,0,0.01134800910949707,0.11516118049621582,0,FROB-0,0.430237309250247,
-2.150113591551124,-0.5622714256706869,-0.6089673489645666,86,10,1,0,0.012814044952392578,0.13234519958496094,0,FROB-0,0.4618259288544461,
-2.0478587609330017,-0.5904157460559463,-0.6290759747357615,72,9,1,0,0.012491941452026367,0.1493520736694336,0,FROB-0,0.4874203433562178,
-2.0082478034912965,-0.380829295725259,-0.5046578075891728,52,7,1,0,0.009135961532592773,0.16277408599853516,0,FROB-0,0.49733497777932123,
-1.9760076111786042,-0.9906399756824622,-0.9910460516300604,72,9,1,0,0.009772062301635742,0.17667102813720703,0,FROB-0,0.5054047074994704,
-1.9558006229019689,-0.7125661395392437,-0.7238286159173818,73,11,1,0,0.010744810104370117,0.19160199165344238,0,FROB-0,0.5104625226721943,
-1.8966386448563226,-0.3715210287195661,-0.5070406852133039,66,8,1,0,0.016509056091308594,0.2123110294342041,0,FROB-0,0.5252707833645417,
-1.840945085858307,-0.5094191852464164,-0.5649216083314536,89,10,1,0,0.012437105178833008,0.22899103164672852,0,FROB-0,0.5392108977381844,
-1.7719267060017914,-0.3046435757405483,-0.4099105414815658,93,13,1,0,0.014616012573242188,0.24780917167663574,0,FROB-0,0.5564862187338786,
-1.7117994013636448,-0.21198936047302147,-0.3844355914247888,96,10,1,0,0.016344070434570312,0.268247127532959,0,FROB-0,0.5715361009592987,
-1.671389773818114,-0.3624456231978067,-0.4889559756166803,89,8,1,0,0.014571905136108398,0.2871391773223877,0,FROB-0,0.5816506427468163,
-1.6392154263801542,-0.23696250285107384,-0.3842047807802173,100,12,1,0,0.011337041854858398,0.302609920501709,0,FROB-0,0.5897038914752459,
-1.6284332829020005,-0.2620233426120015,-0.3890487618909023,89,12,1,0,0.01129913330078125,0.3180091381072998,0,FROB-0,0.5924026651931159,
-1.5958364637392706,-0.38408251615367034,-0.48321528491307564,86,8,1,0,0.01606297492980957,0.3381919860839844,0,FROB-0,0.6005616587198466,
-1.5814628966741657,-0.21478415849187704,-0.3443060867465792,96,12,1,0,0.017698049545288086,0.3601841926574707,0,FROB-0,0.6041593668291797,
-1.5650704308747243,-0.2829702597322645,-0.38356688336307865,96,12,1,0,0.021956920623779297,0.38651490211486816,0,FROB-0,0.6082624058918904,
-1.546086597511524,-0.32506983882784224,-0.4543738329811593,96,9,1,0,0.018701791763305664,0.4096200466156006,0,FROB-0,0.6130140650261651,
-1.5245975258513966,-0.2777825926977752,-0.3939114981227809,92,9,1,0,0.01723313331604004,0.43131303787231445,0,FROB-0,0.6183927860509115,
-1.5108588007816754,-0.20289509211412485,-0.3497579674797879,96,12,1,0,0.017081022262573242,0.45260000228881836,0,FROB-0,0.621831593020076,
-1.497175243257631,-0.2298343388487144,-0.36656252890768,100,10,1,0,0.016453027725219727,0.4731709957122803,0,FROB-0,0.6252565915361575,
-1.4916998182596257,-0.30726184982132354,-0.3856664250339252,100,12,1,0,0.01150202751159668,0.48886823654174805,0,FROB-0,0.6266270920408786,
-1.4842234790617235,-0.2753549992164616,-0.38893684258623934,100,11,1,0,0.018136024475097656,0.5111720561981201,0,FROB-0,0.6284984219646607,
-1.474561302012429,-0.21278494930406583,-0.32358715943868965,100,14,1,0,0.018449068069458008,0.5339672565460205,0,FROB-0,0.6309168677524463,
-1.468365200318519,-0.20242441888142373,-0.31466345456950817,100,15,1,0,0.022228002548217773,0.5606811046600342,0,FROB-0,0.6324677538483934,
-1.4614850315837253,-0.17116695159548612,-0.29048374026395746,100,17,1,0,0.021373987197875977,0.5865809917449951,0,FROB-0,0.6341898621280314,
-1.4517206601401103,-0.26133229894154303,-0.3422480563598003,100,16,1,0,0.02724289894104004,0.6182000637054443,0,FROB-0,0.6366338872030957,
