lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-3.32351726881068,-0.47054114496966515,-0.47054114496966515,73,1,1,0,0.048278093338012695,0.053298234939575195,0,EIG-1,0,0.027376890182495117
-2.838457911443185,-0.482050567063404,-0.482050567063404,85,1,1,0,0.05072808265686035,0.10873699188232422,0,EIG-1,0.14594759651754916,
-2.4286465917467495,-0.30336124985201757,-0.30336124985201757,98,1,1,0,0.061823129653930664,0.17505097389221191,0,EIG-1,0.2692541078278034,
-2.2152761151366787,-0.31477974531321107,-0.31477974531321107,99,1,1,0,0.05345606803894043,0.23294425010681152,0,EIG-1,0.3334543088053726,
-2.0396285958533302,-0.20882883825019222,-0.20882883825019222,98,1,1,0,0.04377388954162598,0.28115415573120117,0,EIG-1,0.386304197966984,
-1.9175776352780887,-0.16474943037487208,-0.16474943037487208,99,1,1,0,0.06043195724487305,0.3459930419921875,0,EIG-1,0.4230276300130933,
-1.8472797644625103,-0.19851841066628853,-0.19851841066628853,100,1,1,0,0.048204898834228516,0.3988661766052246,0,EIG-1,0.44417927904325866,
-1.7465622026565095,-0.19738733980098763,-0.19738733980098763,100,1,1,0,0.05123400688171387,0.4545609951019287,0,EIG-1,0.47448378889226,
-1.6596799274597767,-0.19028879476631202,-0.19028879476631202,100,1,1,0,0.06082296371459961,0.5198593139648438,0,EIG-1,0.5006254539325089,
-1.580804933347767,-0.22364724815787815,-0.22364724815787815,100,1,1,0,0.07439804077148438,0.598792314529419,0,EIG-1,0.5243578397552653,
-1.4934973642738574,-0.16559486197585646,-0.16559486197585646,99,1,1,0,0.06434106826782227,0.667567253112793,0,EIG-1,0.5506274697924671,
-1.4534261536010658,-0.15360147645390215,-0.15360147645390215,100,1,1,0,0.0651099681854248,0.7373781204223633,0,EIG-1,0.5626843382940503,
-1.374486249726862,-0.139151278584267,-0.139151278584267,100,1,1,0,0.07713699340820312,0.8195440769195557,0,EIG-1,0.5864362545590893,
-1.3605554413477055,-0.1448607612039123,-0.1448607612039123,100,1,1,0,0.06249594688415527,0.8867089748382568,0,EIG-1,0.5906278405363578,
-1.3030726745623058,-0.10885867221950081,-0.10885867221950081,100,1,1,0,0.06502604484558105,0.9567251205444336,0,EIG-1,0.6079236034694533,
-1.2668565068134348,-0.13296472659219638,-0.13296472659219638,100,1,1,0,0.07135486602783203,1.0325791835784912,0,EIG-1,0.6188205433134971,
-1.2199019734329486,-0.11146814492844992,-0.11146814492844992,100,1,1,0,0.07651090621948242,1.1138229370117188,0,EIG-1,0.6329485076304353,
-1.1978609469111514,-0.1127339528027249,-0.1127339528027249,100,1,1,0,0.06574296951293945,1.183946132659912,0,EIG-1,0.6395803451504745,
-1.1655623958419274,-0.11448661632955298,-0.11448661632955298,100,1,1,0,0.0799260139465332,1.268552303314209,0,EIG-1,0.6492985287664668,
-1.1480045048346101,-0.13567436689997148,-0.13567436689997148,98,1,1,0,0.08108901977539062,1.354773998260498,0,EIG-1,0.6545814533271689,
-1.1234322156366834,-0.11630929437415963,-0.11630929437415963,100,1,1,0,0.07179713249206543,1.430981159210205,0,EIG-1,0.6619749124881978,
-1.094200427313151,-0.09737440869541639,-0.09737440869541639,100,1,1,0,0.09176492691040039,1.5272750854492188,0,EIG-1,0.6707703499597752,
-1.0682656421148826,-0.08974279826927016,-0.08974279826927016,100,1,1,0,0.08141112327575684,1.6133921146392822,0,EIG-1,0.6785737651674082,
-1.051719437436726,-0.10341521468138669,-0.10341521468138669,100,1,1,0,0.08261394500732422,1.701059103012085,0,EIG-1,0.6835522874195513,
-1.0165707542103108,-0.09661200237335815,-0.09661200237335815,100,1,1,0,0.09238505363464355,1.798445224761963,0,EIG-1,0.6941280360567753,
-0.9951628572490245,-0.10667157776626163,-0.10667157776626163,100,1,1,0,0.07662010192871094,1.8796679973602295,0,EIG-1,0.7005693737209984,
-0.9638066093076415,-0.10729387666289554,-0.10729387666289554,100,1,1,0,0.08707809448242188,1.971785068511963,0,EIG-1,0.7100040314661658,
-0.9473100345494035,-0.09709941582525179,-0.09709941582525179,100,1,1,0,0.0855109691619873,2.062819242477417,0,EIG-1,0.7149676207674909,
-0.9311882042003656,-0.08097240109891776,-0.08097240109891776,100,1,1,0,0.09843707084655762,2.1656839847564697,0,EIG-1,0.7198184547018688,
-0.9186313556581395,-0.08572771766299625,-0.08572771766299625,100,1,1,0,0.09827303886413574,2.2683751583099365,0,EIG-1,0.723596635323966,
-0.9069172679575703,-0.07745782383567235,-0.07745782383567235,100,1,1,0,0.09456419944763184,2.367335319519043,0,EIG-1,0.7271212409610418,
-0.890454062889317,-0.08865465264795991,-0.08865465264795991,100,1,1,0,0.09740304946899414,2.469196081161499,0,EIG-1,0.7320747897879881,
-0.8689429554879592,-0.10474544222482564,-0.10474544222482564,100,1,1,0,0.0985879898071289,2.5723392963409424,0,EIG-1,0.7385471820343673,
-0.8583275696866723,-0.08796654235066952,-0.08796654235066952,100,1,1,0,0.09111404418945312,2.6679012775421143,0,EIG-1,0.7417412035912602,
-0.8450079656851294,-0.08429514984670912,-0.08429514984670912,100,1,1,0,0.10926699638366699,2.7818691730499268,0,EIG-1,0.7457488866945011,
-0.8268852208788664,-0.08350954712379716,-0.08350954712379716,100,1,1,0,0.10033702850341797,2.8867132663726807,0,EIG-1,0.7512017678864645,
-0.8150076074089059,-0.0981568083846451,-0.0981568083846451,100,1,1,0,0.10230493545532227,2.9937832355499268,0,EIG-1,0.7547755761471963,
-0.8087662348268201,-0.08020193174810458,-0.08020193174810458,100,1,1,0,0.0973970890045166,3.0956552028656006,0,EIG-1,0.7566535181216993,
-0.7964351598695908,-0.08558295153292955,-0.08558295153292955,100,1,1,0,0.10821795463562012,3.2086472511291504,0,EIG-1,0.7603637666204658,
-0.7860954546077648,-0.0839783506885523,-0.0839783506885523,100,1,1,0,0.11483216285705566,3.328809976577759,0,EIG-1,0.7634748397473781,
-0.7787754641354657,-0.08779222863674914,-0.08779222863674914,100,1,1,0,0.11750292778015137,3.4509971141815186,0,EIG-1,0.7656773228038054,
-0.7725640673128474,-0.07036536476962582,-0.07036536476962582,100,1,1,0,0.12190413475036621,3.5774941444396973,0,EIG-1,0.7675462454902944,
-0.7641869936198549,-0.07689794671208647,-0.07689794671208647,100,1,1,0,0.1268000602722168,3.7089381217956543,0,EIG-1,0.7700667901468865,
-0.7593660794933024,-0.06934076583241067,-0.06934076583241067,100,1,1,0,0.11866188049316406,3.83241605758667,0,EIG-1,0.7715173359803003,
-0.7508877447514833,-0.07695617134237626,-0.07695617134237626,100,1,1,0,0.1333479881286621,3.9703972339630127,0,EIG-1,0.7740683486744071,
-0.7484639803018976,-0.07101158927629034,-0.07101158927629034,100,1,1,0,0.12932181358337402,4.104275226593018,0,EIG-1,0.7747976255980841,
-0.7417665423090795,-0.0796802352087657,-0.0796802352087657,100,1,1,0,0.14095282554626465,4.2502171993255615,0,EIG-1,0.7768127912948806,
-0.7367830634376218,-0.08035721554987407,-0.08035721554987407,100,1,1,0,0.1255168914794922,4.380237102508545,0,EIG-1,0.778312250593084,
-0.7335333915827852,-0.0781845341216073,-0.0781845341216073,100,1,1,0,0.12397193908691406,4.509254217147827,0,EIG-1,0.7792900315377875,
-0.7286702333873728,-0.07072956119110285,-0.07072956119110285,100,1,1,0,0.1271071434020996,4.641075372695923,0,EIG-1,0.7807532880224313,
-0.72562646781168,-0.07496075912931492,-0.07496075912931492,100,1,1,0,0.14097905158996582,4.787748098373413,0,EIG-1,0.7816691146390872,
-0.7234335007559878,-0.07441908995538189,-0.07441908995538189,100,1,1,0,0.14344000816345215,4.9366161823272705,0,EIG-1,0.7823289478453931,
-0.7205513268724095,-0.07551292807818312,-0.07551292807818312,100,1,1,0,0.7922778129577637,5.734009265899658,0,EIG-1,0.7831961537752752,
-0.7183746403456397,-0.06842283394974345,-0.06842283394974345,100,1,1,0,0.800987958908081,6.542198181152344,0,EIG-1,0.783851088397459,
-0.7149217565884337,-0.07629889348251769,-0.07629889348251769,100,1,1,0,0.803023099899292,7.350638151168823,0,EIG-1,0.7848900129698116,
-0.7131587904696102,-0.06346614324528967,-0.06346614324528967,100,1,1,0,0.7715861797332764,8.127899169921875,0,EIG-1,0.7854204648905427,
-0.7111551012719476,-0.06352714361086058,-0.06352714361086058,100,1,1,0,0.783797025680542,8.916423320770264,0,EIG-1,0.7860233470288323,
-0.7076457395365079,-0.0632083693308493,-0.0632083693308493,100,1,1,0,0.8206040859222412,9.741964101791382,0,EIG-1,0.7870792650372544,
-0.7055869801897751,-0.07000840845258828,-0.07000840845258828,100,1,1,0,0.8797228336334229,10.633719205856323,0,EIG-1,0.7876987170154504,
-0.7021345665760321,-0.06711583003971215,-0.06711583003971215,100,1,1,0,0.8214960098266602,11.461013078689575,0,EIG-1,0.788737500128191,
-0.7007476648634743,-0.06408828910708764,-0.06408828910708764,100,1,1,0,0.8302760124206543,12.29909610748291,0,EIG-1,0.7891547995132652,
-0.6981714610332397,-0.06507679328085317,-0.06507679328085317,100,1,1,0,0.811596155166626,13.116307258605957,0,EIG-1,0.7899299433208244,
-0.6963314837278445,-0.06264904701142564,-0.06264904701142564,100,1,1,0,0.8457860946655273,13.96778416633606,0,EIG-1,0.79048356683368,
-0.6936775896261665,-0.06540585639394622,-0.06540585639394622,100,1,1,0,0.8639841079711914,14.837006092071533,0,EIG-1,0.7912820865605317,
-0.689232369691795,-0.07181891811608909,-0.07181891811608909,100,1,1,0,0.8663580417633057,15.708948135375977,0,EIG-1,0.7926195912505442,
-0.6873420425829982,-0.0715855284161965,-0.0715855284161965,100,1,1,0,0.8076741695404053,16.52384305000305,0,EIG-1,0.7931883643171193,
-0.6852646411918777,-0.06129189921441969,-0.06129189921441969,100,1,1,0,0.7368068695068359,17.26829695701599,0,EIG-1,0.7938134254265096,
-0.6835740768636948,-0.0743810771085926,-0.0743810771085926,100,1,1,0,0.9053308963775635,18.179188013076782,0,EIG-1,0.7943220926580741,
-0.6824130550318682,-0.060039215962968365,-0.060039215962968365,100,1,1,0,0.798306941986084,18.98449420928955,0,EIG-1,0.7946714279369131,
-0.6807212220475365,-0.061602733574807306,-0.061602733574807306,100,1,1,0,0.8472521305084229,19.837346076965332,0,EIG-1,0.7951804768894215,
-0.6789573651639976,-0.059618549448630515,-0.059618549448630515,100,1,1,0,0.8549680709838867,20.69712209701538,0,EIG-1,0.7957111968288337,
-0.6773628229378728,-0.060905104579631976,-0.060905104579631976,100,1,1,0,0.9140770435333252,21.615840196609497,0,EIG-1,0.7961909723489097,
-0.6750691137185498,-0.06388712621971014,-0.06388712621971014,100,1,1,0,0.857733964920044,22.479209184646606,0,EIG-1,0.7968811174674105,
-0.6734296990824211,-0.05956562069880162,-0.05956562069880162,100,1,1,0,0.8727478981018066,23.356771230697632,0,EIG-1,0.7973743944699144,
-0.6703545189981396,-0.0587010399251271,-0.0587010399251271,100,1,1,0,0.8249289989471436,24.18710708618164,0,EIG-1,0.7982996732741319,
-0.6688705410170901,-0.06634721575133648,-0.06634721575133648,100,1,1,0,0.8758490085601807,25.06905221939087,0,EIG-1,0.7987461815546744,
-0.6671961353497724,-0.06182804938418282,-0.06182804938418282,100,1,1,0,0.9042789936065674,25.97886323928833,0,EIG-1,0.7992499868705157,
-0.6657135090220406,-0.05635321754332873,-0.05635321754332873,100,1,1,0,0.8616940975189209,26.845728158950806,0,EIG-1,0.7996960884574235,
-0.6620960029693479,-0.06336362178687757,-0.06336362178687757,100,1,1,0,0.9909729957580566,27.842398405075073,0,EIG-1,0.8007845455828433,
-0.6606320078792194,-0.058038460511359094,-0.058038460511359094,100,1,1,0,0.9107110500335693,28.758399963378906,0,EIG-1,0.8012250412901673,
-0.6587064460215407,-0.06020404079257112,-0.06020404079257112,100,1,1,0,0.7900640964508057,29.55379319190979,0,EIG-1,0.8018044160013352,
