lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-3.32351726881068,-0.47054114496966515,-0.47054114496966515,73,1,1,0,0.04990696907043457,0.05516505241394043,0,FROB-S,0,0.032350778579711914
-2.838457495054677,-0.48205395855208655,-0.48205395855208655,85,1,1,0,0.05023002624511719,0.10999822616577148,0,FROB-S,0,
-2.42865386571823,-0.30338338333657255,-0.3511599128297493,99,2,1,0,0.05994606018066406,0.17461514472961426,0,FROB-S,0,
-2.0529261992063503,-0.19581660207791307,-0.23237484473436845,99,2,1,0,0.04672408103942871,0.22593116760253906,0,FROB-S,0,
-1.8614714650063218,-0.19823348216176717,-0.2439371999367813,100,2,1,0,0.05735898017883301,0.2877991199493408,0,FROB-S,0,
-1.692229380349969,-0.197242520367792,-0.2644302067176177,97,3,1,0,0.04049396514892578,0.3327140808105469,0,FROB-S,0,
-1.536716939034901,-0.1860564404302794,-0.21529940584973234,100,2,1,0,0.04055500030517578,0.377655029296875,0,FROB-S,0,
-1.4382230248290226,-0.15245175826151203,-0.19480885170869638,100,3,1,0,0.0423130989074707,0.42450690269470215,0,FROB-S,0,
-1.3075963405044333,-0.1344729539828301,-0.19636150035688035,100,4,1,0,0.06047201156616211,0.48967623710632324,0,FROB-S,0,
-1.1779693220242875,-0.1580203559755644,-0.18909117173142667,100,2,1,0,0.05889296531677246,0.5531091690063477,0,FROB-S,0,
-1.128128759740848,-0.11255009902564125,-0.1757692780499058,100,4,1,0,0.059906005859375,0.6176619529724121,0,FROB-S,0,
-1.0592439572483805,-0.10028455672417866,-0.1670289183202791,100,5,1,0,0.07121515274047852,0.6939730644226074,0,FROB-S,0,
-1.0010677042743543,-0.10134101000523266,-0.14704223252136475,100,4,1,0,0.06954407691955566,0.768265962600708,0,FROB-S,0,
-0.9649570045510083,-0.07079225407448045,-0.1556145657280703,100,9,1,0,0.07011795043945312,0.8431460857391357,0,FROB-S,0,
-0.8909304651614588,-0.09193915574536342,-0.14109508292989872,100,4,1,0,0.07756495475769043,0.9254720211029053,0,FROB-S,0,
-0.8655461606659943,-0.1077095955498978,-0.12460007341230563,100,2,1,0,0.062391042709350586,0.9931850433349609,0,FROB-S,0,
-0.8587018298048138,-0.07281669720698314,-0.1378039398285351,100,7,1,0,0.07380819320678711,1.071943998336792,0,FROB-S,0,
-0.8308504564854704,-0.09523676578918329,-0.12176101643364133,100,2,1,0,0.07807588577270508,1.1548621654510498,0,FROB-S,0,
