lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2.4485928481660726,-0.6419767533553746,-0.8407844347394755,100,3,1,0,0.007391214370727539,0.007748842239379883,0,EIG-0,0,0.0029878616333007812
-1.2848081104701317,-0.5940366885447641,-0.7937763901875672,100,4,1,0,0.0051898956298828125,0.01326298713684082,0,EIG-0,0.467887559951721,
-0.9414887064438994,-0.4197634797624097,-0.8231000779444803,100,5,1,0,0.005258798599243164,0.018826007843017578,0,EIG-0,0.6059155586277798,
-0.7404147887413345,-0.4244079556238465,-0.7345628550555354,100,4,1,0,0.0040378570556640625,0.023164987564086914,0,EIG-0,0.6867552377165825,
-0.6475750666513156,-0.3486688528547199,-0.7790559642775928,100,4,1,0,0.00554203987121582,0.02903294563293457,0,EIG-0,0.7240804832093997,
-0.5878437356478545,-0.3314780143594131,-0.7939034145399202,100,5,1,0,0.0048029422760009766,0.034169912338256836,0,EIG-0,0.7480948441222335,
-0.5510511543516894,-0.3705665634388312,-0.7349996072529662,100,5,1,0,0.005608081817626953,0.04010891914367676,0,EIG-0,0.7628869190905562,
-0.5383887256304926,-0.34936442220311564,-0.5860369008345121,100,4,1,0,0.005239963531494141,0.045680999755859375,0,EIG-0,0.7679777169722615,
-0.5244735432876337,-0.3944077794133171,-0.6556940093238866,100,4,1,0,0.005105018615722656,0.051116943359375,0,EIG-0,0.7735721714291685,
-0.5167575757818395,-0.35128351070525266,-0.6220498767337647,100,5,1,0,0.00479578971862793,0.05623602867126465,0,EIG-0,0.7766742959819447,
-0.5091506784054811,-0.34293448939815524,-0.4893784468740525,100,4,1,0,0.0040819644927978516,0.060643911361694336,0,EIG-0,0.7797325700226182,
-0.5019271012826315,-0.3261400238280914,-0.6070630102481797,100,5,1,0,0.004638195037841797,0.06561017036437988,0,EIG-0,0.7826367341387627,
-0.4945650265253527,-0.36294941304366024,-0.5408069564462248,100,4,1,0,0.005038022994995117,0.07098507881164551,0,EIG-0,0.7855965797895872,
-0.48803602063447576,-0.3417748906576477,-0.625784683649467,100,4,1,0,0.005766868591308594,0.07710814476013184,0,EIG-0,0.7882214987597748,
-0.48434420678877205,-0.2813903810054864,-0.6057930373398478,100,5,1,0,0.0053179264068603516,0.0827798843383789,0,EIG-0,0.7897057541517832,
-0.4774742940623024,-0.30442412316899137,-0.7146093715119196,100,4,1,0,0.0068781375885009766,0.08997893333435059,0,EIG-0,0.7924677311725791,
-0.4727740104280319,-0.3087039952429313,-0.6541965838315963,100,5,1,0,0.005923032760620117,0.09625792503356934,0,EIG-0,0.7943574313632464,
-0.4671610228028187,-0.2843560004799703,-0.5980881987240378,100,5,1,0,0.006513833999633789,0.10313606262207031,0,EIG-0,0.7966140747088188,
