lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2.4485928481660726,-0.6419767533553746,-0.662075691735431,100,3,1,0,0.006039142608642578,0.006376981735229492,0,FROB-0,0,0.001711130142211914
-0.7541780766737136,-0.3756449958069169,-0.5014240015611409,100,4,1,0,0.00536799430847168,0.012080192565917969,0,FROB-0,0.6812218508289498,
-0.3370552536746551,-0.4234141672916389,-0.49816863561745073,100,5,1,0,0.005339860916137695,0.01774311065673828,0,FROB-0,0.8489217471513518,
-0.21936789686515545,-0.38707639118400244,-0.4516555593111898,100,6,1,0,0.0048029422760009766,0.022875308990478516,0,FROB-0,0.8962367259710438,
-0.16990115592533597,-0.39539153595922905,-0.43757575414684835,100,6,1,0,0.0063550472259521484,0.029552936553955078,0,FROB-0,0.9161243151165401,
-0.1522975815065973,-0.3615634403180913,-0.42534954841635153,100,5,1,0,0.006684780120849609,0.03655099868774414,0,FROB-0,0.9232016492784563,
-0.13193092367395212,-0.2542597533825759,-0.30587731726971795,100,6,1,0,0.00497889518737793,0.04184103012084961,0,FROB-0,0.9313898524134743,
-0.12689566129817087,-0.2180878314996773,-0.2858884366205927,100,5,1,0,0.005529880523681641,0.04769611358642578,0,FROB-0,0.9334142273261281,
-0.11970462462472832,-0.1964544970536864,-0.26258979747755096,100,6,1,0,0.004494190216064453,0.052506208419799805,0,FROB-0,0.9363053088927428,
-0.11728444047526865,-0.16322817880849658,-0.22188254471738308,100,6,1,0,0.005015134811401367,0.05782914161682129,0,FROB-0,0.9372783187799204,
-0.1148986301569329,-0.2338234384881276,-0.27141178119221976,100,5,1,0,0.0054759979248046875,0.0636141300201416,0,FROB-0,0.9382375090255012,
-0.11294423195431381,-0.1462385655034735,-0.20737275238530112,100,5,1,0,0.00567317008972168,0.06959414482116699,0,FROB-0,0.9390232545131143,
-0.11068911782487544,-0.16186419481563985,-0.22677149282726727,100,6,1,0,0.005163908004760742,0.07506895065307617,0,FROB-0,0.9399298997141198,
-0.10837897880383855,-0.15069037873892252,-0.19650446946220204,100,5,1,0,0.006059169769287109,0.08143806457519531,0,FROB-0,0.940858667100984,
-0.10645710561750696,-0.1820974996850536,-0.24192302359070114,100,5,1,0,0.005837917327880859,0.08758091926574707,0,FROB-0,0.9416313362437926,
-0.10520205146302548,-0.14184234914495913,-0.20199812936734224,100,6,1,0,0.005825996398925781,0.09371018409729004,0,FROB-0,0.9421359177243077,
-0.10430970257979491,-0.16786717374778332,-0.20451239278484193,100,6,1,0,0.006588935852050781,0.10060310363769531,0,FROB-0,0.9424946773196836,
-0.10325958637658862,-0.12973081477430065,-0.1825231624280232,100,6,1,0,0.005756855010986328,0.10666513442993164,0,FROB-0,0.9429168656265665,
-0.10111831104662425,-0.19349777900168771,-0.22892624336489975,100,6,1,0,0.006257057189941406,0.11322617530822754,0,FROB-0,0.9437777431212357,
-0.09768527924071162,-0.12348234976323813,-0.17850374430045932,100,6,1,0,0.006758928298950195,0.12028694152832031,0,FROB-0,0.9451579578833619,
-0.09727882739376711,-0.1129930194158155,-0.14987599693765502,100,6,1,0,0.006356954574584961,0.12694406509399414,0,FROB-0,0.9453213676246524,
-0.09564860409570494,-0.13023627653605124,-0.19400639844251727,100,6,1,0,0.005931854248046875,0.13318395614624023,0,FROB-0,0.9459767819606549,
-0.09482013578020837,-0.15047104234745412,-0.18654047120439687,100,6,1,0,0.006730079650878906,0.1402299404144287,0,FROB-0,0.9463098590376084,
-0.09369192526304583,-0.10519447044960283,-0.15467810588679143,100,6,1,0,0.006869077682495117,0.14742517471313477,0,FROB-0,0.9467634443518754,
-0.0931648178762344,-0.16126958620343598,-0.19343971189952916,100,6,1,0,0.00787496566772461,0.15563106536865234,0,FROB-0,0.946975362399139,
-0.09273568436243934,-0.11641258850778713,-0.16897757240453595,100,6,1,0,0.007485151290893555,0.16342711448669434,0,FROB-0,0.9471478910688831,
-0.09228587128456307,-0.1442791859916334,-0.17786180891481668,100,6,1,0,0.0075550079345703125,0.17129111289978027,0,FROB-0,0.9473287337424677,
-0.09140624545384884,-0.10652139775768335,-0.15617937593602,100,5,1,0,0.007306098937988281,0.1789100170135498,0,FROB-0,0.947682378166795,
-0.09049636144870214,-0.1485623218175078,-0.1920928496754184,100,6,1,0,0.00751185417175293,0.18673205375671387,0,FROB-0,0.9480481875757156,
-0.08933417256753093,-0.10633097026923147,-0.14464743313210715,100,7,1,0,0.00716400146484375,0.19420313835144043,0,FROB-0,0.9485154335381353,
-0.0884970480659053,-0.12119265201938681,-0.17123387475057722,100,5,1,0,0.007595062255859375,0.20210623741149902,0,FROB-0,0.9488519907447687,
-0.08785631856825679,-0.12276897135014218,-0.1632667653588455,100,6,1,0,0.007074117660522461,0.2094881534576416,0,FROB-0,0.9491095893809541,
-0.08668463639322307,-0.08937977027649954,-0.1317361540402379,100,6,1,0,0.008004903793334961,0.21779990196228027,0,FROB-0,0.9495806520235187,
-0.08514505905683012,-0.07741883218576748,-0.12407534232808345,100,6,1,0,0.009078025817871094,0.22718000411987305,0,FROB-0,0.9501996230926084,
-0.08390385548423496,-0.13631578957624652,-0.16419009320943956,100,6,1,0,0.009423017501831055,0.23691105842590332,0,FROB-0,0.9506986360906089,
-0.08247641834251239,-0.11355042659839587,-0.15666954409484055,100,5,1,0,0.008096933364868164,0.24531888961791992,0,FROB-0,0.9512725223597717,
-0.08129183800837242,-0.13383262269989574,-0.17380187410915254,100,5,1,0,0.013528108596801758,0.25917506217956543,0,FROB-0,0.9517487705731698,
-0.0805892868601334,-0.08957444932425938,-0.12296689408446972,100,6,1,0,0.015948057174682617,0.27545809745788574,0,FROB-0,0.9520312239615357,
-0.07984073692977155,-0.11645458996198764,-0.14483699998211597,100,5,1,0,0.014566183090209961,0.2903439998626709,0,FROB-0,0.9523321706822433,
-0.07913410156287073,-0.10810717838967782,-0.15644834772327826,100,5,1,0,0.016653060913085938,0.30733323097229004,0,FROB-0,0.9526162660882797,
-0.07869902143798478,-0.07332104886481594,-0.10760387336439767,100,6,1,0,0.0153961181640625,0.32305097579956055,0,FROB-0,0.9527911855312168,
-0.0768350508669495,-0.10492788251823797,-0.1462994646843612,100,6,1,0,0.016401052474975586,0.3397791385650635,0,FROB-0,0.953540575529259,
-0.07577165460644257,-0.08759023032079127,-0.12751135228764524,100,6,1,0,0.016197919845581055,0.35630321502685547,0,FROB-0,0.9539681029451756,
-0.07459086340874838,-0.11271939371462236,-0.14053522812056637,100,5,1,0,0.016170024871826172,0.3727879524230957,0,FROB-0,0.9544428277756416,
-0.07348331559264543,-0.08285772490262945,-0.12920316328882298,100,6,1,0,0.016377925872802734,0.3894991874694824,0,FROB-0,0.9548881058656707,
-0.07170313980174083,-0.10119123949480001,-0.14898022159253624,100,5,1,0,0.015571832656860352,0.4054090976715088,0,FROB-0,0.9556038070431415,
-0.07052315913601555,-0.08954673182221098,-0.12943427062448817,100,6,1,0,0.017524003982543945,0.4232749938964844,0,FROB-0,0.9560782060076521,
-0.06938496744032889,-0.10128367941059999,-0.13638153398566927,100,6,1,0,0.015219926834106445,0.43883705139160156,0,FROB-0,0.9565358041510222,
-0.06773647371906048,-0.0926740208772901,-0.12059640122274327,100,6,1,0,0.015120983123779297,0.4542810916900635,0,FROB-0,0.9571985639208119,
-0.06520756002684451,-0.10011320504800324,-0.14032625119188227,100,6,1,0,0.017937898635864258,0.47255825996398926,0,FROB-0,0.9582152873907571,
-0.06404498389980198,-0.07223024707571978,-0.11503103073163218,100,6,1,0,0.01923513412475586,0.49211716651916504,0,FROB-0,0.9586826890413552,
-0.06115953990243399,-0.098478858890438,-0.12434176464811848,100,5,1,0,0.017788171768188477,0.5102379322052002,0,FROB-0,0.9598427518154888,
-0.05857067441643399,-0.07514188134833488,-0.11179990748672222,100,6,1,0,0.01796698570251465,0.5285382270812988,0,FROB-0,0.9608835782811168,
-0.05737118861043538,-0.07899842305626031,-0.11350288789001471,100,5,1,0,0.018347978591918945,0.5472321510314941,0,FROB-0,0.9613658190845804,
-0.056423444548689784,-0.08584774476934352,-0.11726772462221578,100,5,1,0,0.01896190643310547,0.566540002822876,0,FROB-0,0.9617468497358217,
-0.05445219061361483,-0.06952750296796027,-0.10401109436646214,100,6,1,0,0.017615795135498047,0.5844950675964355,0,FROB-0,0.962539371895507,
-0.05339184278813971,-0.07921608827698572,-0.10629826268754641,100,6,1,0,0.021095991134643555,0.605924129486084,0,FROB-0,0.9629656737197978,
-0.05311088206240642,-0.07863601183304515,-0.11442163458646036,100,5,1,0,0.016071081161499023,0.6223292350769043,0,FROB-0,0.9630786310598862,
-0.052798081068077256,-0.0833860057559735,-0.11580745289312507,100,6,1,0,0.019633054733276367,0.6423182487487793,0,FROB-0,0.9632043894490854,
-0.05263490181880754,-0.07637810887776275,-0.1030808155830099,100,7,1,0,0.01954793930053711,0.6621911525726318,0,FROB-0,0.9632699939705253,
-0.05221735434067738,-0.060867191606451876,-0.0923483549037936,100,6,1,0,0.017189979553222656,0.6797089576721191,0,FROB-0,0.9634378645950301,
-0.05152216492041854,-0.07259580635212559,-0.10283714230344192,100,6,1,0,0.0179440975189209,0.6979851722717285,0,FROB-0,0.9637173582771634,
-0.050944766508876055,-0.07943870969683792,-0.11545172349723816,100,6,1,0,0.018391132354736328,0.7167110443115234,0,FROB-0,0.9639494953083049,
-0.04958794440072836,-0.07319050664704731,-0.10562393087429055,100,5,1,0,0.019498825073242188,0.7365350723266602,0,FROB-0,0.9644949915370375,
-0.04839053366300138,-0.08723515092596736,-0.11502491069217889,100,6,1,0,0.01928091049194336,0.7561531066894531,0,FROB-0,0.9649763980808667,
-0.04787832954994166,-0.050406698036308824,-0.07272693625406755,100,6,1,0,0.019778013229370117,0.776263952255249,0,FROB-0,0.9651823244217903,
-0.04657282481912376,-0.051061671452360985,-0.08267418187683062,100,6,1,0,0.02022099494934082,0.7968180179595947,0,FROB-0,0.9657071890322484,
-0.044994329618373664,-0.0572611512109853,-0.07509827242169154,100,6,1,0,0.01747298240661621,0.814629077911377,0,FROB-0,0.9663418066242756,
-0.043654008152387576,-0.06550217478059861,-0.08928533470948684,100,6,1,0,0.019042015075683594,0.8340039253234863,0,FROB-0,0.9668806689412988,
-0.04241374962734962,-0.053844691056797955,-0.07986137437488638,100,6,1,0,0.020057201385498047,0.8543932437896729,0,FROB-0,0.9673793019927497,
-0.04164712878689008,-0.06613768471620358,-0.08874550475052836,100,6,1,0,0.018687009811401367,0.8734159469604492,0,FROB-0,0.9676875139350724,
-0.040822009794701505,-0.07657050466053619,-0.09686761192315951,100,5,1,0,0.021463871002197266,0.8952169418334961,0,FROB-0,0.9680192444513956,
-0.040337039424353884,-0.0744841926928545,-0.09869029520391187,100,6,1,0,0.02030801773071289,0.9158740043640137,0,FROB-0,0.9682142217490701,
-0.039860852985228706,-0.06141835857815967,-0.08976731739328997,100,5,1,0,0.01998114585876465,0.9361951351165771,0,FROB-0,0.9684056675584778,
-0.03914656123219646,-0.0658708619766667,-0.09585187100382205,100,6,1,0,0.01929616928100586,0.9558260440826416,0,FROB-0,0.9686928411349947,
-0.038248267143658865,-0.06735714667208023,-0.09125214284557336,100,5,1,0,0.02263617515563965,0.9787940979003906,0,FROB-0,0.9690539909383826,
-0.03704642968569719,-0.05975886406327676,-0.08899272807100296,100,6,1,0,0.02207016944885254,1.0011930465698242,0,FROB-0,0.9695371771990802,
-0.03651860824072488,-0.05984595235739744,-0.08795487663173722,100,6,1,0,0.022160053253173828,1.0236890316009521,0,FROB-0,0.9697493823260072,
-0.03574870197657762,-0.05857566275570673,-0.08329360085346678,100,6,1,0,0.01867198944091797,1.042701244354248,0,FROB-0,0.970058915138782,
-0.03512901838492418,-0.05249496323265209,-0.07629267960630405,100,6,1,0,0.02074289321899414,1.063784122467041,0,FROB-0,0.9703080524871672,
-0.034570039719718795,-0.045508010992530996,-0.07044612588945531,100,6,1,0,0.021823883056640625,1.0859472751617432,0,FROB-0,0.9705327840507088,
-0.033911952938281156,-0.06755864793878942,-0.09152079729456393,100,6,1,0,0.021951913833618164,1.1082329750061035,0,FROB-0,0.9707973610024678,
-0.033593563133054644,-0.07188082244797392,-0.09302506042006678,100,6,1,0,0.02184891700744629,1.1304199695587158,0,FROB-0,0.9709253663150103,
-0.032642353273650934,-0.06593139142349848,-0.0922448866315775,100,5,1,0,0.023793935775756836,1.1545600891113281,0,FROB-0,0.9713077903541839,
-0.032177188868264796,-0.050923502944172146,-0.06856731683335901,100,6,1,0,0.021069049835205078,1.1759991645812988,0,FROB-0,0.9714948048694656,
-0.031906080618068315,-0.039812459687145536,-0.059834312426709925,100,6,1,0,0.02213883399963379,1.1984691619873047,0,FROB-0,0.9716038011241496,
-0.03173862140106715,-0.04631875497509275,-0.07598685286635161,100,6,1,0,0.02372288703918457,1.2225348949432373,0,FROB-0,0.9716711263621393,
