lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2.4485928481660726,-0.6419767533553746,-0.6419767533553746,100,1,1,0,0.008758068084716797,0.010442972183227539,0,FROB-S,0,0.003985166549682617
-1.0707127929462579,-0.46945558119252356,-0.46945558119252356,100,1,1,0,0.003936052322387695,0.015105724334716797,0,FROB-S,0,
-0.7290718274192711,-0.5228929332348065,-0.5228929332348065,100,1,1,0,0.0050089359283447266,0.020451784133911133,0,FROB-S,0,
-0.44129492505886986,-0.4726362879141427,-0.4726362879141427,100,1,1,0,0.005568981170654297,0.026355981826782227,0,FROB-S,0,
-0.3008459596923734,-0.39048120959296406,-0.39048120959296406,100,1,1,0,0.0047228336334228516,0.0314178466796875,0,FROB-S,0,
-0.24686928743459388,-0.36581686485876896,-0.36581686485876896,100,1,1,0,0.0058329105377197266,0.03757166862487793,0,FROB-S,0,
-0.22235176662543985,-0.28039121202480793,-0.28039121202480793,100,1,1,0,0.00657200813293457,0.04450583457946777,0,FROB-S,0,
-0.20135790104973889,-0.32504281317176176,-0.32504281317176176,100,1,1,0,0.006365060806274414,0.05123782157897949,0,FROB-S,0,
-0.18470253445760126,-0.23417831074353218,-0.23417831074353218,100,1,1,0,0.006613016128540039,0.05822181701660156,0,FROB-S,0,
-0.17755174928805845,-0.3073575470404949,-0.3073575470404949,100,1,1,0,0.006089925765991211,0.064666748046875,0,FROB-S,0,
-0.16494509587034867,-0.24243756848875103,-0.32764846609120923,100,2,1,0,0.0063629150390625,0.07139992713928223,0,FROB-S,0,
-0.1533938953462689,-0.2503689149455151,-0.2503689149455151,100,1,1,0,0.0051288604736328125,0.0768887996673584,0,FROB-S,0,
-0.1487814053158719,-0.22966972284867435,-0.22966972284867435,100,1,1,0,0.005802154541015625,0.08303570747375488,0,FROB-S,0,
-0.14593581557946472,-0.25259388962772933,-0.25259388962772933,100,1,1,0,0.005558967590332031,0.08893275260925293,0,FROB-S,0,
-0.14270588202464873,-0.18529847956243528,-0.18529847956243528,100,1,1,0,0.005087852478027344,0.09438586235046387,0,FROB-S,0,
-0.13438933466589592,-0.1508609029991739,-0.1508609029991739,100,1,1,0,0.005373954772949219,0.10011792182922363,0,FROB-S,0,
-0.1330143255140413,-0.12164969023299904,-0.12164969023299904,100,1,1,0,0.005532979965209961,0.10602593421936035,0,FROB-S,0,
-0.13203994009644707,-0.14695314136193674,-0.14695314136193674,99,1,1,0,0.005254030227661133,0.11162495613098145,0,FROB-S,0,
-0.12982438569196036,-0.11210054484489115,-0.11210054484489115,100,1,1,0,0.00518798828125,0.11714887619018555,0,FROB-S,0,
-0.1290995184043576,-0.11808880575430197,-0.11808880575430197,100,1,1,0,0.005166053771972656,0.12264275550842285,0,FROB-S,0,
