lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2.820003682708984,-0.7172014058776432,-0.7172014058776432,100,1,1,0,0.0038890838623046875,0.004308938980102539,0,FROB-S,0,0.0019021034240722656
-0.9921031166582701,-0.6361003951371089,-0.6361003951371089,100,1,1,0,0.0038690567016601562,0.008580684661865234,0,FROB-S,0,
-0.41215575142890315,-0.4525642805073272,-0.4525642805073272,100,1,1,0,0.0049479007720947266,0.013911962509155273,0,FROB-S,0,
-0.30093081123066134,-0.33476268608913623,-0.33476268608913623,100,1,1,0,0.004760026931762695,0.019031047821044922,0,FROB-S,0,
-0.2442717803187652,-0.2992410229388599,-0.2992410229388599,100,1,1,0,0.0051059722900390625,0.024472951889038086,0,FROB-S,0,
-0.21191439813033539,-0.31606934410175824,-0.31606934410175824,100,1,1,0,0.005425930023193359,0.03021693229675293,0,FROB-S,0,
-0.18314642931672817,-0.30655879526916213,-0.30655879526916213,100,1,1,0,0.005139827728271484,0.03568673133850098,0,FROB-S,0,
-0.14577350686559523,-0.239116060788734,-0.32342459061795864,100,2,1,0,0.005202054977416992,0.04120969772338867,0,FROB-S,0,
-0.11795996080413997,-0.25206600095261367,-0.25206600095261367,99,1,1,0,0.0046100616455078125,0.04613494873046875,0,FROB-S,0,
-0.10042684804026762,-0.2264413374391966,-0.2264413374391966,100,1,1,0,0.005294084548950195,0.0517878532409668,0,FROB-S,0,
-0.08538202866877492,-0.2327259493018347,-0.2327259493018347,100,1,1,0,0.0054399967193603516,0.05761289596557617,0,FROB-S,0,
-0.07375284709089433,-0.2754174745232026,-0.2754174745232026,100,1,1,0,0.005967855453491211,0.0639638900756836,0,FROB-S,0,
-0.06906366781348233,-0.2476064389152958,-0.2476064389152958,100,1,1,0,0.006769895553588867,0.0711369514465332,0,FROB-S,0,
-0.06365959186518587,-0.3017503864715183,-0.3017503864715183,100,1,1,0,0.0076808929443359375,0.07921481132507324,0,FROB-S,0,
-0.05871714662402047,-0.2732186723205571,-0.2732186723205571,100,1,1,0,0.007364988327026367,0.0870058536529541,0,FROB-S,0,
-0.055622200184530686,-0.27909668842274565,-0.27909668842274565,100,1,1,0,0.00795602798461914,0.09536194801330566,0,FROB-S,0,
-0.05359282441886664,-0.23268985561278444,-0.23268985561278444,100,1,1,0,0.007950067520141602,0.1037130355834961,0,FROB-S,0,
-0.05137863735157705,-0.2361855052956683,-0.2361855052956683,100,1,1,0,0.006795167922973633,0.11092305183410645,0,FROB-S,0,
-0.04978048587666837,-0.3095249605596387,-0.3095249605596387,100,1,1,0,0.007843017578125,0.1191568374633789,0,FROB-S,0,
-0.04819265897886715,-0.2174586170694668,-0.2174586170694668,100,1,1,0,0.007308006286621094,0.12682390213012695,0,FROB-S,0,
-0.04559882857990943,-0.15820135993604445,-0.15820135993604445,100,1,1,0,0.00698399543762207,0.13419795036315918,0,FROB-S,0,
-0.0418782698618877,-0.14849240623105872,-0.14849240623105872,100,1,1,0,0.0063860416412353516,0.14096784591674805,0,FROB-S,0,
-0.03913829302674137,-0.14905231253656753,-0.14905231253656753,100,1,1,0,0.007696866989135742,0.1490340232849121,0,FROB-S,0,
-0.0377238559603536,-0.13448209235423014,-0.13448209235423014,100,1,1,0,0.007046937942504883,0.1564779281616211,0,FROB-S,0,
-0.036190273110752645,-0.13407138470623634,-0.13407138470623634,100,1,1,0,0.00850987434387207,0.16533875465393066,0,FROB-S,0,
-0.03575066781025613,-0.11734206763521143,-0.11734206763521143,100,1,1,0,0.007399082183837891,0.1730818748474121,0,FROB-S,0,
