lb,eigmin,depth,density,nbnegeig,nbcuts,nbsoccuts,cpuit,cpu,status,cuttype,gc,cpub
-2.820003682708984,-0.7172014058776432,-0.7172014058776432,100,1,1,0,0.003798961639404297,0.004204750061035156,0,FROB-S,0,0.0019881725311279297
-0.9921031166582701,-0.6361003951371089,-0.6361003951371089,100,1,1,0,0.004084110260009766,0.008656978607177734,0,FROB-S,0,
-0.41215575142890315,-0.4525642805073272,-0.4525642805073272,100,1,1,0,0.005068063735961914,0.014065980911254883,0,FROB-S,0,
-0.30093081123066134,-0.33476268608913623,-0.43428010201707795,100,3,1,0,0.0044209957122802734,0.0188138484954834,0,FROB-S,0,
-0.18754731265394442,-0.25070635304539823,-0.3651816753408767,100,3,1,0,0.005268096923828125,0.0244448184967041,0,FROB-S,0,
-0.14949056723591292,-0.3508814406668987,-0.4161633560491471,100,2,1,0,0.005231142044067383,0.03002190589904785,0,FROB-S,0,
-0.11150280791416257,-0.2643874091076668,-0.34360368342055253,100,2,1,0,0.005861997604370117,0.03621983528137207,0,FROB-S,0,
-0.09025881708006071,-0.2767067699009224,-0.3235752449394896,100,2,1,0,0.005347013473510742,0.041929006576538086,0,FROB-S,0,
-0.07568816819535301,-0.23303131020186849,-0.35312461366924464,100,4,1,0,0.005032062530517578,0.047360897064208984,0,FROB-S,0,
-0.06581967955630022,-0.21460043943848217,-0.31462854373591426,100,3,1,0,0.007174015045166016,0.05487990379333496,0,FROB-S,0,
-0.061755214909993264,-0.28269585486850113,-0.28269585486850113,100,1,1,0,0.006537199020385742,0.061760902404785156,0,FROB-S,0,
-0.05986099903604902,-0.21724517436185575,-0.2884806812499262,100,2,1,0,0.006095170974731445,0.06823992729187012,0,FROB-S,0,
-0.058819852900002446,-0.232939984200731,-0.232939984200731,100,1,1,0,0.006036996841430664,0.07467079162597656,0,FROB-S,0,
-0.05780236984727969,-0.19629017957529674,-0.24291213822353877,100,2,1,0,0.006571054458618164,0.08162593841552734,0,FROB-S,0,
-0.056804509901054255,-0.17895737405543372,-0.24784423788893997,100,3,1,0,0.006555080413818359,0.08857083320617676,0,FROB-S,0,
-0.055243587937736344,-0.1756178085744274,-0.23016425706784432,100,2,1,0,0.006205081939697266,0.09518790245056152,0,FROB-S,0,
-0.05379761733261962,-0.16784846548250246,-0.22398420053758222,100,3,1,0,0.005533933639526367,0.10109376907348633,0,FROB-S,0,
-0.052100604637024255,-0.1951009831766068,-0.23415795290241012,100,2,1,0,0.006164073944091797,0.10763692855834961,0,FROB-S,0,
-0.04880632881361281,-0.2080742725462274,-0.2080742725462274,100,1,1,0,0.0067501068115234375,0.11483907699584961,0,FROB-S,0,
-0.04375554846300148,-0.1541936811947462,-0.23044648272763663,100,3,1,0,0.006474971771240234,0.12173795700073242,0,FROB-S,0,
-0.03985496152362284,-0.14835705016770903,-0.21109112955444864,100,3,1,0,0.006620883941650391,0.12873291969299316,0,FROB-S,0,
-0.03461303018032726,-0.18973671236939105,-0.26490433189500084,100,3,1,0,0.0066721439361572266,0.13579082489013672,0,FROB-S,0,
-0.030092163746159088,-0.12903550481994422,-0.2287047833537182,100,5,1,0,0.006498813629150391,0.14271187782287598,0,FROB-S,0,
-0.02758793112932104,-0.18835892414523742,-0.24035834455571078,100,3,1,0,0.007114887237548828,0.15022802352905273,0,FROB-S,0,
-0.025288651583011895,-0.14567334883329,-0.20425037755118827,100,3,1,0,0.0071451663970947266,0.15777587890625,0,FROB-S,0,
-0.024299582488146752,-0.13472382957417348,-0.19623759703116928,100,3,1,0,0.007210969924926758,0.16536712646484375,0,FROB-S,0,
-0.021939271987071882,-0.12938667402957563,-0.20331382667748069,100,4,1,0,0.008095979690551758,0.1738288402557373,0,FROB-S,0,
-0.02082527844697212,-0.18904873305216946,-0.22668855959980524,100,2,1,0,0.00803685188293457,0.1822049617767334,0,FROB-S,0,
-0.01955844919537898,-0.12316312237629436,-0.1827398587422333,100,3,1,0,0.007596015930175781,0.19013285636901855,0,FROB-S,0,
-0.01857924031139886,-0.13003278062328383,-0.1779226727512,100,3,1,0,0.0075800418853759766,0.19806385040283203,0,FROB-S,0,
